,v,v_err,i,i_err,vi,vi_err,x,y
2,17.283,0.0023,16.774,0.0027,0.509,0.0036,2087.398,980.052
4,17.916,0.0031,17.396,0.0037,0.52,0.0048,2118.761,975.799
5,18.022,0.0032,17.512,0.0039,0.51,0.005,2157.165,969.887
6,17.151,0.0022,16.618,0.0026,0.533,0.0034,2171.982,951.577
8,17.002,0.002,16.406,0.0023,0.596,0.0031,2195.867,963.871
9,17.627,0.0027,17.112,0.0032,0.515,0.0042,2232.126,944.598
10,17.734,0.0028,17.228,0.0034,0.506,0.0044,2242.249,944.839
13,17.335,0.0024,16.831,0.0028,0.504,0.0037,2254.956,973.335
14,17.019,0.002,16.467,0.0024,0.552,0.0031,2261.439,987.34
16,18.506,0.0041,17.972,0.0048,0.534,0.0063,2266.477,943.973
17,18.457,0.004,17.908,0.0046,0.549,0.0061,2282.24,959.685
20,18.789,0.0046,18.192,0.0053,0.597,0.007,2307.074,970.925
23,16.837,0.0019,16.197,0.0021,0.64,0.0028,2322.332,961.605
24,17.446,0.0025,16.938,0.003,0.508,0.0039,2330.386,943.094
25,18.388,0.0038,17.832,0.0045,0.556,0.0059,2333.516,940.885
28,17.729,0.0028,17.225,0.0034,0.504,0.0044,2351.215,960.618
32,17.235,0.0023,16.72,0.0027,0.515,0.0035,2385.176,908.332
34,18.601,0.0042,18.031,0.0049,0.57,0.0065,2377.96,936.455
37,18.626,0.0043,18.074,0.005,0.552,0.0066,2403.888,912.084
38,17.108,0.0021,16.584,0.0025,0.524,0.0033,2398.412,948.552
39,17.432,0.0025,16.925,0.0029,0.507,0.0038,2399.567,952.158
42,18.795,0.0046,18.196,0.0053,0.599,0.007,2422.926,964.718
43,17.954,0.0031,17.437,0.0037,0.517,0.0049,2429.261,981.41
44,17.614,0.0027,17.09,0.0032,0.524,0.0041,2450.726,904.8
45,18.899,0.0049,18.301,0.0055,0.598,0.0074,2446.87,919.183
47,18.674,0.0044,18.087,0.005,0.587,0.0067,2452.096,954.434
48,17.87,0.012,17.364,0.0036,0.506,0.0125,2453.476,973.376
49,17.493,0.0025,17.021,0.0031,0.472,0.004,2466.749,900.449
50,17.737,0.0028,17.229,0.0034,0.508,0.0044,2474.585,932.557
54,18.018,0.0032,17.507,0.0038,0.511,0.005,2506.347,885.319
55,18.14,0.0034,17.592,0.004,0.548,0.0052,2492.345,906.651
57,18.305,0.0037,17.77,0.0043,0.535,0.0057,2501.796,933.154
61,18.481,0.004,17.918,0.0046,0.563,0.0061,2516.034,902.881
63,17.794,0.0029,17.282,0.0035,0.512,0.0045,2535.14,891.455
64,15.93,0.0012,15.28,0.0014,0.65,0.0018,2524.163,914.79
67,18.2,0.011,17.666,0.014,0.534,0.0178,2520.655,972.569
68,18.938,0.01,18.315,0.047,0.623,0.0481,2531.88,967.304
69,17.665,0.023,17.157,0.013,0.508,0.0264,2532.213,983.445
72,17.256,0.0023,16.734,0.0027,0.522,0.0035,2554.731,875.767
73,18.412,0.0039,17.854,0.0045,0.558,0.0059,2550.467,934.807
75,16.793,0.03,16.141,0.019,0.652,0.0355,2562.443,975.76
76,18.314,0.0037,17.782,0.0043,0.532,0.0057,2565.627,882.637
78,16.202,0.0014,15.548,0.0016,0.654,0.0021,2574.018,898.473
79,18.589,0.0042,18.017,0.0048,0.572,0.0064,2569.743,902.314
82,17.753,0.0029,17.239,0.0034,0.514,0.0044,2580.865,940.443
84,17.027,0.002,16.47,0.0024,0.557,0.0031,2597.856,863.603
87,17.159,0.019,16.631,0.011,0.528,0.022,2597.917,970.323
89,16.224,0.0014,15.575,0.0016,0.649,0.0021,2629.663,857.12
90,18.16,0.0034,17.638,0.0041,0.522,0.0053,2614.248,866.033
92,18.483,0.004,17.934,0.0047,0.549,0.0061,2630.345,870.398
93,17.478,0.0025,16.974,0.003,0.504,0.0039,2628.335,889.218
99,18.512,0.009,17.961,0.023,0.551,0.0247,2624.345,954.541
100,18.485,0.023,17.933,0.02,0.552,0.0305,2617.856,972.549
103,18.755,0.0045,18.167,0.0052,0.588,0.0069,2675.695,877.305
104,19.011,0.0051,18.387,0.0057,0.624,0.0077,2665.846,895.523
107,18.315,0.0037,17.769,0.0043,0.546,0.0057,2711.367,847.811
112,17.01,0.002,16.419,0.0023,0.591,0.0031,2694.15,927.631
113,18.203,0.0035,17.664,0.0041,0.539,0.0054,2703.024,937.556
114,18.908,0.013,18.288,0.014,0.62,0.0191,2711.771,921.181
116,16.689,0.0016,16.029,0.02,0.66,0.0201,2699.146,974.648
119,18.923,0.0049,18.296,0.0055,0.627,0.0074,2727.055,886.967
121,18.266,0.0036,17.739,0.0043,0.527,0.0056,2715.393,913.036
122,18.855,0.002,18.252,0.012,0.603,0.0122,2723.083,926.511
124,18.331,0.026,17.782,0.012,0.549,0.0286,2715.593,950.039
126,16.184,0.053,15.509,0.027,0.675,0.0595,2724.297,951.911
128,17.281,0.0023,16.758,0.0027,0.523,0.0035,2737.585,872.75
130,17.776,0.0029,17.262,0.0034,0.514,0.0045,2753.978,891.633
132,18.143,0.022,17.62,0.02,0.523,0.0297,2762.862,950.133
133,18.789,0.0046,18.217,0.0053,0.572,0.007,2783.183,836.846
134,18.033,0.0032,17.529,0.0039,0.504,0.005,2773.665,854.746
135,18.493,0.004,17.932,0.0046,0.561,0.0061,2777.515,839.391
136,18.509,0.004,17.935,0.0047,0.574,0.0062,2785.763,855.73
137,18.03,0.0032,17.52,0.0038,0.51,0.005,2776.262,867.524
138,19.014,0.0051,18.392,0.0057,0.622,0.0077,2774.227,902.938
141,18.549,0.0041,17.992,0.0048,0.557,0.0063,2805.558,823.285
143,17.49,0.0025,16.983,0.003,0.507,0.0039,2807.974,845.335
144,17.572,0.0026,17.068,0.0031,0.504,0.0041,2808.548,864.761
149,17.79,0.0029,17.296,0.0035,0.494,0.0045,2813.885,827.259
150,17.252,0.0023,16.74,0.0027,0.512,0.0035,2821.166,818.699
151,18.83,0.0047,18.21,0.0053,0.62,0.0071,2823.68,834.827
156,18.698,0.027,18.115,0.021,0.583,0.0342,2819.025,952.244
158,18.551,0.018,17.98,0.001,0.571,0.018,2824.564,953.423
160,18.159,0.0034,17.612,0.004,0.547,0.0053,2847.154,822.864
163,17.188,0.0022,16.667,0.0026,0.521,0.0034,2862.927,858.479
169,19.015,0.013,18.418,0.011,0.597,0.017,2845.923,960.07
171,17.816,0.001,17.289,0.001,0.527,0.0014,2843.613,979.589
173,18.412,0.0039,17.9,0.0046,0.512,0.006,2864.871,826.53
174,18.767,0.0045,18.168,0.0052,0.599,0.0069,2874.419,822.169
177,18.189,0.029,17.656,0.011,0.533,0.031,2874.645,920.779
179,18.923,0.009,18.32,0.005,0.603,0.0103,2866.734,955.64
181,18.026,0.0032,17.493,0.004,0.533,0.0051,2881.61,981.79
190,17.885,0.003,17.37,0.0036,0.515,0.0047,2934.14,808.847
192,18.676,0.0044,18.127,0.0051,0.549,0.0067,2919.473,824.782
194,17.266,0.0023,16.751,0.0027,0.515,0.0035,2920.705,887.063
195,17.882,0.003,17.367,0.0036,0.515,0.0047,2931.303,868.745
196,17.775,0.0029,17.261,0.0034,0.514,0.0045,2920.53,884.922
197,17.207,0.023,16.68,0.024,0.527,0.0332,2920.79,891.195
198,18.872,0.012,18.285,0.017,0.587,0.0208,2933.035,935.052
203,17.274,0.0023,16.744,0.0027,0.53,0.0035,2944.569,833.235
204,18.837,0.0047,18.258,0.0054,0.579,0.0071,2951.822,830.671
205,17.599,0.02,17.088,0.021,0.511,0.029,2958.984,875.85
207,16.975,0.012,16.409,0.014,0.566,0.0184,2945.869,928.348
209,18.31,0.0037,17.776,0.0043,0.534,0.0057,2949.908,960.809
210,17.64,0.003,17.124,0.009,0.516,0.0095,2950.589,942.77
212,18.841,0.015,18.239,0.012,0.602,0.0192,2941.03,971.528
213,18.376,0.0038,17.866,0.0045,0.51,0.0059,2964.57,796.319
214,18.944,0.0049,18.355,0.0056,0.589,0.0075,2979.002,790.045
215,16.839,0.0019,16.21,0.0021,0.629,0.0028,2986.964,808.024
217,18.483,0.004,17.931,0.0046,0.552,0.0061,2970.873,827.384
219,18.891,0.0048,18.283,0.0055,0.608,0.0073,2976.072,855.815
221,18.914,0.0049,18.339,0.0056,0.575,0.0074,2966.335,886.282
225,17.821,0.012,17.304,0.002,0.517,0.0122,2970.971,958.983
230,17.475,0.0025,16.982,0.003,0.493,0.0039,3003.892,788.857
231,18.744,0.0045,18.205,0.0053,0.539,0.0069,2988.659,857.156
236,17.637,0.032,17.12,0.023,0.517,0.0394,3011.895,886.892
238,18.719,0.009,18.133,0.003,0.586,0.0095,2988.656,930.401
241,16.901,0.008,16.268,0.002,0.633,0.0082,3001.414,962.455
242,18.315,0.0037,17.785,0.0043,0.53,0.0057,3026.894,804.796
243,17.01,0.002,16.451,0.0023,0.559,0.0031,3027.62,797.56
244,17.587,0.0026,17.079,0.0031,0.508,0.0041,3019.656,826.296
246,16.945,0.024,16.314,0.024,0.631,0.0339,3023.433,869.785
247,18.71,0.024,18.123,0.013,0.587,0.0273,3031.577,897.933
248,18.31,0.016,17.768,0.013,0.542,0.0206,3019.742,927.22
249,18.393,0.024,17.838,0.01,0.555,0.026,3026.84,932.079
250,16.859,0.002,16.219,0.017,0.64,0.0171,3029.085,928.493
251,18.067,0.017,17.54,0.017,0.527,0.024,3029.371,917.691
254,16.283,0.0014,15.604,0.0016,0.679,0.0021,3051.646,797.515
255,18.667,0.0043,18.051,0.0049,0.616,0.0065,3041.381,824.21
257,17.383,0.018,16.865,0.009,0.518,0.0201,3045.125,865.019
258,18.66,0.035,18.093,0.019,0.567,0.0398,3054.25,863.763
259,18.332,0.009,17.769,0.005,0.563,0.0103,3052.216,904.255
260,18.499,0.009,17.93,0.016,0.569,0.0184,3038.771,935.435
262,17.863,0.007,17.35,0.019,0.513,0.0202,3060.253,917.71
263,18.226,0.015,17.631,0.014,0.595,0.0205,3047.269,947.605
265,18.056,0.0033,17.528,0.0038,0.528,0.005,3080.779,846.916
270,18.117,0.012,17.592,0.004,0.525,0.0126,3071.511,916.974
272,18.765,0.011,18.185,0.01,0.58,0.0149,3076.621,986.038
274,17.483,0.0025,16.978,0.003,0.505,0.0039,3107.158,778.255
278,17.545,0.0026,17.03,0.0031,0.515,0.004,3092.422,815.217
279,17.576,0.0026,17.052,0.0031,0.524,0.004,3094.057,855.788
282,16.665,0.01,16.005,0.012,0.66,0.0156,3094.904,923.39
283,18.28,0.009,17.73,0.003,0.55,0.0095,3107.987,934.711
286,17.336,0.0023,16.837,0.0028,0.499,0.0036,3115.888,766.944
287,18.441,0.0039,17.871,0.0045,0.57,0.0059,3129.234,785.915
289,18.943,0.0049,18.342,0.0056,0.601,0.0074,3124.388,813.109
292,16.948,0.013,16.31,0.0022,0.638,0.0132,3136.178,891.792
296,17.216,0.023,16.688,0.011,0.528,0.0255,3117.052,955.555
297,17.578,0.015,17.063,0.014,0.515,0.0205,3119.469,945.011
298,18.781,0.026,18.192,0.015,0.589,0.03,3120.998,956.144
299,17.66,0.012,17.137,0.015,0.523,0.0192,3133.385,949.558
301,18.665,0.012,18.063,0.014,0.602,0.0184,3121.866,981.475
302,17.985,0.0032,17.477,0.0037,0.508,0.0049,3152.314,748.906
303,17.715,0.0028,17.216,0.0033,0.499,0.0043,3160.55,747.739
305,18.769,0.0045,18.192,0.0052,0.577,0.0069,3149.728,811.596
306,17.994,0.0032,17.484,0.0038,0.51,0.0049,3153.269,793.207
307,18.16,0.0034,17.617,0.004,0.543,0.0053,3141.343,820.16
308,15.521,0.001,14.814,0.0011,0.707,0.0015,3146.467,835.693
310,19.01,0.006,18.404,0.031,0.606,0.0316,3143.538,855.912
314,18.87,0.02,18.286,0.013,0.584,0.0239,3148.95,869.811
315,18.6,0.006,18.034,0.031,0.566,0.0316,3153.411,899.9
316,18.164,0.005,17.624,0.014,0.54,0.0149,3158.057,893.967
319,18.338,0.03,17.775,0.017,0.563,0.0345,3160.954,958.288
321,17.74,0.013,17.208,0.003,0.532,0.0133,3160.393,974.972
324,18.518,0.004,17.958,0.0047,0.56,0.0062,3181.752,774.848
325,17.39,0.0024,16.889,0.0029,0.501,0.0037,3187.578,815.374
328,17.132,0.011,16.603,0.006,0.529,0.0125,3180.662,942.692
