,v,v_err,i,i_err,vi,vi_err,x,y
1,19.434,0.0041,18.951,0.0046,0.483,0.0061,2349.364,969.043
2,19.448,0.0041,18.944,0.0045,0.504,0.0061,2364.699,964.134
4,19.977,0.0052,19.461,0.0058,0.516,0.0078,2436.554,946.642
6,19.395,0.004,18.912,0.0045,0.483,0.006,2418.377,981.675
12,20.463,0.0065,19.918,0.0071,0.545,0.0097,2564.518,940.672
17,18.973,0.0033,18.479,0.0037,0.494,0.0049,2622.553,928.503
18,19.717,0.0046,19.196,0.0051,0.521,0.0069,2626.43,930.232
20,19.957,0.0052,19.379,0.0055,0.578,0.0076,2660.376,921.177
21,19.676,0.0045,19.18,0.0051,0.496,0.0068,2662.347,938.952
24,19.546,0.0043,19.021,0.0047,0.525,0.0063,2694.368,882.125
26,20.199,0.0058,19.64,0.0063,0.559,0.0085,2692.108,911.189
29,19.633,0.0044,19.128,0.0049,0.505,0.0066,2720.45,915.532
33,20.023,0.011,19.5,0.027,0.523,0.0292,2750.238,966.682
35,18.871,0.002,18.367,0.011,0.504,0.0112,2756.677,969.978
44,18.539,0.0027,17.951,0.0029,0.588,0.0039,2797.55,856.874
50,18.597,0.0,18.036,0.01,0.561,0.01,2794.436,947.279
52,20.261,0.011,19.715,0.001,0.546,0.011,2820.321,940.08
57,19.696,0.002,19.19,0.007,0.506,0.0073,2842.968,937.959
58,19.826,0.0048,19.313,0.0054,0.513,0.0072,2848.172,918.397
61,20.573,0.01,20.008,0.008,0.565,0.0128,2842.098,951.765
63,20.254,0.007,19.711,0.005,0.543,0.0086,2842.368,966.772
71,20.453,0.0065,19.895,0.007,0.558,0.0095,2898.114,886.928
72,19.567,0.004,19.058,0.0048,0.509,0.0062,2905.631,910.026
77,18.631,0.0028,18.107,0.0031,0.524,0.0041,2930.082,872.545
84,20.446,0.013,19.88,0.03,0.566,0.0327,2952.094,937.81
85,18.802,0.006,18.293,0.0,0.509,0.006,2952.331,943.383
86,18.892,0.014,18.392,0.01,0.5,0.0172,2945.895,971.526
87,19.855,0.0049,19.339,0.0054,0.516,0.0073,2983.815,812.043
88,20.132,0.0056,19.621,0.0062,0.511,0.0083,2987.078,858.849
92,18.785,0.003,18.277,0.0033,0.508,0.0045,2995.431,807.756
94,20.345,0.0061,19.799,0.0067,0.546,0.0091,3001.596,880.461
95,19.788,0.008,19.287,0.014,0.501,0.0161,2988.894,899.597
99,19.88,0.009,19.357,0.015,0.523,0.0175,2997.291,975.613
100,19.43,0.004,18.927,0.0045,0.503,0.006,3037.208,866.037
107,20.601,0.006,20.039,0.009,0.562,0.0108,3043.924,958.87
110,20.022,0.008,19.506,0.016,0.516,0.0179,3064.896,946.484
114,20.283,0.002,19.731,0.009,0.552,0.0092,3091.374,862.203
117,20.162,0.01,19.644,0.007,0.518,0.0122,3092.244,970.009
