InputX InputY InputF606W InputF814W OutputX OutputY OutputF606W OutputF814W
2266.746 975.827 -10.908999999999999 -10.901000000000003 2266.746 975.827 -10.912857992031935 -10.896501819223776
2278.684 982.716 -12.350000000000001 -12.191000000000003 2278.684 982.716 -12.353564440547498 -12.187184831900094
2358.149 966.078 -11.513000000000002 -11.427000000000003 2358.149 966.078 -11.515929053354519 -11.423709125368656
2411.086 945.864 -10.556000000000001 -10.565000000000001 2411.086 945.864 -10.543038559216452 -10.58052026705439
2451.712 968.601 -12.171 -12.021 2451.712 968.601 -12.17270167691468 -12.01915817502178
2484.239 964.706 -10.593 -10.626000000000001 2484.239 964.706 -10.594676819953623 -10.624025430824574
2499.564 958.784 -11.315999999999999 -11.248000000000001 2499.564 958.784 -11.316607094331502 -11.24730987975516
2509.573 978.211 -10.259 -10.324000000000002 2509.573 978.211 -10.248775754189658 -10.337097033155548
2523.375 947.012 -10.426000000000002 -10.511000000000003 2523.375 947.012 -10.439345837554459 -10.494782214977903
2514.971 980.967 -10.639 -10.621000000000002 2514.971 980.967 -10.618852008435233 -10.644602243753376
2516.314 986.93 -10.55 -10.551000000000002 2516.314 986.93 -10.532630293204797 -10.571836607143041
2560.975 926.131 -10.747 -10.749000000000002 2560.975 926.131 -10.744260523320488 -10.752194704693078
2573.534 929.721 -10.623999999999999 -10.654000000000003 2573.534 929.721 -10.626471063915282 -10.651108387899107
2604.564 980.798 -10.765 -10.761000000000003 2604.564 980.798 -10.760569491650301 -10.766172296719919
2727.09 985.649 -16.448 -16.504 2727.09 985.649 -16.330488198799436 -16.37540055743168
2754.56 883.018 -12.344999999999999 -12.181000000000001 2754.56 883.018 -12.345904656862047 -12.180030978230999
2765.354 985.549 -12.036000000000001 -11.888000000000002 2765.354 985.549 -12.033328904857392 -11.89091532695672
2807.609 905.589 -10.373000000000001 -10.463000000000001 2807.609 905.589 -10.384282498411789 -10.449375343752415
2850.023 920.805 -11.350000000000001 -11.270000000000003 2850.023 920.805 -11.34666705919399 -11.273781851996976
2847.839 974.207 -11.030999999999999 -11.007000000000001 2847.839 974.207 -11.035347502663502 -11.001972122497676
2906.029 855.516 -10.248000000000001 -10.350000000000001 2906.029 855.516 -10.254592204651267 -10.341694825058639
2913.994 974.98 -11.759 -11.658000000000001 2913.994 974.98 -11.767202054858 -11.648911737444301
2937.394 977.056 -12.054000000000002 -11.905000000000001 2937.394 977.056 -12.051574782525709 -11.907644113677097
2941.717 962.547 -11.168 -11.113000000000003 2941.717 962.547 -11.165946438091094 -11.115355506045152
2942.3 966.624 -12.014 -11.876000000000001 2942.3 966.624 -12.015387959093704 -11.874483502599418
2975.667 856.444 -11.98 -11.910000000000004 2975.667 856.444 -12.013819751148763 -11.873048215946657
2965.693 883.417 -11.722999999999999 -11.625000000000004 2965.693 883.417 -11.730922689091607 -11.616203239784618
2973.968 940.953 -11.586000000000002 -11.485000000000003 2973.968 940.953 -11.585405058885431 -11.485665941086555
3003.92 867.092 -11.681000000000001 -11.568000000000001 3003.92 867.092 -11.67935843860301 -11.569827626323246
2992.12 904.663 -12.866 -12.680000000000003 2992.12 904.663 -12.868962555975688 -12.67693983793528
2993.572 896.021 -12.879999999999999 -12.679000000000002 2993.572 896.021 -12.875688088550127 -12.683451839982574
2995.067 927.135 -11.030000000000001 -11.036000000000001 2995.067 927.135 -11.049130341144885 -11.013893417433355
2996.507 968.379 -10.242 -10.336000000000002 2996.507 968.379 -10.244008809926374 -10.333377011359925
3003.307 964.643 -11.573 -11.470000000000002 3003.307 964.643 -11.570721670748952 -11.472551940828538
3010.003 978.905 -10.229 -10.277000000000001 3010.003 978.905 -10.208491276765816 -10.307788016741132
3035.99 901.047 -10.942 -10.913000000000004 3035.99 901.047 -10.937790238393585 -10.917900231371096
3027.538 929.696 -12.945 -12.761000000000003 3027.538 929.696 -12.95011653300578 -12.755748245102456
3031.438 931.046 -12.672 -12.492 3031.438 931.046 -12.674148688823415 -12.489747769622934
3020.254 954.678 -10.809999999999999 -10.786000000000001 3020.254 954.678 -10.798897397457306 -10.798979143942173
3029.579 945.442 -10.833000000000002 -10.854000000000003 3029.579 945.442 -10.84577197497649 -10.839066695815927
3058.722 904.103 -10.565000000000001 -10.576 3058.722 904.103 -10.553716157159528 -10.589457844136188
3048.382 951.607 -11.615000000000002 -11.508000000000003 3048.382 951.607 -11.612947664073335 -11.510293423260919
3086.363 821.581 -11.027000000000001 -10.998000000000001 3086.363 821.581 -11.028604095812085 -10.996143382822872
3072.246 893.171 -12.546 -12.360000000000003 3072.246 893.171 -12.541988811011588 -12.364243656007048
3072.605 964.084 -11.794 -11.680000000000003 3072.605 964.084 -11.797425376183895 -11.676211051244547
