,v,v_err,i,i_err,vi,vi_err,x,y
1,18.63,0.0038,18.052,0.0041,0.57452488752971,0.0056,2278.684,982.716
4,18.809,0.0041,18.222,0.0044,0.5849870299036832,0.0061,2451.712,968.601
15,18.635,0.0038,18.062,0.0041,0.5735564329106185,0.0056,2754.56,883.018
16,18.944,0.0044,18.355,0.0047,0.5909359867031306,0.0064,2765.354,985.549
21,19.221,0.012,18.585,0.001,0.6362448676833166,0.012,2913.994,974.98
22,18.926,0.01,18.338,0.018,0.5874796347875568,0.0206,2937.394,977.056
24,18.966,0.026,18.367,0.013,0.5984796347875568,0.0291,2942.3,966.624
25,19.0,0.0045,18.333,0.0046,0.6672168626694894,0.0065,2975.667,856.444
26,19.257,0.0051,18.618,0.0053,0.6399497634052631,0.0073,2965.693,883.417
29,18.114,0.003,17.563,0.0032,0.5519497634052631,0.0044,2992.12,904.663
30,18.1,0.003,17.564,0.0032,0.5362168626694894,0.0044,2993.572,896.021
36,18.035,0.018,17.482,0.0031,0.5519962054322269,0.0183,3027.538,929.696
37,18.308,0.0,17.751,0.0035,0.5559962054322269,0.0035,3031.438,931.046
43,18.434,0.0035,17.883,0.0038,0.5521671575209071,0.0051,3072.246,893.171
44,19.186,0.009,18.563,0.009,0.6229067162092568,0.0127,3072.605,964.084
45,16.286,0.0055,15.563,0.0059,0.7246296455189115,0.0081,3104.046,835.571
46,17.266,0.002,16.684,0.0022,0.5841027212248247,0.003,3088.259,833.443
47,17.664,0.0024,17.124,0.0026,0.5416296455189116,0.0036,3096.588,851.817
53,18.788,0.0041,18.213,0.0044,0.5766296455189115,0.006,3160.233,839.481
54,17.387,0.0021,16.817,0.0106,0.5716296455189115,0.0108,3171.345,865.324
57,19.16,0.0048,18.548,0.0051,0.614290098367817,0.007,3191.072,827.624
60,17.853,0.0026,17.33,0.0029,0.5261963070135267,0.0039,3223.698,799.445
61,19.053,0.006,18.453,0.02,0.601146391926138,0.0209,3226.269,882.054
62,18.247,0.005,17.718,0.016,0.5302530614314935,0.0168,3236.808,896.169
64,15.358,0.0036,14.615,0.0038,0.745290098367817,0.0052,3238.093,862.435
69,18.878,0.001,18.293,0.01,0.5884092891972346,0.01,3339.951,891.272
70,18.985,0.01,18.391,0.015,0.5976640718463353,0.018,3358.565,906.934
77,17.221,0.002,16.624,0.0021,0.6005129560495039,0.0029,3395.278,798.642
79,17.27,0.009,16.687,0.01,0.5855272515300953,0.0135,3395.317,961.92
82,18.477,0.001,17.918,0.012,0.5626640718463354,0.012,3420.348,878.72
83,18.932,0.001,18.341,0.011,0.5953776869827696,0.011,3426.557,895.711
87,17.316,0.0021,16.746,0.0022,0.5769870574605036,0.003,3486.147,815.32
89,18.322,0.004,17.778,0.007,0.5482715307685249,0.0081,3485.932,978.298
91,17.638,0.0024,17.114,0.0026,0.5312753591849915,0.0035,3533.22,796.068
92,16.525,0.0061,15.811,0.0066,0.7212753591849914,0.009,3514.347,841.091
93,19.231,0.007,18.626,0.02,0.6122753591849914,0.0212,3535.521,914.07
96,17.643,0.008,17.104,0.011,0.5461014213481551,0.0136,3548.209,942.08
99,17.427,0.0022,16.875,0.0023,0.5589870574605038,0.0032,3579.204,732.295
102,18.981,0.0044,18.393,0.0047,0.5962950574895454,0.0065,3610.015,757.622
105,18.788,0.014,18.202,0.002,0.594518060870892,0.0141,3598.494,869.702
110,17.82,0.0026,17.288,0.0028,0.5401503819065185,0.0038,3626.257,734.616
111,17.649,0.0024,17.116,0.0026,0.541518060870892,0.0035,3627.829,776.511
112,18.647,0.005,18.091,0.011,0.5641503819065186,0.0121,3627.341,810.615
114,18.772,0.006,18.201,0.014,0.5777121929209943,0.0152,3617.365,934.897
116,19.072,0.0046,18.47,0.0049,0.6102950574895454,0.0067,3649.975,734.066
117,17.905,0.0027,17.377,0.003,0.5362950574895453,0.004,3650.463,742.219
119,18.245,0.016,17.701,0.026,0.5530408274520648,0.0305,3649.952,873.091
121,18.392,0.003,17.849,0.014,0.5508683401081493,0.0143,3652.612,929.519
123,18.746,0.004,18.186,0.0043,0.5675686089916645,0.0058,3664.089,726.56
131,18.433,0.0034,17.841,0.0037,0.6001132933722304,0.005,3757.121,732.328
136,18.515,0.005,17.961,0.004,0.5595186355662729,0.0064,3783.121,940.868
139,17.749,0.013,17.218,0.009,0.5380183472679843,0.0158,3804.114,827.23
140,18.898,0.01,18.317,0.007,0.5866505122571415,0.0122,3795.38,865.18
147,17.514,0.005,16.97,0.02,0.5507020398867757,0.0206,3835.118,868.854
148,18.079,0.007,17.538,0.008,0.5457042565290238,0.0106,3827.446,970.5
150,18.694,0.0038,18.127,0.0042,0.5737020398867756,0.0057,3861.325,747.631
152,17.701,0.013,17.19,0.017,0.5177020398867758,0.0214,3858.766,861.763
154,18.819,0.015,18.221,0.033,0.6047020398867757,0.0362,3857.537,862.047
