,v,v_err,i,i_err,vi,vi_err,x,y
0,20.071,0.0074,19.342,0.0074,0.7255248875297101,0.0105,2266.746,975.827
1,18.63,0.0038,18.052,0.0041,0.5746693818886267,0.0056,2278.684,982.716
2,19.467,0.0056,18.816,0.0058,0.6476693818886268,0.0081,2358.149,966.078
3,20.424,0.0087,19.678,0.0087,0.7429534535666441,0.0123,2411.086,945.864
4,18.809,0.0041,18.222,0.0044,0.5862163917994951,0.0061,2451.712,968.601
5,20.387,0.0086,19.617,0.0084,0.7695788109919396,0.012,2484.239,964.706
6,19.664,0.0061,18.995,0.0063,0.667732622745438,0.0088,2499.564,958.784
7,20.721,0.01,19.919,0.0097,0.8003660872613181,0.0139,2509.573,978.211
8,20.554,0.0092,19.732,0.0089,0.8207326227454379,0.0128,2523.375,947.012
9,20.341,0.0084,19.622,0.0084,0.7177326227454379,0.0119,2514.971,980.967
10,20.43,0.0087,19.692,0.0087,0.7367326227454379,0.0123,2516.314,986.93
11,20.233,0.008,19.494,0.008,0.738137868422358,0.0113,2560.975,926.131
12,20.356,0.0084,19.589,0.0083,0.766137868422358,0.0118,2573.534,929.721
13,20.215,0.0079,19.482,0.0079,0.7327080635694184,0.0112,2604.564,980.798
14,14.532,0.0024,13.739,0.0026,0.7931115872895015,0.0035,2727.09,985.649
15,18.635,0.0038,18.062,0.0041,0.5735156900984827,0.0056,2754.56,883.018
16,18.944,0.0044,18.355,0.0047,0.590093726250445,0.0064,2765.354,985.549
17,20.607,0.0095,19.78,0.0091,0.8275156900984827,0.0131,2807.609,905.589
18,19.63,0.006,18.973,0.0062,0.6575156900984828,0.0087,2850.023,920.805
19,19.949,0.026,19.236,0.017,0.7132543144024777,0.0311,2847.839,974.207
20,20.732,0.01,19.893,0.0095,0.8399564088583614,0.0138,2906.029,855.516
21,19.221,0.012,18.585,0.001,0.6354426945916957,0.012,2913.994,974.98
22,18.926,0.01,18.338,0.018,0.5874426945916956,0.0206,2937.394,977.056
23,19.812,0.02,19.13,0.065,0.6816226915578314,0.068,2941.717,962.547
24,18.966,0.026,18.367,0.013,0.5986226915578313,0.0291,2942.3,966.624
25,19.0,0.0045,18.333,0.0046,0.667528892334742,0.0065,2975.667,856.444
26,19.257,0.0051,18.618,0.0053,0.6398628665899557,0.0073,2965.693,883.417
