v,v_err,i,i_err,vi,vi_err,x,y
18.63,0.0038,18.052,0.0041,0.578,0.0056,2278.684,982.716
18.809,0.0041,18.222,0.0044,0.587,0.0061,2451.712,968.601
18.635,0.0038,18.062,0.0041,0.573,0.0056,2754.56,883.018
18.944,0.0044,18.355,0.0047,0.589,0.0064,2765.354,985.549
19.221,0.012,18.585,0.001,0.636,0.012,2913.994,974.98
18.926,0.01,18.338,0.018,0.588,0.0206,2937.394,977.056
18.966,0.026,18.367,0.013,0.599,0.0291,2942.3,966.624
19.0,0.0045,18.333,0.0046,0.667,0.0065,2975.667,856.444
19.257,0.0051,18.618,0.0053,0.639,0.0073,2965.693,883.417
18.114,0.003,17.563,0.0032,0.551,0.0044,2992.12,904.663
18.1,0.003,17.564,0.0032,0.536,0.0044,2993.572,896.021
18.035,0.018,17.482,0.0031,0.553,0.0183,3027.538,929.696
18.308,0.0,17.751,0.0035,0.557,0.0035,3031.438,931.046
18.434,0.0035,17.883,0.0038,0.551,0.0051,3072.246,893.171
19.186,0.009,18.563,0.009,0.623,0.0127,3072.605,964.084
16.286,0.0055,15.563,0.0059,0.723,0.0081,3104.046,835.571
17.266,0.002,16.684,0.0022,0.582,0.003,3088.259,833.443
17.664,0.0024,17.124,0.0026,0.54,0.0036,3096.588,851.817
18.788,0.0041,18.213,0.0044,0.575,0.006,3160.233,839.481
17.387,0.0021,16.817,0.0106,0.57,0.0108,3171.345,865.324
19.16,0.0048,18.548,0.0051,0.612,0.007,3191.072,827.624
17.853,0.0026,17.33,0.0029,0.523,0.0039,3223.698,799.445
19.053,0.006,18.453,0.02,0.6,0.0209,3226.269,882.054
18.247,0.005,17.718,0.016,0.529,0.0168,3236.808,896.169
15.358,0.0036,14.615,0.0038,0.743,0.0052,3238.093,862.435
18.878,0.001,18.293,0.01,0.585,0.01,3339.951,891.272
18.985,0.01,18.391,0.015,0.594,0.018,3358.565,906.934
17.221,0.002,16.624,0.0021,0.597,0.0029,3395.278,798.642
17.27,0.009,16.687,0.01,0.583,0.0135,3395.317,961.92
18.477,0.001,17.918,0.012,0.559,0.012,3420.348,878.72
18.932,0.001,18.341,0.011,0.591,0.011,3426.557,895.711
17.316,0.0021,16.746,0.0022,0.57,0.003,3486.147,815.32
18.322,0.004,17.778,0.007,0.544,0.0081,3485.932,978.298
17.638,0.0024,17.114,0.0026,0.524,0.0035,3533.22,796.068
16.525,0.0061,15.811,0.0066,0.714,0.009,3514.347,841.091
19.231,0.007,18.626,0.02,0.605,0.0212,3535.521,914.07
19.009,0.0192,18.324,0.0212,0.685,0.0286,3552.711,809.473
17.643,0.008,17.104,0.011,0.539,0.0136,3548.209,942.08
17.427,0.0022,16.875,0.0023,0.552,0.0032,3579.204,732.295
18.981,0.0044,18.393,0.0047,0.588,0.0065,3610.015,757.622
18.788,0.014,18.202,0.002,0.586,0.0141,3598.494,869.702
17.82,0.0026,17.288,0.0028,0.532,0.0038,3626.257,734.616
17.649,0.0024,17.116,0.0026,0.533,0.0035,3627.829,776.511
18.647,0.005,18.091,0.011,0.556,0.0121,3627.341,810.615
18.772,0.006,18.201,0.014,0.571,0.0152,3617.365,934.897
19.072,0.0046,18.47,0.0049,0.602,0.0067,3649.975,734.066
17.905,0.0027,17.377,0.003,0.528,0.004,3650.463,742.219
18.245,0.016,17.701,0.026,0.544,0.0305,3649.952,873.091
18.392,0.003,17.849,0.014,0.543,0.0143,3652.612,929.519
18.746,0.004,18.186,0.0043,0.56,0.0058,3664.089,726.56
18.433,0.0034,17.841,0.0037,0.592,0.005,3757.121,732.328
18.515,0.005,17.961,0.004,0.554,0.0064,3783.121,940.868
17.749,0.013,17.218,0.009,0.531,0.0158,3804.114,827.23
18.898,0.01,18.317,0.007,0.581,0.0122,3795.38,865.18
17.514,0.005,16.97,0.02,0.544,0.0206,3835.118,868.854
18.079,0.007,17.538,0.008,0.541,0.0106,3827.446,970.5
18.694,0.0038,18.127,0.0042,0.567,0.0057,3861.325,747.631
17.701,0.013,17.19,0.017,0.511,0.0214,3858.766,861.763
18.819,0.015,18.221,0.033,0.598,0.0362,3857.537,862.047
17.318,0.009,16.747,0.008,0.571,0.012,3851.809,928.002
16.773,0.0016,16.089,0.007,0.684,0.0072,3879.223,914.746
18.615,0.0037,18.077,0.0041,0.538,0.0055,3894.72,726.195
17.836,0.003,17.299,0.009,0.537,0.0095,3903.253,969.357
18.385,0.0033,17.839,0.0036,0.546,0.0049,3930.13,670.935
18.662,0.005,18.099,0.021,0.563,0.0216,3931.745,794.262
17.567,0.004,17.021,0.005,0.546,0.0064,3946.781,745.699
19.014,0.007,18.427,0.002,0.587,0.0073,3950.797,886.325
18.776,0.024,18.186,0.025,0.59,0.0347,3949.749,906.8
18.039,0.009,17.497,0.009,0.542,0.0127,3950.794,938.231
18.623,0.02,18.053,0.013,0.57,0.0239,3967.597,816.633
