,v,v_err,i,i_err,vi,vi_err,x,y,Vbin,Ibin
0,18.63,0.0038,18.052,0.0041,0.578,0.0056,2278.684,982.716,70,70
1,18.809,0.0041,18.222,0.0044,0.587,0.0061,2451.712,968.601,80,80
2,18.635,0.0038,18.062,0.0041,0.573,0.0056,2754.56,883.018,70,70
3,18.944,0.0044,18.355,0.0047,0.589,0.0064,2765.354,985.549,79,79
4,19.221,0.012,18.585,0.001,0.636,0.012,2913.994,974.98,79,79
5,18.926,0.01,18.338,0.018,0.588,0.0206,2937.394,977.056,79,79
6,18.966,0.026,18.367,0.013,0.599,0.0291,2942.3,966.624,80,80
7,19.0,0.0045,18.333,0.0046,0.667,0.0065,2975.667,856.444,80,80
8,19.257,0.0051,18.618,0.0053,0.639,0.0073,2965.693,883.417,80,80
9,18.114,0.003,17.563,0.0032,0.551,0.0044,2992.12,904.663,60,70
10,18.1,0.003,17.564,0.0032,0.536,0.0044,2993.572,896.021,60,70
11,18.035,0.018,17.482,0.0031,0.553,0.0183,3027.538,929.696,60,60
12,18.308,0.0,17.751,0.0035,0.557,0.0035,3031.438,931.046,70,70
13,18.434,0.0035,17.883,0.0038,0.551,0.0051,3072.246,893.171,70,70
14,19.186,0.009,18.563,0.009,0.623,0.0127,3072.605,964.084,80,80
15,16.286,0.0055,15.563,0.0059,0.723,0.0081,3104.046,835.571,30,30
16,17.266,0.002,16.684,0.0022,0.582,0.003,3088.259,833.443,50,50
17,17.664,0.0024,17.124,0.0026,0.54,0.0036,3096.588,851.817,60,60
18,18.788,0.0041,18.213,0.0044,0.575,0.006,3160.233,839.481,80,80
19,17.387,0.0021,16.817,0.0106,0.57,0.0108,3171.345,865.324,50,50
20,19.16,0.0048,18.548,0.0051,0.612,0.007,3191.072,827.624,80,80
21,17.853,0.0026,17.33,0.0029,0.523,0.0039,3223.698,799.445,60,60
22,19.053,0.006,18.453,0.02,0.6,0.0209,3226.269,882.054,80,80
23,18.247,0.005,17.718,0.016,0.529,0.0168,3236.808,896.169,70,70
24,15.358,0.0036,14.615,0.0038,0.743,0.0052,3238.093,862.435,10,10
25,18.878,0.001,18.293,0.01,0.585,0.01,3339.951,891.272,80,80
26,18.985,0.01,18.391,0.015,0.594,0.018,3358.565,906.934,80,80
27,17.221,0.002,16.624,0.0021,0.597,0.0029,3395.278,798.642,50,50
