InputX InputY InputF606W InputF814W OutputX OutputY OutputF606W OutputF814W
1538.438 865.269 -11.24247780370791 -11.215286616360963 1538.438 865.269 -11.242418797470979 -11.215354934299025
1548.987 970.389 -11.797406338828228 -11.662908990195117 1548.987 970.389 -11.777444376609758 -11.685239408462152
1612.378 717.167 -12.040542612764067 -11.911663438737019 1612.378 717.167 -12.035407331671788 -11.917337563380375
1594.694 758.202 -14.116477803707909 -13.998286616360968 1594.694 758.202 -14.109910942865614 -14.003503628517041
1631.198 717.16 -13.783542612764066 -13.572663438737017 1631.198 717.16 -13.76524499167202 -13.588865059785391
1634.276 730.054 -11.904477803707909 -11.79328661636097 1634.276 730.054 -11.901595342418748 -11.79648454650986
1626.267 819.132 -13.789477803707907 -13.606286616360965 1626.267 819.132 -13.784541257506731 -13.610657679158521
1655.048 731.833 -12.40747780370791 -12.228286616360968 1655.048 731.833 -12.392486994636297 -12.24446183310707
1654.575 844.867 -12.542989489646324 -12.355291225964962 1654.575 844.867 -12.528500087024426 -12.370806361595303
1677.174 579.123 -13.507282026564216 -13.308163420334214 1677.174 579.123 -13.50408043230242 -13.311279787854968
1679.349 585.81 -12.04534455830483 -11.941871453287106 1679.349 585.81 -12.053067554191546 -11.933372510799657
1677.089 779.982 -13.876477803707907 -13.682286616360965 1677.089 779.982 -13.859753737185532 -13.696602223047858
1693.148 715.55 -10.560542612764067 -10.63966343873702 1693.148 715.55 -10.560633801289416 -10.639552913756226
1729.333 422.922 -11.658490124002654 -11.557641172054424 1729.333 422.922 -11.647677637339264 -11.569838659762055
1721.065 693.297 -11.374893688754899 -11.334564655057736 1721.065 693.297 -11.37703669510351 -11.33210516560628
1733.202 881.566 -10.681996152975646 -10.75363020997197 1733.202 881.566 -10.688630591748893 -10.745664283093966
1731.734 912.573 -11.548927994635378 -11.500582975998519 1731.734 912.573 -11.557856267034222 -11.49046807455321
1753.215 347.705 -10.540422812593437 -10.558263590053187 1753.215 347.705 -10.508772167270916 -10.596808641470279
1749.633 603.715 -12.287413168005521 -12.187583536374085 1749.633 603.715 -12.307370857724294 -12.16588088633759
1752.657 764.286 -15.678477803707908 -15.720286616360967 1752.657 764.286 -15.690348943400467 -15.708976119875501
1739.244 796.886 -12.671408428500687 -12.497906751266004 1739.244 796.886 -12.668073567822258 -12.501450957210249
1761.186 801.658 -11.547927739079554 -11.486918257362134 1761.186 801.658 -11.55049868199319 -11.48399309604098
1762.62 920.387 -12.13792799463538 -12.01658297599852 1762.62 920.387 -12.140909640152845 -12.013314881155573
1747.193 967.56 -11.413582350968301 -11.360686287435986 1747.193 967.56 -11.411966752709514 -11.362540480204878
1783.815 707.491 -12.838145850034088 -12.665731778415818 1783.815 707.491 -12.839999974786071 -12.663776599695531
1804.045 340.144 -13.689326681684744 -13.490530444263825 1804.045 340.144 -13.681752713883714 -13.49760280360783
1794.558 438.443 -11.302326681684747 -11.262530444263824 1794.558 438.443 -11.30002293534928 -11.265186011853267
1812.567 826.92 -11.743710894655624 -11.680440124082821 1812.567 826.92 -11.756268433194258 -11.666333737763647
1795.072 855.13 -12.576240270806807 -12.417791973465455 1795.072 855.13 -12.577438275329467 -12.416509159871282
1805.274 894.084 -12.588545209720028 -12.427326994039493 1805.274 894.084 -12.588767289443162 -12.427089192860585
1789.617 984.883 -15.511024731219507 -15.51764652992748 1789.617 984.883 -15.509953587420222 -15.518656150117582
1821.203 339.253 -11.277326681684748 -11.21453044426383 1821.203 339.253 -11.262004245330026 -11.23227089531245
