,v,v_err,i,i_err,vi,vi_err,x,y
0,17.389,0.0017,16.575,0.0018,0.814,0.0025,1594.694,758.202
1,17.721,0.002,17.0,0.0022,0.721,0.003,1631.198,717.16
2,17.716,0.002,16.967,0.0021,0.749,0.0029,1626.267,819.132
3,19.098,0.0038,18.345,0.0041,0.753,0.0056,1655.048,731.833
4,18.973,0.0036,18.225,0.0038,0.748,0.0052,1654.575,844.867
5,17.974,0.0023,17.249,0.0024,0.725,0.0033,1677.174,579.123
6,19.437,0.0045,18.616,0.0046,0.821,0.0064,1679.349,585.81
7,17.629,0.001,16.891,0.005,0.738,0.0051,1677.089,779.982
8,19.196,0.025,18.371,0.019,0.825,0.0314,1749.633,603.715
10,18.835,0.019,18.076,0.01,0.759,0.0215,1739.244,796.886
11,19.38,0.006,18.565,0.009,0.815,0.0108,1762.62,920.387
12,18.668,0.008,17.908,0.007,0.76,0.0106,1783.815,707.491
13,17.779,0.0021,17.058,0.0022,0.721,0.0031,1804.045,340.144
14,18.939,0.006,18.162,0.006,0.777,0.0085,1795.072,855.13
15,18.932,0.009,18.156,0.011,0.776,0.0142,1805.274,894.084
16,16.01,0.0042,15.066,0.004,0.944,0.0058,1789.617,984.883
17,19.208,0.027,18.45,0.014,0.758,0.0304,1825.767,421.031
18,19.427,0.019,18.648,0.008,0.779,0.0206,1846.831,581.142
19,18.411,0.008,17.681,0.004,0.73,0.0089,1850.929,657.429
20,18.936,0.021,18.16,0.007,0.776,0.0221,1843.339,763.862
21,19.277,0.019,18.488,0.004,0.789,0.0194,1868.88,458.265
22,18.717,0.014,17.94,0.008,0.777,0.0161,1872.301,743.431
23,18.443,0.011,17.71,0.005,0.733,0.0121,1877.026,808.154
24,18.871,0.001,18.089,0.006,0.782,0.0061,1864.378,868.729
25,17.981,0.002,17.236,0.005,0.745,0.0054,1864.662,916.054
26,19.339,0.01,18.542,0.006,0.797,0.0117,1864.513,936.277
27,17.605,0.022,16.861,0.002,0.744,0.0221,1906.655,427.561
28,18.347,0.012,17.608,0.002,0.739,0.0122,1894.99,648.137
29,19.194,0.02,18.404,0.003,0.79,0.0202,1917.127,709.069
30,18.153,0.011,17.414,0.01,0.739,0.0149,1937.202,718.558
31,18.573,0.004,17.817,0.011,0.756,0.0117,1951.383,742.953
32,18.9,0.009,18.128,0.003,0.772,0.0095,1976.802,851.419
33,18.283,0.005,17.551,0.009,0.732,0.0103,1970.04,950.791
34,17.792,0.0021,17.066,0.0023,0.726,0.0031,2008.992,257.971
36,18.742,0.011,17.974,0.006,0.768,0.0125,2011.869,716.121
37,18.836,0.016,18.073,0.009,0.763,0.0184,1990.637,883.145
38,19.206,0.006,18.399,0.011,0.807,0.0125,1992.493,864.59
39,18.662,0.018,17.928,0.014,0.734,0.0228,2014.842,559.506
40,18.041,0.002,17.291,0.009,0.75,0.0092,2032.687,695.432
41,19.057,0.014,18.289,0.005,0.768,0.0149,2036.17,753.879
42,17.977,0.008,17.257,0.015,0.72,0.017,2038.15,517.961
43,19.401,0.004,18.585,0.02,0.816,0.0204,2049.748,756.612
44,18.461,0.009,17.712,0.018,0.749,0.0201,2082.564,226.89
45,17.572,0.012,16.802,0.017,0.77,0.0208,2075.899,509.263
46,19.363,0.011,18.551,0.006,0.812,0.0125,2068.94,958.475
47,17.463,0.009,16.676,0.007,0.787,0.0114,2081.547,962.52
48,19.364,0.01,18.574,0.008,0.79,0.0128,2096.035,576.646
49,18.861,0.025,18.106,0.01,0.755,0.0269,2088.492,665.468
50,18.412,0.01,17.678,0.011,0.734,0.0149,2109.344,749.205
51,19.155,0.01,18.356,0.01,0.799,0.0141,2091.697,912.367
52,18.914,0.0035,18.171,0.012,0.743,0.0125,2122.183,412.138
55,19.159,0.005,18.382,0.01,0.777,0.0112,2113.914,788.157
56,18.617,0.018,17.85,0.014,0.767,0.0228,2115.714,981.605
57,18.506,0.007,17.739,0.006,0.767,0.0092,2121.617,966.942
58,18.575,0.003,17.823,0.0032,0.752,0.0044,2150.973,252.602
59,18.429,0.0028,17.681,0.003,0.748,0.0041,2187.559,313.166
60,17.562,0.005,16.798,0.013,0.764,0.0139,2182.511,363.311
61,18.707,0.021,17.98,0.029,0.727,0.0358,2184.145,485.279
62,18.556,0.007,17.829,0.015,0.727,0.0166,2192.381,590.849
63,17.263,0.02,16.433,0.012,0.83,0.0233,2201.632,624.43
64,18.685,0.0032,17.937,0.0034,0.748,0.0046,2222.494,241.434
65,17.535,0.014,16.757,0.023,0.778,0.0269,2226.851,318.158
66,18.021,0.012,17.292,0.004,0.729,0.0126,2221.567,946.852
67,17.136,0.007,16.27,0.007,0.866,0.0099,2260.283,460.68
68,16.367,0.0049,15.475,0.0049,0.892,0.0069,2253.734,580.046
69,19.093,0.013,18.321,0.014,0.772,0.0191,2254.111,696.253
70,17.455,0.0018,16.646,0.0019,0.809,0.0026,2270.763,313.76
71,18.895,0.009,18.109,0.019,0.786,0.021,2269.17,338.45
72,18.577,0.003,17.831,0.0032,0.746,0.0044,2265.688,434.977
73,18.35,0.012,17.625,0.006,0.725,0.0134,2283.997,470.541
74,19.272,0.008,18.485,0.015,0.787,0.017,2284.738,678.961
75,18.015,0.007,17.282,0.01,0.733,0.0122,2275.772,726.49
76,17.672,0.005,16.902,0.01,0.77,0.0112,2276.206,922.967
77,18.83,0.017,18.09,0.003,0.74,0.0173,2311.365,568.934
78,18.507,0.0029,17.748,0.0031,0.759,0.0043,2316.73,323.953
79,19.249,0.016,18.43,0.025,0.819,0.0297,2336.613,478.434
80,18.934,0.022,18.172,0.009,0.762,0.0238,2331.711,530.673
81,17.43,0.011,16.656,0.013,0.774,0.017,2335.864,556.978
82,18.999,0.022,18.25,0.012,0.749,0.0251,2316.85,573.275
83,19.132,0.017,18.366,0.01,0.766,0.0197,2337.486,589.146
84,17.684,0.002,16.909,0.0021,0.775,0.0029,2347.101,311.855
85,18.562,0.016,17.804,0.027,0.758,0.0314,2350.362,946.864
86,19.134,0.005,18.352,0.007,0.782,0.0086,2344.402,965.784
87,18.115,0.018,17.393,0.007,0.722,0.0193,2376.741,508.579
88,18.773,0.016,18.001,0.024,0.772,0.0288,2403.071,388.258
89,17.761,0.0,17.008,0.023,0.753,0.023,2404.081,408.007
90,17.983,0.014,17.25,0.01,0.733,0.0172,2391.88,773.525
91,19.366,0.021,18.572,0.012,0.794,0.0242,2410.567,822.325
92,19.445,0.004,18.63,0.017,0.815,0.0175,2423.307,415.122
93,18.813,0.0034,18.002,0.0035,0.811,0.0049,2449.454,380.991
94,19.088,0.023,18.298,0.022,0.79,0.0318,2449.702,592.974
95,18.181,0.003,17.458,0.002,0.723,0.0036,2453.667,599.301
96,17.341,0.0019,16.482,0.003,0.859,0.0036,2462.913,747.13
97,18.32,0.013,17.544,0.008,0.776,0.0153,2453.012,809.596
98,18.843,0.013,18.091,0.009,0.752,0.0158,2452.975,872.287
99,17.975,0.013,17.25,0.008,0.725,0.0153,2507.775,761.049
100,17.994,0.0023,17.248,0.0025,0.746,0.0034,2522.101,415.683
101,17.668,0.015,16.914,0.012,0.754,0.0192,2526.085,446.662
102,18.622,0.01,17.855,0.003,0.767,0.0104,2534.964,538.205
103,19.194,0.019,18.417,0.014,0.777,0.0236,2518.272,589.248
104,17.882,0.012,17.158,0.006,0.724,0.0134,2528.635,820.632
105,19.224,0.013,18.439,0.008,0.785,0.0153,2518.412,848.214
106,17.97,0.011,17.221,0.02,0.749,0.0228,2554.745,481.592
107,17.941,0.0023,17.226,0.0024,0.715,0.0033,2581.269,392.611
108,19.16,0.016,18.379,0.007,0.781,0.0175,2581.576,685.306
109,18.137,0.009,17.403,0.007,0.734,0.0114,2565.127,730.241
110,18.712,0.021,17.968,0.006,0.744,0.0218,2579.009,952.447
111,18.405,0.014,17.669,0.004,0.736,0.0146,2605.609,730.097
112,17.686,0.017,16.931,0.006,0.755,0.018,2593.761,755.941
113,18.205,0.01,17.446,0.004,0.759,0.0108,2645.574,979.179
114,18.05,0.0024,17.323,0.0026,0.727,0.0035,2665.67,474.938
115,18.067,0.0024,17.307,0.008,0.76,0.0084,2671.757,549.148
116,17.882,0.01,17.145,0.005,0.737,0.0112,2666.841,813.917
117,16.877,0.0063,15.995,0.0062,0.882,0.0089,2680.769,844.761
118,19.244,0.008,18.45,0.012,0.794,0.0144,2725.22,790.365
119,19.035,0.017,18.234,0.014,0.801,0.022,2773.452,617.979
120,18.5,0.0029,17.72,0.0031,0.78,0.0043,2812.942,530.763
122,18.974,0.018,18.187,0.005,0.787,0.0187,2812.703,778.223
123,18.112,0.0025,17.374,0.0026,0.738,0.0036,2846.833,522.207
124,18.77,0.024,17.976,0.001,0.794,0.024,2842.67,637.223
125,17.442,0.018,16.626,0.007,0.816,0.0193,2851.964,625.099
126,18.837,0.015,18.049,0.003,0.788,0.0153,2866.379,714.012
127,18.664,0.004,17.907,0.011,0.757,0.0117,2881.536,753.75
128,17.975,0.007,17.244,0.014,0.731,0.0157,2880.714,909.452
129,18.05,0.0024,17.312,0.0026,0.738,0.0035,2892.981,576.546
130,18.347,0.003,17.603,0.005,0.744,0.0058,2912.231,665.351
131,18.488,0.02,17.736,0.004,0.752,0.0204,2908.093,817.377
132,17.882,0.018,17.162,0.009,0.72,0.0201,2905.936,934.515
133,18.674,0.003,17.923,0.017,0.751,0.0173,2909.002,941.99
134,19.385,0.0044,18.555,0.0045,0.83,0.0063,2917.495,618.908
135,17.516,0.002,16.863,0.003,0.653,0.0036,2935.18,735.588
136,18.95,0.012,18.169,0.006,0.781,0.0134,2965.825,743.083
137,19.154,0.021,18.368,0.014,0.786,0.0252,2993.824,802.197
138,19.191,0.001,18.431,0.016,0.76,0.016,2997.552,878.877
139,17.363,0.007,16.544,0.003,0.819,0.0076,3046.552,807.1
140,17.999,0.018,17.277,0.006,0.722,0.019,3042.843,875.772
141,15.479,0.0033,14.536,0.0032,0.943,0.0046,3048.682,952.344
142,19.402,0.0045,18.608,0.0047,0.794,0.0065,3070.477,702.611
143,19.272,0.007,18.489,0.007,0.783,0.0099,3082.981,923.43
144,18.518,0.007,17.775,0.011,0.743,0.013,3075.483,984.087
145,18.888,0.015,18.131,0.01,0.757,0.018,3107.236,874.928
146,18.074,0.005,17.353,0.008,0.721,0.0094,3100.442,901.474
148,18.48,0.004,17.74,0.01,0.74,0.0108,3128.079,867.303
