,v,v_err,i,i_err,vi,vi_err,x,y
0,21.024,0.005,20.569,0.006,0.46310069815023347,0.0078,2070.301,981.386
3,21.404,0.0059,20.895,0.007,0.5187466899680304,0.0091,2837.333,828.268
6,20.98,0.0048,20.526,0.0058,0.464918338196593,0.0076,3074.474,698.167
8,21.331,0.022,20.859,0.004,0.47950824074310483,0.0224,3148.576,904.358
9,21.178,0.005,20.7,0.011,0.48550824074310484,0.0121,3186.197,978.251
10,19.866,0.007,19.405,0.005,0.4703434144625288,0.0086,3237.209,892.243
11,19.95,0.001,19.485,0.015,0.4751477291867371,0.015,3324.077,758.127
12,21.056,0.0,20.592,0.029,0.4740293429737788,0.029,3459.762,841.143
14,21.225,0.008,20.759,0.006,0.47596687206707883,0.01,3579.746,876.477
17,21.083,0.007,20.617,0.001,0.4758128416174731,0.0071,3710.826,782.353
18,20.001,0.019,19.541,0.017,0.47133746294016576,0.0255,3748.292,638.642
22,21.531,0.019,21.034,0.013,0.5073827486368903,0.023,3958.168,930.443
24,20.624,0.006,20.181,0.013,0.4536910340071662,0.0143,3980.111,972.284
26,20.999,0.009,20.544,0.009,0.465201891517232,0.0127,4083.278,906.58
27,20.09,0.011,19.652,0.006,0.44838274863689026,0.0125,4066.833,923.874
30,19.746,0.009,19.271,0.01,0.4856789438975448,0.0135,4187.799,733.707
31,21.543,0.003,21.046,0.011,0.5076789438975449,0.0114,4201.672,779.689
32,21.263,0.015,20.787,0.003,0.4866789438975448,0.0153,4251.927,938.427
34,20.384,0.042,19.956,0.0046,0.43307538427665804,0.0423,462.772,1691.515
37,19.585,0.01,19.038,0.015,0.5526479248601789,0.018,706.418,1796.17
40,20.55,0.01,20.111,0.016,0.4447003892423267,0.0189,836.047,1707.761
41,20.498,0.012,20.057,0.012,0.4470451033075169,0.017,863.586,1674.178
45,20.689,0.019,20.24,0.018,0.45457653753417127,0.0262,1059.323,1890.992
46,20.42,0.013,20.015,0.01,0.4107148962717519,0.0164,1077.877,1708.974
48,20.524,0.012,20.079,0.01,0.4508534082528147,0.0156,1118.207,1633.518
50,21.365,0.013,20.884,0.022,0.4868230877475318,0.0256,1132.817,1973.276
51,21.497,0.012,20.988,0.014,0.5148534082528147,0.0184,1149.396,1618.626
53,18.021,0.034,17.433,0.013,0.5935618772612639,0.0364,1176.789,1357.426
55,20.594,0.017,20.152,0.018,0.44778202092680713,0.0248,1204.677,1810.867
57,20.154,0.012,19.715,0.012,0.44478202092680713,0.017,1261.167,1806.341
58,21.665,0.0067,21.117,0.107,0.5538534082528147,0.1072,1274.637,1335.136
61,20.941,0.011,20.462,0.036,0.48485340825281464,0.0376,1332.921,1338.579
67,19.017,0.003,18.406,0.004,0.6168534082528147,0.005,1456.93,1401.831
71,21.492,0.017,20.995,0.017,0.5025618772612639,0.024,1478.589,1540.99
72,21.373,0.012,20.897,0.014,0.48156187726126387,0.0184,1472.312,1730.299
73,20.054,0.009,19.61,0.009,0.4498020954197965,0.0127,1508.175,1880.807
74,20.65,0.001,20.212,0.007,0.44371489627175187,0.0071,1527.248,1394.861
75,19.497,0.011,18.928,0.005,0.5747349707647411,0.0121,1532.158,1823.608
76,20.894,0.0047,20.436,0.0057,0.4684859275318526,0.0074,1544.262,1150.998
78,20.334,0.011,19.901,0.015,0.44040967448315516,0.0186,1581.053,1317.148
79,20.135,0.006,19.695,0.008,0.4460757266806748,0.01,1577.128,1735.814
