,v,v_err,i,i_err,vi,vi_err,x,y
0,22.302,0.0094,21.719,0.0107,0.5857198291898584,0.0143,2567.096,872.844
1,20.956,0.008,20.487,0.024,0.47281858995561044,0.0253,2586.948,946.917
2,22.713,0.042,22.072,0.0126,0.6437198291898585,0.0439,2586.729,962.431
3,21.58,0.011,21.078,0.022,0.5034714389336525,0.0246,2563.165,980.367
4,22.85,0.01,22.197,0.04,0.6548519485839996,0.0412,2650.543,966.808
5,22.916,0.054,22.221,0.011,0.6968519485839997,0.0551,2667.749,934.087
6,21.557,0.0067,21.055,0.0078,0.5047198291898585,0.0103,2695.586,844.956
7,22.052,0.0084,21.469,0.0095,0.5845074843647086,0.0127,2700.421,877.541
8,18.072,0.0045,17.449,0.0051,0.6245074843647086,0.0068,2728.046,887.192
9,22.851,0.0122,22.14,0.013,0.7137198291898585,0.0178,2750.895,928.495
10,22.794,0.017,22.101,0.032,0.6957198291898585,0.0362,2741.621,966.801
11,20.449,0.004,20.02,0.0048,0.43281858995561046,0.0063,2775.461,839.458
12,20.773,0.0046,20.262,0.0054,0.5158215267092898,0.0071,2830.032,799.501
13,22.215,0.009,21.627,0.0102,0.5928215267092898,0.0136,2885.841,773.129
14,22.366,0.052,21.736,0.009,0.6315074843647086,0.0528,2867.922,918.496
15,22.614,0.014,21.948,0.031,0.6669970249600349,0.034,2878.89,939.205
16,21.252,0.0058,20.784,0.0069,0.47282152670928984,0.009,2902.116,762.7
17,20.358,0.0038,19.947,0.024,0.4139867547808077,0.0243,2935.32,824.505
18,20.455,0.009,20.04,0.0049,0.41524554969459415,0.0102,2962.709,890.687
19,19.969,0.004,19.546,0.015,0.4225031911236736,0.0155,3006.908,984.264
20,21.935,0.016,21.391,0.028,0.5435031911236736,0.0322,3023.58,932.45
21,19.078,0.014,18.511,0.014,0.5672455496945942,0.0198,3046.31,815.84
22,20.002,0.118,19.595,0.143,0.40837753461038206,0.1854,3056.356,857.477
23,22.725,0.001,22.066,0.022,0.6598252951837759,0.022,3114.27,867.318
24,22.539,0.002,21.924,0.026,0.6179904347051288,0.0261,3162.206,788.65
25,21.72,0.005,21.178,0.021,0.5440867695341707,0.0216,3184.24,883.669
26,17.108,0.0028,16.459,0.0032,0.6510867695341707,0.0043,3193.653,874.222
27,22.086,0.026,21.468,0.02,0.6188252951837758,0.0328,3191.386,927.872
28,20.246,0.007,19.816,0.012,0.4308252951837758,0.0139,3197.192,922.442
29,22.803,0.005,22.114,0.0127,0.6927434459409423,0.0136,3229.437,761.569
30,21.533,0.019,21.048,0.004,0.48472839876576995,0.0194,3221.722,938.993
31,22.16,0.027,21.586,0.014,0.5769904347051288,0.0304,3327.917,714.448
32,22.247,0.007,21.644,0.01,0.6047072391565512,0.0122,3340.085,873.957
33,21.362,0.015,20.869,0.018,0.49470723915655124,0.0234,3353.918,873.293
34,22.068,0.02,21.478,0.008,0.592217857790843,0.0215,3383.386,832.251
35,22.845,0.0119,22.128,0.0127,0.71803184029659,0.0174,3393.139,606.296
36,22.564,0.015,21.919,0.027,0.6470258331253523,0.0309,3398.004,891.807
37,22.372,0.014,21.758,0.016,0.6148252951837758,0.0213,3392.443,987.592
38,22.132,0.0086,21.528,0.009,0.6074154240604822,0.0125,3417.76,780.936
39,20.632,0.004,20.189,0.006,0.4464154240604822,0.0072,3416.197,807.02
40,20.565,0.015,20.131,0.01,0.4369904347051288,0.018,3431.089,828.886
41,22.216,0.0089,21.615,0.01,0.6010520784562146,0.0134,3481.162,618.089
42,22.921,0.031,22.249,0.0,0.67303184029659,0.031,3463.113,709.073
43,22.834,0.029,22.16,0.015,0.6767335413536146,0.0326,3463.369,836.625
44,20.925,0.006,20.476,0.013,0.45173354135361465,0.0143,3511.632,784.566
45,22.058,0.013,21.482,0.017,0.5780258331253523,0.0214,3500.955,911.128
46,22.679,0.01,21.994,0.033,0.6870258331253524,0.0345,3499.589,938.522
47,21.767,0.018,21.239,0.017,0.5282809845804869,0.0248,3517.997,750.426
48,21.71,0.025,21.169,0.002,0.5412809845804869,0.0251,3524.797,754.672
49,20.61,0.015,20.187,0.011,0.42502583312535236,0.0186,3516.424,905.704
50,22.223,0.011,21.632,0.005,0.5910520784562145,0.0121,3587.946,733.388
51,22.647,0.016,22.0,0.026,0.6470520784562146,0.0305,3566.262,742.654
52,21.665,0.0069,21.15,0.008,0.5150520784562145,0.0106,3590.311,545.425
53,21.928,0.0265,21.422,0.0091,0.5060520784562146,0.028,3596.83,597.458
54,21.832,0.097,21.331,0.027,0.5012809845804869,0.1007,3589.541,664.367
55,22.151,0.002,21.554,0.02,0.5990846725933355,0.0201,3589.968,845.582
56,19.538,0.008,19.094,0.012,0.4460846725933355,0.0144,3595.353,859.546
57,22.635,0.0108,21.967,0.0117,0.6682586235690287,0.0159,3613.998,574.514
58,22.035,0.013,21.461,0.016,0.5764053635029718,0.0206,3613.361,926.131
59,21.493,0.016,20.98,0.006,0.5157335413536146,0.0171,3615.732,949.741
60,22.128,0.006,21.558,0.017,0.5702586235690286,0.018,3661.898,671.818
61,20.231,0.01,19.819,0.01,0.4142479420054216,0.0141,3649.713,983.704
62,20.25,0.0036,19.818,0.0043,0.4340002706447187,0.0056,3687.912,512.251
63,21.102,0.013,20.649,0.041,0.45635890663193523,0.043,3706.442,682.068
64,18.646,0.01,18.041,0.013,0.6062217680212454,0.0164,3710.425,743.357
65,22.62,0.0107,21.936,0.0115,0.6860002706447188,0.0157,3715.06,499.841
66,21.052,0.028,20.571,0.007,0.4815393382077684,0.0289,3720.667,590.947
67,22.931,0.009,22.249,0.0133,0.6825393382077685,0.0161,3723.322,645.522
68,20.928,0.015,20.464,0.013,0.46735890663193524,0.0198,3727.422,701.086
69,20.599,0.04,20.186,0.008,0.41422176802124544,0.0408,3725.366,760.712
70,22.407,0.021,21.8,0.03,0.6086848895035832,0.0366,3727.364,987.455
71,22.294,0.0092,21.729,0.0105,0.5663068705072665,0.0139,3762.361,470.252
72,21.032,0.016,20.565,0.014,0.4672586235690287,0.0213,3756.627,756.146
73,20.45,0.01,20.019,0.019,0.43047060738434667,0.0215,3743.155,821.679
74,20.278,0.01,19.86,0.016,0.41825862356902865,0.0189,3770.452,760.787
75,20.854,0.011,20.388,0.011,0.4662586235690287,0.0156,3792.518,650.503
76,22.264,0.037,21.647,0.009,0.6175393382077684,0.0381,3793.256,661.033
77,21.77,0.009,21.249,0.016,0.5212586235690286,0.0184,3809.51,825.464
78,22.087,0.0083,21.522,0.0095,0.5663068705072665,0.0126,3814.879,506.106
79,20.559,0.011,20.109,0.028,0.4506563639584501,0.0301,3813.951,656.599
80,20.451,0.011,20.023,0.011,0.4282453635826601,0.0156,3865.698,845.174
81,22.932,0.028,22.225,0.033,0.7076563639584501,0.0433,3895.24,690.297
82,22.916,0.014,22.194,0.018,0.7223994958115207,0.0228,3892.93,852.262
83,21.966,0.017,21.4,0.031,0.566104491340168,0.0354,3904.707,889.773
84,21.278,0.0057,20.782,0.01,0.49656382031181706,0.0115,3940.936,681.261
85,20.985,0.018,20.518,0.001,0.4676244406937895,0.018,3983.291,638.413
86,17.692,0.0037,17.056,0.0041,0.6366896579300039,0.0055,3978.129,675.73
87,21.734,0.015,21.192,0.014,0.542563820311817,0.0205,3986.408,882.612
88,22.739,0.01,22.08,0.033,0.6596563639584502,0.0345,3974.887,926.607
89,21.213,0.028,20.731,0.023,0.4825393382077684,0.0362,3981.607,943.021
90,21.788,0.01,21.27,0.015,0.518563820311817,0.018,3989.29,686.766
91,21.866,0.005,21.309,0.007,0.5575638203118172,0.0086,3999.321,804.878
92,21.574,0.01,21.057,0.011,0.5175638203118171,0.0149,4029.815,762.299
93,21.51,0.01,20.997,0.019,0.5135638203118171,0.0215,4015.117,852.162
94,21.651,0.014,21.119,0.008,0.5326563639584502,0.0161,4021.431,931.012
95,22.248,0.016,21.658,0.014,0.5905638203118171,0.0213,4029.501,943.788
96,21.691,0.0069,21.17,0.008,0.5204680149607427,0.0106,4052.177,418.296
97,19.475,0.013,19.013,0.013,0.4626244406937895,0.0184,4075.032,622.755
98,22.367,0.032,21.741,0.08,0.6275076067679048,0.0862,4084.628,799.066
99,22.649,0.06,22.01,0.052,0.6405076067679049,0.0794,4084.563,797.204
100,20.212,0.009,19.795,0.01,0.4180676769263204,0.0135,4066.7,878.128
101,19.726,0.013,19.301,0.007,0.4264601576257583,0.0148,4076.225,931.683
102,21.824,0.014,21.279,0.015,0.5464601576257584,0.0205,4095.002,941.629
103,22.345,0.0313,21.683,0.0345,0.6625638203118172,0.0466,4186.954,327.365
104,21.009,0.019,20.544,0.025,0.4655962165032668,0.0314,4197.667,448.778
105,22.07,0.009,21.5,0.007,0.5705962165032668,0.0114,4211.712,591.741
106,21.3,0.025,20.799,0.01,0.5015962165032668,0.0269,4220.731,584.762
107,21.446,0.011,20.942,0.012,0.5047041126000597,0.0163,4229.416,725.791
108,20.904,0.004,20.433,0.036,0.4721295877715882,0.0362,4259.398,462.793
109,20.642,0.01,20.209,0.025,0.4335962165032668,0.0269,4244.354,568.649
110,22.752,0.02,22.086,0.019,0.6666295104748206,0.0276,4254.073,723.531
111,22.018,0.009,21.444,0.019,0.5747041126000596,0.021,4251.34,849.883
112,22.115,0.016,21.539,0.007,0.5771615110362488,0.0175,4252.723,863.078
113,22.385,0.018,21.762,0.013,0.6235962165032668,0.0222,4277.673,570.071
114,22.329,0.008,21.731,0.008,0.5985962165032668,0.0113,4265.751,760.116
115,20.707,0.01,20.25,0.007,0.45761156895342664,0.0122,4275.483,940.157
116,22.709,0.011,22.032,0.0119,0.6788229879090404,0.0162,4304.932,382.257
117,22.162,0.014,21.572,0.023,0.5906295104748205,0.0269,4301.162,683.688
118,21.504,0.019,20.989,0.013,0.5156295104748205,0.023,4326.387,552.752
119,21.808,0.001,21.263,0.009,0.5468229879090404,0.0091,4352.769,462.266
120,21.027,0.014,20.573,0.012,0.4544239779155694,0.0184,4360.353,962.709
121,21.789,0.021,21.277,0.016,0.512672189335399,0.0264,4363.091,710.565
122,22.824,0.017,22.139,0.022,0.6861440424416441,0.0278,4379.455,698.781
123,19.953,0.0031,19.514,0.0037,0.44012958777158817,0.0048,4409.541,434.014
124,21.492,0.024,20.988,0.012,0.505144042441644,0.0268,4405.581,757.541
125,20.419,0.0038,19.963,0.0046,0.4571440424416441,0.006,4421.277,493.312
126,21.835,0.011,21.299,0.012,0.5394854000731291,0.0163,4437.804,868.166
127,20.78,0.023,20.342,0.018,0.43914404244164407,0.0292,4454.239,578.953
128,16.161,0.054,15.409,0.045,0.7548112470741297,0.0703,4449.652,763.735
129,22.482,0.019,21.85,0.019,0.6341916750461428,0.0269,4473.885,938.592
130,22.836,0.007,22.148,0.035,0.6908112470741297,0.0357,4495.579,692.537
131,20.273,0.02,19.877,0.019,0.3971440424416441,0.0276,4523.434,600.889
132,22.875,0.014,22.2,0.055,0.6784854000731291,0.0568,4514.309,881.568
