,v,v_err,i,i_err,vi,vi_err,x,y
1,19.801,0.0048,19.212,0.0051,0.589,0.007,2299.705,986.103
6,18.507,0.016,17.96,0.0029,0.547,0.0163,2531.575,971.878
7,20.053,0.0054,19.377,0.0055,0.676,0.0077,2548.39,883.01
8,18.397,0.0025,17.848,0.0027,0.549,0.0037,2562.374,873.028
10,18.389,0.0025,17.84,0.0027,0.549,0.0037,2553.287,902.627
11,19.336,0.007,18.77,0.003,0.566,0.0076,2541.308,970.687
12,18.652,0.0028,18.111,0.0031,0.541,0.0042,2567.997,892.989
13,19.207,0.0036,18.66,0.004,0.547,0.0054,2604.208,881.639
14,19.605,0.016,19.028,0.009,0.577,0.0184,2624.296,985.51
15,18.921,0.0032,18.395,0.0035,0.526,0.0047,2655.166,849.781
16,19.95,0.0051,19.33,0.0054,0.62,0.0074,2651.973,936.38
17,19.011,0.0033,18.464,0.0036,0.547,0.0049,2724.937,817.366
18,18.959,0.0033,18.429,0.0036,0.53,0.0048,2726.733,846.006
22,18.637,0.0028,18.079,0.003,0.558,0.0041,2745.043,875.872
23,19.083,0.0034,18.493,0.0037,0.59,0.005,2769.985,820.626
24,18.093,0.0022,17.465,0.0023,0.628,0.0032,2785.687,857.174
27,19.885,0.019,19.286,0.017,0.599,0.0255,2837.312,909.553
29,19.685,0.0046,19.08,0.0048,0.605,0.0066,2845.608,822.056
31,20.022,0.0053,19.416,0.0056,0.606,0.0077,2869.86,885.095
32,20.158,0.018,19.465,0.033,0.693,0.0376,2882.908,883.25
33,19.877,0.005,19.306,0.0053,0.571,0.0073,2896.414,800.495
35,18.851,0.0031,18.307,0.0034,0.544,0.0046,2903.428,820.653
37,18.501,0.004,17.961,0.009,0.54,0.0098,2906.307,970.419
40,19.765,0.009,19.133,0.001,0.632,0.0091,2924.164,959.295
41,19.546,0.008,18.973,0.016,0.573,0.0179,2942.466,939.258
44,20.026,0.015,19.415,0.002,0.611,0.0151,3007.246,902.211
49,19.653,0.005,19.093,0.005,0.56,0.0071,3014.376,930.885
55,19.14,0.005,18.593,0.007,0.547,0.0086,3080.786,929.518
57,19.692,0.01,19.095,0.004,0.597,0.0108,3101.262,936.291
58,19.718,0.005,19.12,0.005,0.598,0.0071,3110.082,928.304
61,19.614,0.005,19.026,0.009,0.588,0.0103,3124.353,818.216
62,19.86,0.011,19.251,0.007,0.609,0.013,3126.558,895.665
63,19.198,0.015,18.635,0.004,0.563,0.0155,3133.716,938.707
64,18.815,0.004,18.259,0.001,0.556,0.0041,3155.191,812.686
67,18.909,0.008,18.36,0.004,0.549,0.0089,3176.654,974.152
68,19.09,0.0035,18.54,0.0038,0.55,0.0051,3196.898,733.162
71,19.985,0.012,19.36,0.002,0.625,0.0122,3211.169,905.257
74,19.502,0.009,18.925,0.006,0.577,0.0108,3224.001,981.66
75,19.983,0.0052,19.36,0.0055,0.623,0.0076,3250.156,647.422
78,18.537,0.002,17.973,0.005,0.564,0.0054,3263.597,731.678
79,18.756,0.007,18.211,0.003,0.545,0.0076,3271.716,895.473
83,19.91,0.006,19.305,0.002,0.605,0.0063,3327.103,722.004
85,19.558,0.013,18.977,0.008,0.581,0.0153,3317.46,880.77
87,19.28,0.025,18.706,0.003,0.574,0.0252,3331.875,933.823
90,18.922,0.0032,18.367,0.0035,0.555,0.0047,3363.906,588.791
92,19.813,0.025,19.201,0.0,0.612,0.025,3378.218,711.422
93,18.94,0.003,18.397,0.002,0.543,0.0036,3377.819,823.792
95,18.638,0.0028,18.101,0.0031,0.537,0.0042,3404.432,603.28
97,19.111,0.007,18.558,0.005,0.553,0.0086,3394.373,966.964
98,17.878,0.0073,17.173,0.002,0.705,0.0076,3437.75,646.214
99,19.34,0.016,18.771,0.002,0.569,0.0161,3415.892,692.443
101,19.379,0.015,18.8,0.01,0.579,0.018,3422.845,831.898
102,19.987,0.009,19.339,0.006,0.648,0.0108,3425.921,824.517
103,19.764,0.009,19.17,0.004,0.594,0.0098,3432.177,830.405
106,18.226,0.013,17.635,0.009,0.591,0.0158,3443.603,692.184
107,19.846,0.01,19.231,0.012,0.615,0.0156,3458.111,718.356
108,18.681,0.0106,18.117,0.0121,0.564,0.0161,3468.615,746.541
109,19.763,0.028,19.168,0.008,0.595,0.0291,3482.399,792.87
111,19.199,0.001,18.595,0.003,0.604,0.0032,3493.957,663.344
112,19.363,0.013,18.797,0.002,0.566,0.0132,3495.914,715.796
115,18.87,0.008,18.283,0.006,0.587,0.01,3497.155,834.88
116,18.295,0.007,17.715,0.006,0.58,0.0092,3496.52,847.867
120,19.028,0.007,18.479,0.01,0.549,0.0122,3509.61,939.351
122,18.574,0.0027,18.021,0.003,0.553,0.0041,3514.511,543.18
