v,v_err,i,i_err,vi,vi_err,x,y
16.52,0.0031,15.923,0.0036,0.597,0.0047,2303.851,937.581
17.716,0.0054,17.013,0.0059,0.703,0.008,2300.158,942.527
17.274,0.0044,16.642,0.005,0.632,0.0066,2358.423,888.031
18.078,0.008,17.372,0.006,0.706,0.01,2376.328,949.75
18.139,0.03,17.422,0.006,0.717,0.0306,2442.193,986.587
16.338,0.0029,15.702,0.0032,0.636,0.0043,2490.726,869.267
18.1,0.0065,17.356,0.0069,0.744,0.0095,2528.191,853.246
17.942,0.009,17.243,0.009,0.699,0.0127,2590.115,945.128
16.122,0.005,15.526,0.006,0.596,0.0078,2695.388,834.459
16.723,0.008,16.111,0.008,0.612,0.0113,2689.242,877.83
17.736,0.017,17.073,0.017,0.663,0.024,2717.282,775.796
17.888,0.006,17.168,0.003,0.72,0.0067,2762.844,819.189
17.231,0.007,16.593,0.004,0.638,0.0081,2767.434,866.111
17.808,0.007,17.132,0.007,0.676,0.0099,2824.987,893.886
18.26,0.007,17.502,0.0074,0.758,0.0102,2841.882,670.25
17.771,0.009,17.098,0.01,0.673,0.0135,2870.946,682.365
16.0,0.008,15.369,0.004,0.631,0.0089,2873.885,705.142
18.243,0.007,17.505,0.002,0.738,0.0073,2896.303,810.998
17.607,0.006,16.943,0.012,0.664,0.0134,2897.956,933.433
17.912,0.013,17.184,0.012,0.728,0.0177,2898.313,918.74
17.642,0.001,16.962,0.004,0.68,0.0041,2915.985,712.419
17.045,0.002,16.414,0.014,0.631,0.0141,2937.194,718.297
17.807,0.0057,17.119,0.0062,0.688,0.0084,3011.666,528.537
18.149,0.008,17.414,0.009,0.735,0.012,3104.455,784.779
15.728,0.0022,15.056,0.0024,0.672,0.0033,3128.064,437.713
16.227,0.005,15.637,0.006,0.59,0.0078,3125.423,796.18
15.728,0.007,15.069,0.006,0.659,0.0092,3121.669,924.372
16.127,0.007,15.522,0.002,0.605,0.0073,3146.602,787.002
17.643,0.0053,16.953,0.0058,0.69,0.0078,3208.083,400.312
17.78,0.014,17.093,0.012,0.687,0.0184,3192.659,902.0
17.53,0.014,16.855,0.014,0.675,0.0198,3215.472,467.159
17.447,0.008,16.791,0.003,0.656,0.0085,3236.412,645.863
16.077,0.009,15.479,0.006,0.598,0.0108,3219.953,906.06
