#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   437.203033      -15.3092003             120  0.959999979    
   641.231079      -15.3092003             183  0.983870983    
   845.259155      -15.3092003             196  0.980000019    
   1049.28723      -15.3092003             197  0.985000014    
   1253.31531      -15.3092003             208   1.00000000    
   1457.34338      -15.3092003             215  0.995370388    
   1661.37146      -15.3092003             231   1.00000000    
   1865.39954      -15.3092003             197   1.00000000    
   2069.42773      -15.3092003             203  0.953051627    
   2914.68677      -15.3092003             198  0.920930207    
   437.203033      -15.0662003             130  0.977443635    
   641.231079      -15.0662003             149  0.986754954    
   845.259155      -15.0662003             218  0.986425340    
   1049.28723      -15.0662003             192  0.984615386    
   1253.31531      -15.0662003             215  0.990783393    
   1457.34338      -15.0662003             231  0.995689631    
   1661.37146      -15.0662003             213   1.00000000    
   1865.39954      -15.0662003             189   1.00000000    
   2069.42773      -15.0662003             199  0.961352646    
   2914.68677      -15.0662003             234  0.928571403    
   437.203033      -14.8232002             114  0.942148745    
   641.231079      -14.8232002             142  0.993007004    
   845.259155      -14.8232002             211  0.995283008    
   1049.28723      -14.8232002             199  0.995000005    
   1253.31531      -14.8232002             220   1.00000000    
   1457.34338      -14.8232002             218   1.00000000    
   1661.37146      -14.8232002             214  0.995348811    
   1865.39954      -14.8232002             209   1.00000000    
   2069.42773      -14.8232002             206  0.976303339    
   2914.68677      -14.8232002             226  0.969957054    
   437.203033      -14.5802002             110  0.916666687    
   641.231079      -14.5802002             134  0.992592573    
   845.259155      -14.5802002             222  0.977973580    
   1049.28723      -14.5802002             228  0.974358976    
   1253.31531      -14.5802002             193  0.984693885    
   1457.34338      -14.5802002             222   1.00000000    
   1661.37146      -14.5802002             243  0.995901644    
   1865.39954      -14.5802002             181  0.983695626    
   2069.42773      -14.5802002             229  0.991342008    
   2914.68677      -14.5802002             248  0.957528949    
   437.203033      -14.3372002             131  0.942446053    
   641.231079      -14.3372002             169  0.971264362    
   845.259155      -14.3372002             176  0.983240247    
   1049.28723      -14.3372002             225  0.974025965    
   1253.31531      -14.3372002             195  0.975000024    
   1457.34338      -14.3372002             208  0.995215297    
   1661.37146      -14.3372002             214  0.995348811    
   1865.39954      -14.3372002             228   1.00000000    
   2069.42773      -14.3372002             232   1.00000000    
   2914.68677      -14.3372002             264   1.00000000    
   437.203033      -14.0942001             134  0.943661988    
   641.231079      -14.0942001             125  0.992063463    
   845.259155      -14.0942001             186  0.994652390    
   1049.28723      -14.0942001             223  0.978070199    
   1253.31531      -14.0942001             200  0.985221684    
   1457.34338      -14.0942001             230  0.995670974    
   1661.37146      -14.0942001             209  0.995238066    
   1865.39954      -14.0942001             203   1.00000000    
   2069.42773      -14.0942001             207  0.995192289    
   2914.68677      -14.0942001             277  0.992831528    
   437.203033      -13.6708832             233  0.935742974    
   641.231079      -13.6708832             240  0.979591846    
   845.259155      -13.6708832             327  0.993920982    
   1049.28723      -13.6708832             396  0.994974852    
   1253.31531      -13.6708832             408  0.992700756    
   1457.34338      -13.6708832             364   1.00000000    
   1661.37146      -13.6708832             363  0.994520545    
   1865.39954      -13.6708832             330  0.993975878    
   2069.42773      -13.6708832             343  0.997093022    
   2914.68677      -13.6708832             416   1.00000000    
   437.203033      -13.2475672             228  0.934426248    
   641.231079      -13.2475672             253  0.969348669    
   845.259155      -13.2475672             330  0.979228497    
   1049.28723      -13.2475672             353  0.964480877    
   1253.31531      -13.2475672             366  0.991869926    
   1457.34338      -13.2475672             388  0.989795923    
   1661.37146      -13.2475672             364  0.991825640    
   1865.39954      -13.2475672             378  0.989528775    
   2069.42773      -13.2475672             341   1.00000000    
   2914.68677      -13.2475672             427  0.990719259    
   437.203033      -12.8242502             195  0.859030843    
   641.231079      -12.8242502             254  0.951310873    
   845.259155      -12.8242502             352  0.983240247    
   1049.28723      -12.8242502             375  0.989445925    
   1253.31531      -12.8242502             375  0.986842096    
   1457.34338      -12.8242502             403  0.995061755    
   1661.37146      -12.8242502             337  0.988269806    
   1865.39954      -12.8242502             332  0.994011998    
   2069.42773      -12.8242502             364  0.989130437    
   2914.68677      -12.8242502             411  0.995157361    
   437.203033      -12.4009333             198  0.891891897    
   641.231079      -12.4009333             248  0.935849071    
   845.259155      -12.4009333             353  0.959239125    
   1049.28723      -12.4009333             364  0.973262012    
   1253.31531      -12.4009333             331  0.982195854    
   1457.34338      -12.4009333             329  0.990963876    
   1661.37146      -12.4009333             352  0.983240247    
   1865.39954      -12.4009333             354  0.988826811    
   2069.42773      -12.4009333             405  0.997536957    
   2914.68677      -12.4009333             429  0.988479257    
   437.203033      -11.9776173             214  0.852589667    
   641.231079      -11.9776173             250  0.915750921    
   845.259155      -11.9776173             357  0.954545438    
   1049.28723      -11.9776173             343  0.963483155    
   1253.31531      -11.9776173             379  0.976804137    
   1457.34338      -11.9776173             381  0.979434431    
   1661.37146      -11.9776173             367  0.986559153    
   1865.39954      -11.9776173             359  0.991712689    
   2069.42773      -11.9776173             354  0.997183084    
   2914.68677      -11.9776173             427  0.993023276    
   437.203033      -11.5543003             176  0.724279821    
   641.231079      -11.5543003             222  0.913580239    
   845.259155      -11.5543003             341  0.949860752    
   1049.28723      -11.5543003             352  0.967032969    
   1253.31531      -11.5543003             371  0.966145813    
   1457.34338      -11.5543003             336  0.971098244    
   1661.37146      -11.5543003             349  0.972144842    
   1865.39954      -11.5543003             391  0.992385805    
   2069.42773      -11.5543003             392  0.987405539    
   2914.68677      -11.5543003             427  0.981609166    
