#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   445.359650      -15.0109997             199   1.00000000    
   653.194153      -15.0109997              97   1.00000000    
   861.028687      -15.0109997              60   1.00000000    
   1068.86316      -15.0109997              58   1.00000000    
   1276.69763      -15.0109997              31   1.00000000    
   1484.53210      -15.0109997              28   1.00000000    
   1692.36658      -15.0109997              22   1.00000000    
   1900.20105      -15.0109997              12   1.00000000    
   2108.03564      -15.0109997              15   1.00000000    
   2969.06421      -15.0109997              12   1.00000000    
   445.359650      -14.6950903             127   1.00000000    
   653.194153      -14.6950903              40   1.00000000    
   861.028687      -14.6950903              36   1.00000000    
   1068.86316      -14.6950903              20   1.00000000    
   1276.69763      -14.6950903              19   1.00000000    
   1484.53210      -14.6950903              23   1.00000000    
   1692.36658      -14.6950903              16   1.00000000    
   1900.20105      -14.6950903              14   1.00000000    
   2108.03564      -14.6950903              11   1.00000000    
   2969.06421      -14.6950903              10   1.00000000    
   445.359650      -14.3791819             120   1.00000000    
   653.194153      -14.3791819              58   1.00000000    
   861.028687      -14.3791819              48   1.00000000    
   1068.86316      -14.3791819              36   1.00000000    
   1276.69763      -14.3791819              22   1.00000000    
   1484.53210      -14.3791819              18   1.00000000    
   1692.36658      -14.3791819              19   1.00000000    
   1900.20105      -14.3791819              14   1.00000000    
   2108.03564      -14.3791819              12   1.00000000    
   2969.06421      -14.3791819              20   1.00000000    
   445.359650      -14.0632725             151   1.00000000    
   653.194153      -14.0632725              66   1.00000000    
   861.028687      -14.0632725              53   1.00000000    
   1068.86316      -14.0632725              49   1.00000000    
   1276.69763      -14.0632725              22   1.00000000    
   1484.53210      -14.0632725              22   1.00000000    
   1692.36658      -14.0632725              22   1.00000000    
   1900.20105      -14.0632725              18   1.00000000    
   2108.03564      -14.0632725              17   1.00000000    
   2969.06421      -14.0632725              25   1.00000000    
   445.359650      -13.7473631             246   1.00000000    
   653.194153      -13.7473631             123   1.00000000    
   861.028687      -13.7473631              97   1.00000000    
   1068.86316      -13.7473631              71   1.00000000    
   1276.69763      -13.7473631              51   1.00000000    
   1484.53210      -13.7473631              41   1.00000000    
   1692.36658      -13.7473631              33   1.00000000    
   1900.20105      -13.7473631              19   1.00000000    
   2108.03564      -13.7473631              22   1.00000000    
   2969.06421      -13.7473631              16   1.00000000    
   445.359650      -13.4314537             477   1.00000000    
   653.194153      -13.4314537             176   1.00000000    
   861.028687      -13.4314537             147   1.00000000    
   1068.86316      -13.4314537             132   1.00000000    
   1276.69763      -13.4314537             104   1.00000000    
   1484.53210      -13.4314537              63   1.00000000    
   1692.36658      -13.4314537              64   1.00000000    
   1900.20105      -13.4314537              53   1.00000000    
   2108.03564      -13.4314537              37   1.00000000    
   2969.06421      -13.4314537              56   1.00000000    
   445.359650      -13.1155453             731   1.00000000    
   653.194153      -13.1155453             314   1.00000000    
   861.028687      -13.1155453             269   1.00000000    
   1068.86316      -13.1155453             230   1.00000000    
   1276.69763      -13.1155453             162   1.00000000    
   1484.53210      -13.1155453             112   1.00000000    
   1692.36658      -13.1155453             110   1.00000000    
   1900.20105      -13.1155453              91   1.00000000    
   2108.03564      -13.1155453              81   1.00000000    
   2969.06421      -13.1155453              75   1.00000000    
   445.359650      -12.7996359             934   1.00000000    
   653.194153      -12.7996359             544   1.00000000    
   861.028687      -12.7996359             456   1.00000000    
   1068.86316      -12.7996359             374   1.00000000    
   1276.69763      -12.7996359             249   1.00000000    
   1484.53210      -12.7996359             202   1.00000000    
   1692.36658      -12.7996359             139   1.00000000    
   1900.20105      -12.7996359             151   1.00000000    
   2108.03564      -12.7996359             105   1.00000000    
   2969.06421      -12.7996359             135   1.00000000    
   445.359650      -12.4837265            1227   1.00000000    
   653.194153      -12.4837265             691   1.00000000    
   861.028687      -12.4837265             565   1.00000000    
   1068.86316      -12.4837265             479   1.00000000    
   1276.69763      -12.4837265             351   1.00000000    
   1484.53210      -12.4837265             299   1.00000000    
   1692.36658      -12.4837265             280   1.00000000    
   1900.20105      -12.4837265             222   1.00000000    
   2108.03564      -12.4837265             197   1.00000000    
   2969.06421      -12.4837265             174   1.00000000    
   445.359650      -12.1678181            1294   1.00000000    
   653.194153      -12.1678181             880   1.00000000    
   861.028687      -12.1678181             713   1.00000000    
   1068.86316      -12.1678181             578   1.00000000    
   1276.69763      -12.1678181             501   1.00000000    
   1484.53210      -12.1678181             392   1.00000000    
   1692.36658      -12.1678181             295   1.00000000    
   1900.20105      -12.1678181             233   1.00000000    
   2108.03564      -12.1678181             235   1.00000000    
   2969.06421      -12.1678181             263   1.00000000    
   445.359650      -11.8519087            1390   1.00000000    
   653.194153      -11.8519087            1025   1.00000000    
   861.028687      -11.8519087             865   1.00000000    
   1068.86316      -11.8519087             759   1.00000000    
   1276.69763      -11.8519087             585   1.00000000    
   1484.53210      -11.8519087             481   1.00000000    
   1692.36658      -11.8519087             421   1.00000000    
   1900.20105      -11.8519087             315   1.00000000    
   2108.03564      -11.8519087             281   1.00000000    
   2969.06421      -11.8519087             298   1.00000000    
   445.359650      -11.5359993            1459   1.00000000    
   653.194153      -11.5359993            1153   1.00000000    
   861.028687      -11.5359993            1107   1.00000000    
   1068.86316      -11.5359993             969   1.00000000    
   1276.69763      -11.5359993             725   1.00000000    
   1484.53210      -11.5359993             596   1.00000000    
   1692.36658      -11.5359993             526   1.00000000    
   1900.20105      -11.5359993             446   1.00000000    
   2108.03564      -11.5359993             388   1.00000000    
   2969.06421      -11.5359993             414   1.00000000    
