#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   445.359650      -11.5359993            1459  0.723214269    
   445.359650      -11.8519087            1390  0.781869709    
   445.359650      -12.1678181            1294  0.850152910    
   445.359650      -12.4837265            1227  0.924302816    
   445.359650      -12.7996359             934  0.936908543    
   445.359650      -13.1155453             731  0.936170220    
   445.359650      -13.4314537             477  0.954545438    
   445.359650      -13.7473631             246  0.869565189    
   445.359650      -14.0632725             151  0.928571403    
   445.359650      -14.3791819             120  0.977777779    
   445.359650      -14.6950903             127  0.933333337    
   445.359650      -15.0109997             199  0.952380955    
   653.194153      -11.5359993            1153  0.920792103    
   653.194153      -11.8519087            1025  0.953678489    
   653.194153      -12.1678181             880  0.980337083    
   653.194153      -12.4837265             691  0.978056431    
   653.194153      -12.7996359             544  0.982248545    
   653.194153      -13.1155453             314  0.980057001    
   653.194153      -13.4314537             176  0.987654328    
   653.194153      -13.7473631             123  0.949367106    
   653.194153      -14.0632725              66  0.977272749    
   653.194153      -14.3791819              58  0.986486495    
   653.194153      -14.6950903              40   1.00000000    
   653.194153      -15.0109997              97  0.986301363    
   861.028687      -11.5359993            1107  0.945422530    
   861.028687      -11.8519087             865  0.969147027    
   861.028687      -12.1678181             713  0.980353653    
   861.028687      -12.4837265             565  0.988452673    
   861.028687      -12.7996359             456  0.986928105    
   861.028687      -13.1155453             269  0.981012642    
   861.028687      -13.4314537             147  0.990291238    
   861.028687      -13.7473631              97  0.979797959    
   861.028687      -14.0632725              53  0.991228044    
   861.028687      -14.3791819              48  0.970000029    
   861.028687      -14.6950903              36  0.991379321    
   861.028687      -15.0109997              60  0.989247322    
   1068.86316      -11.5359993             969  0.967914462    
   1068.86316      -11.8519087             759  0.976406515    
   1068.86316      -12.1678181             578  0.986381352    
   1068.86316      -12.4837265             479   1.00000000    
   1068.86316      -12.7996359             374  0.991342008    
   1068.86316      -13.1155453             230  0.989959836    
   1068.86316      -13.4314537             132   1.00000000    
   1068.86316      -13.7473631              71  0.968992233    
   1068.86316      -14.0632725              49   1.00000000    
   1068.86316      -14.3791819              36  0.990291238    
   1068.86316      -14.6950903              20  0.984251976    
   1068.86316      -15.0109997              58  0.971428573    
   1276.69763      -11.5359993             725  0.985102415    
   1276.69763      -11.8519087             585  0.982725501    
   1276.69763      -12.1678181             501  0.990706325    
   1276.69763      -12.4837265             351  0.990740716    
   1276.69763      -12.7996359             249  0.993801653    
   1276.69763      -13.1155453             162  0.998000026    
   1276.69763      -13.4314537             104   1.00000000    
   1276.69763      -13.7473631              51  0.991935492    
   1276.69763      -14.0632725              22   1.00000000    
   1276.69763      -14.3791819              22   1.00000000    
   1276.69763      -14.6950903              19   1.00000000    
   1276.69763      -15.0109997              31   1.00000000    
   1484.53210      -11.5359993             596  0.981260657    
   1484.53210      -11.8519087             481  0.987999976    
   1484.53210      -12.1678181             392  0.996108949    
   1484.53210      -12.4837265             299  0.995294094    
   1484.53210      -12.7996359             202   1.00000000    
   1484.53210      -13.1155453             112  0.991951704    
   1484.53210      -13.4314537              63   1.00000000    
   1484.53210      -13.7473631              41   1.00000000    
   1484.53210      -14.0632725              22   1.00000000    
   1484.53210      -14.3791819              18   1.00000000    
   1484.53210      -14.6950903              23   1.00000000    
   1484.53210      -15.0109997              28   1.00000000    
   1692.36658      -11.5359993             526  0.988155663    
   1692.36658      -11.8519087             421  0.996557653    
   1692.36658      -12.1678181             295  0.994230747    
   1692.36658      -12.4837265             280   1.00000000    
   1692.36658      -12.7996359             139   1.00000000    
   1692.36658      -13.1155453             110  0.993939400    
   1692.36658      -13.4314537              64   1.00000000    
   1692.36658      -13.7473631              33   1.00000000    
   1692.36658      -14.0632725              22   1.00000000    
   1692.36658      -14.3791819              19   1.00000000    
   1692.36658      -14.6950903              16   1.00000000    
   1692.36658      -15.0109997              22   1.00000000    
   1900.20105      -11.5359993             446  0.992994726    
   1900.20105      -11.8519087             315  0.996383369    
   1900.20105      -12.1678181             233  0.997983873    
   1900.20105      -12.4837265             222  0.997536957    
   1900.20105      -12.7996359             151   1.00000000    
   1900.20105      -13.1155453              91  0.998054504    
   1900.20105      -13.4314537              53  0.989898980    
   1900.20105      -13.7473631              19   1.00000000    
   1900.20105      -14.0632725              18  0.991150439    
   1900.20105      -14.3791819              14  0.991452992    
   1900.20105      -14.6950903              14   1.00000000    
   1900.20105      -15.0109997              12  0.990291238    
   2108.03564      -11.5359993             388  0.988439322    
   2108.03564      -11.8519087             281  0.996138990    
   2108.03564      -12.1678181             235  0.995815873    
   2108.03564      -12.4837265             197   1.00000000    
   2108.03564      -12.7996359             105  0.997706413    
   2108.03564      -13.1155453              81   1.00000000    
   2108.03564      -13.4314537              37   1.00000000    
   2108.03564      -13.7473631              22  0.990566015    
   2108.03564      -14.0632725              17   1.00000000    
   2108.03564      -14.3791819              12   1.00000000    
   2108.03564      -14.6950903              11  0.991869926    
   2108.03564      -15.0109997              15  0.958333313    
   2969.06421      -11.5359993             414  0.998165131    
   2969.06421      -11.8519087             298   1.00000000    
   2969.06421      -12.1678181             263  0.996168554    
   2969.06421      -12.4837265             174  0.995545685    
   2969.06421      -12.7996359             135   1.00000000    
   2969.06421      -13.1155453              75   1.00000000    
   2969.06421      -13.4314537              56   1.00000000    
   2969.06421      -13.7473631              16   1.00000000    
   2969.06421      -14.0632725              25   1.00000000    
   2969.06421      -14.3791819              20  0.980392158    
   2969.06421      -14.6950903              10  0.966101706    
   2969.06421      -15.0109997              12  0.975000024    
