#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   448.571594      -12.6100006             842   1.00000000    
   448.571594      -12.8281822             896   1.00000000    
   448.571594      -13.0463638             833   1.00000000    
   448.571594      -13.2645454             795   1.00000000    
   448.571594      -13.4827280             870   1.00000000    
   448.571594      -13.7009096             928   1.00000000    
   448.571594      -13.9190912             867   1.00000000    
   448.571594      -14.1372728             763   1.00000000    
   448.571594      -14.3554544             533   1.00000000    
   448.571594      -14.5736370             397   1.00000000    
   448.571594      -14.7918186             253   1.00000000    
   448.571594      -15.0100002             534   1.00000000    
   657.905029      -12.6100006             859   1.00000000    
   657.905029      -12.8281822             813   1.00000000    
   657.905029      -13.0463638             813   1.00000000    
   657.905029      -13.2645454             695   1.00000000    
   657.905029      -13.4827280             714   1.00000000    
   657.905029      -13.7009096             644   1.00000000    
   657.905029      -13.9190912             553   1.00000000    
   657.905029      -14.1372728             438   1.00000000    
   657.905029      -14.3554544             342   1.00000000    
   657.905029      -14.5736370             247   1.00000000    
   657.905029      -14.7918186             112   1.00000000    
   657.905029      -15.0100002             326   1.00000000    
   867.238403      -12.6100006             885   1.00000000    
   867.238403      -12.8281822             804   1.00000000    
   867.238403      -13.0463638             757   1.00000000    
   867.238403      -13.2645454             632   1.00000000    
   867.238403      -13.4827280             594   1.00000000    
   867.238403      -13.7009096             593   1.00000000    
   867.238403      -13.9190912             514   1.00000000    
   867.238403      -14.1372728             373   1.00000000    
   867.238403      -14.3554544             276   1.00000000    
   867.238403      -14.5736370             199   1.00000000    
   867.238403      -14.7918186             106   1.00000000    
   867.238403      -15.0100002             265   1.00000000    
   1076.57178      -12.6100006             777   1.00000000    
   1076.57178      -12.8281822             749   1.00000000    
   1076.57178      -13.0463638             650   1.00000000    
   1076.57178      -13.2645454             625   1.00000000    
   1076.57178      -13.4827280             542   1.00000000    
   1076.57178      -13.7009096             444   1.00000000    
   1076.57178      -13.9190912             415   1.00000000    
   1076.57178      -14.1372728             302   1.00000000    
   1076.57178      -14.3554544             245   1.00000000    
   1076.57178      -14.5736370             162   1.00000000    
   1076.57178      -14.7918186              93   1.00000000    
   1076.57178      -15.0100002             222   1.00000000    
   1285.90515      -12.6100006             702   1.00000000    
   1285.90515      -12.8281822             617   1.00000000    
   1285.90515      -13.0463638             581   1.00000000    
   1285.90515      -13.2645454             508   1.00000000    
   1285.90515      -13.4827280             462   1.00000000    
   1285.90515      -13.7009096             381   1.00000000    
   1285.90515      -13.9190912             325   1.00000000    
   1285.90515      -14.1372728             264   1.00000000    
   1285.90515      -14.3554544             199   1.00000000    
   1285.90515      -14.5736370             128   1.00000000    
   1285.90515      -14.7918186              75   1.00000000    
   1285.90515      -15.0100002             205   1.00000000    
   1495.23853      -12.6100006             598   1.00000000    
   1495.23853      -12.8281822             524   1.00000000    
   1495.23853      -13.0463638             474   1.00000000    
   1495.23853      -13.2645454             461   1.00000000    
   1495.23853      -13.4827280             377   1.00000000    
   1495.23853      -13.7009096             343   1.00000000    
   1495.23853      -13.9190912             247   1.00000000    
   1495.23853      -14.1372728             212   1.00000000    
   1495.23853      -14.3554544             187   1.00000000    
   1495.23853      -14.5736370              96   1.00000000    
   1495.23853      -14.7918186              61   1.00000000    
   1495.23853      -15.0100002             155   1.00000000    
   1704.57190      -12.6100006             567   1.00000000    
   1704.57190      -12.8281822             497   1.00000000    
   1704.57190      -13.0463638             409   1.00000000    
   1704.57190      -13.2645454             355   1.00000000    
   1704.57190      -13.4827280             296   1.00000000    
   1704.57190      -13.7009096             332   1.00000000    
   1704.57190      -13.9190912             228   1.00000000    
   1704.57190      -14.1372728             155   1.00000000    
   1704.57190      -14.3554544             131   1.00000000    
   1704.57190      -14.5736370              97   1.00000000    
   1704.57190      -14.7918186              61   1.00000000    
   1704.57190      -15.0100002             115   1.00000000    
   1913.90527      -12.6100006             501   1.00000000    
   1913.90527      -12.8281822             430   1.00000000    
   1913.90527      -13.0463638             354   1.00000000    
   1913.90527      -13.2645454             322   1.00000000    
   1913.90527      -13.4827280             286   1.00000000    
   1913.90527      -13.7009096             246   1.00000000    
   1913.90527      -13.9190912             203   1.00000000    
   1913.90527      -14.1372728             158   1.00000000    
   1913.90527      -14.3554544             111   1.00000000    
   1913.90527      -14.5736370              91   1.00000000    
   1913.90527      -14.7918186              45   1.00000000    
   1913.90527      -15.0100002             115   1.00000000    
   2123.23877      -12.6100006             387   1.00000000    
   2123.23877      -12.8281822             330   1.00000000    
   2123.23877      -13.0463638             300   1.00000000    
   2123.23877      -13.2645454             274   1.00000000    
   2123.23877      -13.4827280             244   1.00000000    
   2123.23877      -13.7009096             220   1.00000000    
   2123.23877      -13.9190912             171   1.00000000    
   2123.23877      -14.1372728             152   1.00000000    
   2123.23877      -14.3554544              98   1.00000000    
   2123.23877      -14.5736370              59   1.00000000    
   2123.23877      -14.7918186              34   1.00000000    
   2123.23877      -15.0100002              87   1.00000000    
   2990.47729      -12.6100006             455   1.00000000    
   2990.47729      -12.8281822             419   1.00000000    
   2990.47729      -13.0463638             407   1.00000000    
   2990.47729      -13.2645454             304   1.00000000    
   2990.47729      -13.4827280             269   1.00000000    
   2990.47729      -13.7009096             261   1.00000000    
   2990.47729      -13.9190912             212   1.00000000    
   2990.47729      -14.1372728             152   1.00000000    
   2990.47729      -14.3554544             125   1.00000000    
   2990.47729      -14.5736370              79   1.00000000    
   2990.47729      -14.7918186              33   1.00000000    
   2990.47729      -15.0100002             122   1.00000000    
