#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   435.490723      -14.8858328              60  0.952380955    
   638.719727      -14.8858328              72  0.986301363    
   841.948730      -14.8858328              92  0.989247322    
   1045.17773      -14.8858328             102  0.971428573    
   1248.40674      -14.8858328             114   1.00000000    
   1451.63574      -14.8858328              92   1.00000000    
   1654.86475      -14.8858328             113   1.00000000    
   1858.09375      -14.8858328             102  0.990291238    
   2061.32275      -14.8858328              92  0.958333313    
   2903.27148      -14.8858328             117  0.975000024    
   435.490723      -14.7606668              56  0.933333337    
   638.719727      -14.7606668              73   1.00000000    
   841.948730      -14.7606668             115  0.991379321    
   1045.17773      -14.7606668             125  0.984251976    
   1248.40674      -14.7606668             112   1.00000000    
   1451.63574      -14.7606668             118   1.00000000    
   1654.86475      -14.7606668             109   1.00000000    
   1858.09375      -14.7606668             117   1.00000000    
   2061.32275      -14.7606668             122  0.991869926    
   2903.27148      -14.7606668             114  0.966101706    
   435.490723      -14.6355000              88  0.977777779    
   638.719727      -14.6355000              73  0.986486495    
   841.948730      -14.6355000              97  0.970000029    
   1045.17773      -14.6355000             102  0.990291238    
   1248.40674      -14.6355000              94   1.00000000    
   1451.63574      -14.6355000             128   1.00000000    
   1654.86475      -14.6355000             108   1.00000000    
   1858.09375      -14.6355000             116  0.991452992    
   2061.32275      -14.6355000              95   1.00000000    
   2903.27148      -14.6355000             100  0.980392158    
   435.490723      -14.5103331              65  0.928571403    
   638.719727      -14.5103331              86  0.977272749    
   841.948730      -14.5103331             113  0.991228044    
   1045.17773      -14.5103331             118   1.00000000    
   1248.40674      -14.5103331             113   1.00000000    
   1451.63574      -14.5103331              88   1.00000000    
   1654.86475      -14.5103331             121   1.00000000    
   1858.09375      -14.5103331             112  0.991150439    
   2061.32275      -14.5103331             113   1.00000000    
   2903.27148      -14.5103331             112   1.00000000    
   435.490723      -14.3851671              60  0.869565189    
   638.719727      -14.3851671              75  0.949367106    
   841.948730      -14.3851671              97  0.979797959    
   1045.17773      -14.3851671             125  0.968992233    
   1248.40674      -14.3851671             123  0.991935492    
   1451.63574      -14.3851671             104   1.00000000    
   1654.86475      -14.3851671             124   1.00000000    
   1858.09375      -14.3851671             118   1.00000000    
   2061.32275      -14.3851671             105  0.990566015    
   2903.27148      -14.3851671              89   1.00000000    
   435.490723      -14.2600002              63  0.954545438    
   638.719727      -14.2600002              80  0.987654328    
   841.948730      -14.2600002             102  0.990291238    
   1045.17773      -14.2600002             107   1.00000000    
   1248.40674      -14.2600002             108   1.00000000    
   1451.63574      -14.2600002              93   1.00000000    
   1654.86475      -14.2600002             102   1.00000000    
   1858.09375      -14.2600002              98  0.989898980    
   2061.32275      -14.2600002              91   1.00000000    
   2903.27148      -14.2600002             104   1.00000000    
   435.490723      -13.6808338             308  0.936170220    
   638.719727      -13.6808338             344  0.980057001    
   841.948730      -13.6808338             465  0.981012642    
   1045.17773      -13.6808338             493  0.989959836    
   1248.40674      -13.6808338             499  0.998000026    
   1451.63574      -13.6808338             493  0.991951704    
   1654.86475      -13.6808338             492  0.993939400    
   1858.09375      -13.6808338             513  0.998054504    
   2061.32275      -13.6808338             453   1.00000000    
   2903.27148      -13.6808338             496   1.00000000    
   435.490723      -13.1016665             297  0.936908543    
   638.719727      -13.1016665             332  0.982248545    
   841.948730      -13.1016665             453  0.986928105    
   1045.17773      -13.1016665             458  0.991342008    
   1248.40674      -13.1016665             481  0.993801653    
   1451.63574      -13.1016665             426   1.00000000    
   1654.86475      -13.1016665             464   1.00000000    
   1858.09375      -13.1016665             476   1.00000000    
   2061.32275      -13.1016665             435  0.997706413    
   2903.27148      -13.1016665             471   1.00000000    
   435.490723      -12.5225000             232  0.924302816    
   638.719727      -12.5225000             312  0.978056431    
   841.948730      -12.5225000             428  0.988452673    
   1045.17773      -12.5225000             431   1.00000000    
   1248.40674      -12.5225000             428  0.990740716    
   1451.63574      -12.5225000             423  0.995294094    
   1654.86475      -12.5225000             461   1.00000000    
   1858.09375      -12.5225000             405  0.997536957    
   2061.32275      -12.5225000             397   1.00000000    
   2903.27148      -12.5225000             447  0.995545685    
   435.490723      -11.9433336             278  0.850152910    
   638.719727      -11.9433336             349  0.980337083    
   841.948730      -11.9433336             499  0.980353653    
   1045.17773      -11.9433336             507  0.986381352    
   1248.40674      -11.9433336             533  0.990706325    
   1451.63574      -11.9433336             512  0.996108949    
   1654.86475      -11.9433336             517  0.994230747    
   1858.09375      -11.9433336             495  0.997983873    
   2061.32275      -11.9433336             476  0.995815873    
   2903.27148      -11.9433336             520  0.996168554    
   435.490723      -11.3641663             276  0.781869709    
   638.719727      -11.3641663             350  0.953678489    
   841.948730      -11.3641663             534  0.969147027    
   1045.17773      -11.3641663             538  0.976406515    
   1248.40674      -11.3641663             512  0.982725501    
   1451.63574      -11.3641663             494  0.987999976    
   1654.86475      -11.3641663             579  0.996557653    
   1858.09375      -11.3641663             551  0.996383369    
   2061.32275      -11.3641663             516  0.996138990    
   2903.27148      -11.3641663             581   1.00000000    
   435.490723      -10.7849998             243  0.723214269    
   638.719727      -10.7849998             372  0.920792103    
   841.948730      -10.7849998             537  0.945422530    
   1045.17773      -10.7849998             543  0.967914462    
   1248.40674      -10.7849998             529  0.985102415    
   1451.63574      -10.7849998             576  0.981260657    
   1654.86475      -10.7849998             584  0.988155663    
   1858.09375      -10.7849998             567  0.992994726    
   2061.32275      -10.7849998             513  0.988439322    
   2903.27148      -10.7849998             544  0.998165131    
