#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   435.367126      -14.7433338             133  0.930069923    
   638.538452      -14.7433338             163  0.993902445    
   841.709778      -14.7433338             231  0.987179458    
   1044.88110      -14.7433338             249  0.980314970    
   1248.05249      -14.7433338             249   1.00000000    
   1451.22388      -14.7433338             249   1.00000000    
   1654.39526      -14.7433338             244   1.00000000    
   1857.56665      -14.7433338             250  0.992063463    
   2060.73804      -14.7433338             229  0.978632450    
   2902.44751      -14.7433338             247  0.980158746    
   435.367126      -14.4766665             151  0.926380396    
   638.538452      -14.4766665             176  0.977777779    
   841.709778      -14.4766665             233  0.978991568    
   1044.88110      -14.4766665             259  0.984790862    
   1248.05249      -14.4766665             240   1.00000000    
   1451.22388      -14.4766665             221   1.00000000    
   1654.39526      -14.4766665             259   1.00000000    
   1857.56665      -14.4766665             247  0.995967746    
   2060.73804      -14.4766665             236   1.00000000    
   2902.44751      -14.4766665             230  0.991379321    
   435.367126      -14.2100000             146  0.941935480    
   638.538452      -14.2100000             176  0.977777779    
   841.709778      -14.2100000             225  0.986842096    
   1044.88110      -14.2100000             248  0.991999984    
   1248.05249      -14.2100000             253  0.996062994    
   1451.22388      -14.2100000             230   1.00000000    
   1654.39526      -14.2100000             246   1.00000000    
   1857.56665      -14.2100000             248   1.00000000    
   2060.73804      -14.2100000             212  0.995305181    
   2902.44751      -14.2100000             224   1.00000000    
   435.367126      -13.9433336             148  0.907975435    
   638.538452      -13.9433336             158  0.963414609    
   841.709778      -13.9433336             242  0.983739853    
   1044.88110      -13.9433336             243  0.987804890    
   1248.05249      -13.9433336             236  0.995780587    
   1451.22388      -13.9433336             247  0.995967746    
   1654.39526      -13.9433336             238   1.00000000    
   1857.56665      -13.9433336             230  0.995670974    
   2060.73804      -13.9433336             209   1.00000000    
   2902.44751      -13.9433336             239   1.00000000    
   435.367126      -13.6766663             145  0.935483873    
   638.538452      -13.6766663             180  0.994475126    
   841.709778      -13.6766663             211  0.981395364    
   1044.88110      -13.6766663             228  0.995633185    
   1248.05249      -13.6766663             257  0.996124029    
   1451.22388      -13.6766663             223  0.982378840    
   1654.39526      -13.6766663             241  0.987704933    
   1857.56665      -13.6766663             252   1.00000000    
   2060.73804      -13.6766663             244   1.00000000    
   2902.44751      -13.6766663             234   1.00000000    
   435.367126      -13.4099998             156  0.939759016    
   638.538452      -13.4099998             152  0.980645180    
   841.709778      -13.4099998             216  0.977375567    
   1044.88110      -13.4099998             235  0.983263612    
   1248.05249      -13.4099998             238  0.995815873    
   1451.22388      -13.4099998             211   1.00000000    
   1654.39526      -13.4099998             243   1.00000000    
   1857.56665      -13.4099998             222   1.00000000    
   2060.73804      -13.4099998             212   1.00000000    
   2902.44751      -13.4099998             235   1.00000000    
   435.367126      -13.0100002             203  0.914414406    
   638.538452      -13.0100002             244  0.983870983    
   841.709778      -13.0100002             373  0.989389896    
   1044.88110      -13.0100002             347   1.00000000    
   1248.05249      -13.0100002             347  0.994269311    
   1451.22388      -13.0100002             341   1.00000000    
   1654.39526      -13.0100002             370   1.00000000    
   1857.56665      -13.0100002             375   1.00000000    
   2060.73804      -13.0100002             334  0.997014940    
   2902.44751      -13.0100002             385  0.994832039    
   435.367126      -12.6099997             189  0.913043499    
   638.538452      -12.6099997             269  0.981751800    
   841.709778      -12.6099997             339  0.985465109    
   1044.88110      -12.6099997             365  0.997267783    
   1248.05249      -12.6099997             373  0.984168887    
   1451.22388      -12.6099997             348  0.994285703    
   1654.39526      -12.6099997             375  0.994694948    
   1857.56665      -12.6099997             341  0.997076035    
   2060.73804      -12.6099997             334   1.00000000    
   2902.44751      -12.6099997             365   1.00000000    
   435.367126      -12.2100000             199  0.843220353    
   638.538452      -12.2100000             255  0.977011502    
   841.709778      -12.2100000             357  0.980769217    
   1044.88110      -12.2100000             354  0.986072421    
   1248.05249      -12.2100000             367  0.991891921    
   1451.22388      -12.2100000             359  0.994459808    
   1654.39526      -12.2100000             363   1.00000000    
   1857.56665      -12.2100000             354  0.997183084    
   2060.73804      -12.2100000             323  0.996913552    
   2902.44751      -12.2100000             367  0.997282624    
   435.367126      -11.8100004             190  0.822510839    
   638.538452      -11.8100004             221  0.969298244    
   841.709778      -11.8100004             320  0.969696999    
   1044.88110      -11.8100004             362  0.981029809    
   1248.05249      -11.8100004             329  0.987987995    
   1451.22388      -11.8100004             310  0.987261176    
   1654.39526      -11.8100004             386  0.997416019    
   1857.56665      -11.8100004             332  0.996996999    
   2060.73804      -11.8100004             339  0.994134903    
   2902.44751      -11.8100004             359   1.00000000    
   435.367126      -11.4099998             168  0.760181010    
   638.538452      -11.4099998             248  0.946564913    
   841.709778      -11.4099998             358  0.967567563    
   1044.88110      -11.4099998             342  0.982758641    
   1248.05249      -11.4099998             345  0.977337122    
   1451.22388      -11.4099998             361  0.997237563    
   1654.39526      -11.4099998             365  0.989159882    
   1857.56665      -11.4099998             357  0.997206688    
   2060.73804      -11.4099998             318  0.990654230    
   2902.44751      -11.4099998             390   1.00000000    
   435.367126      -11.0100002             161  0.712389410    
   638.538452      -11.0100002             224  0.925619841    
   841.709778      -11.0100002             339  0.931318700    
   1044.88110      -11.0100002             339  0.952247202    
   1248.05249      -11.0100002             339  0.988338172    
   1451.22388      -11.0100002             375  0.979112267    
   1654.39526      -11.0100002             374  0.986807406    
   1857.56665      -11.0100002             368  0.989247322    
   2060.73804      -11.0100002             357  0.994428992    
   2902.44751      -11.0100002             349   1.00000000    
