#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   435.367126      -10.9980001             216  0.737201393    
   435.367126      -11.5213337             231  0.777777791    
   435.367126      -12.0446663             250  0.836120427    
   435.367126      -12.5679998             247  0.901459873    
   435.367126      -13.0913334             278  0.923588037    
   435.367126      -13.6146660             297  0.928125024    
   435.367126      -14.1379995              85  0.944444418    
   435.367126      -14.2812824              71  0.959459484    
   435.367126      -14.4245663              76  0.894117653    
   435.367126      -14.5678501              94  0.930693090    
   435.367126      -14.7111330              75  0.937500000    
   435.367126      -14.8544159              66  0.929577470    
   638.538452      -10.9980001             303  0.926605523    
   638.538452      -11.5213337             302  0.952681363    
   638.538452      -12.0446663             330  0.982142866    
   638.538452      -12.5679998             341  0.979885042    
   638.538452      -13.0913334             316  0.981366456    
   638.538452      -13.6146660             325  0.978915691    
   638.538452      -14.1379995              96  0.979591846    
   638.538452      -14.2812824              93  0.989361703    
   638.538452      -14.4245663              93  0.948979616    
   638.538452      -14.5678501              97  0.989795923    
   638.538452      -14.7111330              84  0.988235295    
   638.538452      -14.8544159              86   1.00000000    
   841.709778      -10.9980001             447  0.941052616    
   841.709778      -11.5213337             451  0.969892502    
   841.709778      -12.0446663             459  0.974522293    
   841.709778      -12.5679998             454  0.989106774    
   841.709778      -13.0913334             450  0.980392158    
   841.709778      -13.6146660             452  0.984749436    
   841.709778      -14.1379995             118  0.983333349    
   841.709778      -14.2812824             120  0.983606577    
   841.709778      -14.4245663             124  0.976377964    
   841.709778      -14.5678501             123  0.984000027    
   841.709778      -14.7111330             130  0.984848499    
   841.709778      -14.8544159             118  0.991596639    
   1044.88110      -10.9980001             457  0.962105274    
   1044.88110      -11.5213337             441  0.977827072    
   1044.88110      -12.0446663             464  0.985137999    
   1044.88110      -12.5679998             481  0.995859206    
   1044.88110      -13.0913334             448  0.991150439    
   1044.88110      -13.6146660             477  0.993749976    
   1044.88110      -14.1379995             124  0.984126985    
   1044.88110      -14.2812824             128   1.00000000    
   1044.88110      -14.4245663             146  0.973333359    
   1044.88110      -14.5678501             142  0.993007004    
   1044.88110      -14.7111330             132   1.00000000    
   1044.88110      -14.8544159             125  0.968992233    
   1248.05249      -10.9980001             439  0.984304905    
   1248.05249      -11.5213337             439  0.986516833    
   1248.05249      -12.0446663             467  0.989406765    
   1248.05249      -12.5679998             487  0.983838379    
   1248.05249      -13.0913334             459  0.995661616    
   1248.05249      -13.6146660             484  0.995884776    
   1248.05249      -14.1379995             132   1.00000000    
   1248.05249      -14.2812824             131   1.00000000    
   1248.05249      -14.4245663             137  0.992753625    
   1248.05249      -14.5678501             133   1.00000000    
   1248.05249      -14.7111330             118   1.00000000    
   1248.05249      -14.8544159             132   1.00000000    
   1451.22388      -10.9980001             477  0.983505130    
   1451.22388      -11.5213337             435  0.988636374    
   1451.22388      -12.0446663             461  0.995680332    
   1451.22388      -12.5679998             456  0.995633185    
   1451.22388      -13.0913334             429   1.00000000    
   1451.22388      -13.6146660             457  0.989177465    
   1451.22388      -14.1379995             147   1.00000000    
   1451.22388      -14.2812824             101   1.00000000    
   1451.22388      -14.4245663             133   1.00000000    
   1451.22388      -14.5678501             102   1.00000000    
   1451.22388      -14.7111330             155   1.00000000    
   1451.22388      -14.8544159             115   1.00000000    
   1654.39526      -10.9980001             483  0.987730086    
   1654.39526      -11.5213337             508  0.994129181    
   1654.39526      -12.0446663             470  0.997876883    
   1654.39526      -12.5679998             491  0.995943189    
   1654.39526      -13.0913334             483   1.00000000    
   1654.39526      -13.6146660             474  0.993710697    
   1654.39526      -14.1379995             127   1.00000000    
   1654.39526      -14.2812824             120   1.00000000    
   1654.39526      -14.4245663             140   1.00000000    
   1654.39526      -14.5678501             152   1.00000000    
   1654.39526      -14.7111330             124   1.00000000    
   1654.39526      -14.8544159             134   1.00000000    
   1857.56665      -10.9980001             460  0.991379321    
   1857.56665      -11.5213337             475  0.995807111    
   1857.56665      -12.0446663             447  0.997767866    
   1857.56665      -12.5679998             446  0.997762859    
   1857.56665      -13.0913334             489   1.00000000    
   1857.56665      -13.6146660             458  0.997821331    
   1857.56665      -14.1379995             134   1.00000000    
   1857.56665      -14.2812824             127   1.00000000    
   1857.56665      -14.4245663             138  0.992805779    
   1857.56665      -14.5678501             129   1.00000000    
   1857.56665      -14.7111330             143  0.993055582    
   1857.56665      -14.8544159             131  0.992424250    
   2060.73804      -10.9980001             453  0.991247237    
   2060.73804      -11.5213337             421  0.997630358    
   2060.73804      -12.0446663             442  0.993258417    
   2060.73804      -12.5679998             427   1.00000000    
   2060.73804      -13.0913334             432  0.997690558    
   2060.73804      -13.6146660             455   1.00000000    
   2060.73804      -14.1379995             107   1.00000000    
   2060.73804      -14.2812824             110  0.990990996    
   2060.73804      -14.4245663             123   1.00000000    
   2060.73804      -14.5678501             131   1.00000000    
   2060.73804      -14.7111330             120   1.00000000    
   2060.73804      -14.8544159             130  0.962962985    
   2902.44751      -10.9980001             456   1.00000000    
   2902.44751      -11.5213337             503   1.00000000    
   2902.44751      -12.0446663             480  0.997920990    
   2902.44751      -12.5679998             483  0.997933865    
   2902.44751      -13.0913334             500  0.998004019    
   2902.44751      -13.6146660             456   1.00000000    
   2902.44751      -14.1379995             117   1.00000000    
   2902.44751      -14.2812824             126   1.00000000    
   2902.44751      -14.4245663             122   1.00000000    
   2902.44751      -14.5678501             116   1.00000000    
   2902.44751      -14.7111330             125  0.968992233    
   2902.44751      -14.8544159             140  0.979020953    
