#      Nradbin      Nmagbin
           6          12
# outboundRad     minMagBound            Nstar  Completenss
   741.471069      -15.5089998             139   1.00000000    
   988.628113      -15.5089998              31   1.00000000    
   1235.78516      -15.5089998              27   1.00000000    
   1482.94214      -15.5089998              24   1.00000000    
   1730.09912      -15.5089998              26   1.00000000    
   2965.88428      -15.5089998              54   1.00000000    
   741.471069      -15.2650909              52   1.00000000    
   988.628113      -15.2650909              15   1.00000000    
   1235.78516      -15.2650909               5   1.00000000    
   1482.94214      -15.2650909              10   1.00000000    
   1730.09912      -15.2650909              11   1.00000000    
   2965.88428      -15.2650909               9   1.00000000    
   741.471069      -15.0211811              68   1.00000000    
   988.628113      -15.0211811              17   1.00000000    
   1235.78516      -15.0211811               7   1.00000000    
   1482.94214      -15.0211811              19   1.00000000    
   1730.09912      -15.0211811              11   1.00000000    
   2965.88428      -15.0211811              15   1.00000000    
   741.471069      -14.7772722              96   1.00000000    
   988.628113      -14.7772722              26   1.00000000    
   1235.78516      -14.7772722              24   1.00000000    
   1482.94214      -14.7772722              15   1.00000000    
   1730.09912      -14.7772722              18   1.00000000    
   2965.88428      -14.7772722              37   1.00000000    
   741.471069      -14.5333633             148   1.00000000    
   988.628113      -14.5333633              37   1.00000000    
   1235.78516      -14.5333633              33   1.00000000    
   1482.94214      -14.5333633              34   1.00000000    
   1730.09912      -14.5333633              21   1.00000000    
   2965.88428      -14.5333633              55   1.00000000    
   741.471069      -14.2894545             277   1.00000000    
   988.628113      -14.2894545              54   1.00000000    
   1235.78516      -14.2894545              42   1.00000000    
   1482.94214      -14.2894545              41   1.00000000    
   1730.09912      -14.2894545              28   1.00000000    
   2965.88428      -14.2894545              63   1.00000000    
   741.471069      -14.0455446             360   1.00000000    
   988.628113      -14.0455446              93   1.00000000    
   1235.78516      -14.0455446              68   1.00000000    
   1482.94214      -14.0455446              54   1.00000000    
   1730.09912      -14.0455446              48   1.00000000    
   2965.88428      -14.0455446             101   1.00000000    
   741.471069      -13.8016357             456   1.00000000    
   988.628113      -13.8016357             116   1.00000000    
   1235.78516      -13.8016357              92   1.00000000    
   1482.94214      -13.8016357              88   1.00000000    
   1730.09912      -13.8016357              71   1.00000000    
   2965.88428      -13.8016357             117   1.00000000    
   741.471069      -13.5577269             475   1.00000000    
   988.628113      -13.5577269             120   1.00000000    
   1235.78516      -13.5577269             128   1.00000000    
   1482.94214      -13.5577269              90   1.00000000    
   1730.09912      -13.5577269              85   1.00000000    
   2965.88428      -13.5577269             151   1.00000000    
   741.471069      -13.3138180             528   1.00000000    
   988.628113      -13.3138180             146   1.00000000    
   1235.78516      -13.3138180             123   1.00000000    
   1482.94214      -13.3138180             106   1.00000000    
   1730.09912      -13.3138180             102   1.00000000    
   2965.88428      -13.3138180             195   1.00000000    
   741.471069      -13.0699081             621   1.00000000    
   988.628113      -13.0699081             144   1.00000000    
   1235.78516      -13.0699081             168   1.00000000    
   1482.94214      -13.0699081             129   1.00000000    
   1730.09912      -13.0699081             108   1.00000000    
   2965.88428      -13.0699081             226   1.00000000    
   741.471069      -12.8259993             638   1.00000000    
   988.628113      -12.8259993             217   1.00000000    
   1235.78516      -12.8259993             174   1.00000000    
   1482.94214      -12.8259993             168   1.00000000    
   1730.09912      -12.8259993             129   1.00000000    
   2965.88428      -12.8259993             320   1.00000000    
