#      Nradbin      Nmagbin
           6          12
# outboundRad     minMagBound            Nstar  Completenss
   741.471069      -12.8259993             638  0.950757563    
   741.471069      -13.0699081             621  0.967032969    
   741.471069      -13.3138180             528  0.974895418    
   741.471069      -13.5577269             475  0.980695009    
   741.471069      -13.8016357             456  0.986238539    
   741.471069      -14.0455446             360  0.985365868    
   741.471069      -14.2894545             277  0.975609779    
   741.471069      -14.5333633             148  0.965753436    
   741.471069      -14.7772722              96  0.974193573    
   741.471069      -15.0211811              68  0.982758641    
   741.471069      -15.2650909              52  0.937062919    
   741.471069      -15.5089998             139  0.961240292    
   988.628113      -12.8259993             217  0.975524485    
   988.628113      -13.0699081             144  0.980582535    
   988.628113      -13.3138180             146  0.989619374    
   988.628113      -13.5577269             120  0.983050823    
   988.628113      -13.8016357             116  0.985130131    
   988.628113      -14.0455446              93  0.989619374    
   988.628113      -14.2894545              54   1.00000000    
   988.628113      -14.5333633              37  0.980132461    
   988.628113      -14.7772722              26   1.00000000    
   988.628113      -15.0211811              17   1.00000000    
   988.628113      -15.2650909              15   1.00000000    
   988.628113      -15.5089998              31  0.987804890    
   1235.78516      -12.8259993             174  0.970521569    
   1235.78516      -13.0699081             168  0.993055582    
   1235.78516      -13.3138180             123  0.992788434    
   1235.78516      -13.5577269             128  0.986559153    
   1235.78516      -13.8016357              92  0.996874988    
   1235.78516      -14.0455446              68  0.997297287    
   1235.78516      -14.2894545              42  0.994252861    
   1235.78516      -14.5333633              33   1.00000000    
   1235.78516      -14.7772722              24   1.00000000    
   1235.78516      -15.0211811               7  0.995238066    
   1235.78516      -15.2650909               5  0.979591846    
   1235.78516      -15.5089998              27   1.00000000    
   1482.94214      -12.8259993             168  0.991285384    
   1482.94214      -13.0699081             129  0.995505631    
   1482.94214      -13.3138180             106  0.997690558    
   1482.94214      -13.5577269              90   1.00000000    
   1482.94214      -13.8016357              88  0.996763766    
   1482.94214      -14.0455446              54  0.990797520    
   1482.94214      -14.2894545              41   1.00000000    
   1482.94214      -14.5333633              34   1.00000000    
   1482.94214      -14.7772722              15   1.00000000    
   1482.94214      -15.0211811              19   1.00000000    
   1482.94214      -15.2650909              10  0.994871795    
   1482.94214      -15.5089998              24  0.985365868    
   1730.09912      -12.8259993             129  0.995260656    
   1730.09912      -13.0699081             108  0.997722089    
   1730.09912      -13.3138180             102  0.997613370    
   1730.09912      -13.5577269              85  0.997530878    
   1730.09912      -13.8016357              71   1.00000000    
   1730.09912      -14.0455446              48   1.00000000    
   1730.09912      -14.2894545              28   1.00000000    
   1730.09912      -14.5333633              21  0.995169103    
   1730.09912      -14.7772722              18  0.995327115    
   1730.09912      -15.0211811              11  0.990000010    
   1730.09912      -15.2650909              11  0.990654230    
   1730.09912      -15.5089998              26   1.00000000    
   2965.88428      -12.8259993             320  0.997630358    
   2965.88428      -13.0699081             226   1.00000000    
   2965.88428      -13.3138180             195  0.997787595    
   2965.88428      -13.5577269             151   1.00000000    
   2965.88428      -13.8016357             117  0.996996999    
   2965.88428      -14.0455446             101   1.00000000    
   2965.88428      -14.2894545              63   1.00000000    
   2965.88428      -14.5333633              55   1.00000000    
   2965.88428      -14.7772722              37   1.00000000    
   2965.88428      -15.0211811              15   1.00000000    
   2965.88428      -15.2650909               9   1.00000000    
   2965.88428      -15.5089998              54   1.00000000    
