#      Nradbin      Nmagbin
           6          12
# outboundRad     minMagBound            Nstar  Completenss
   741.312927      -15.6969995             194   1.00000000    
   988.417236      -15.6969995              46   1.00000000    
   1235.52148      -15.6969995              32   1.00000000    
   1482.62573      -15.6969995              33   1.00000000    
   1729.72998      -15.6969995              39   1.00000000    
   2965.25171      -15.6969995              63   1.00000000    
   741.312927      -15.4842720              80   1.00000000    
   988.417236      -15.4842720              21   1.00000000    
   1235.52148      -15.4842720              10   1.00000000    
   1482.62573      -15.4842720              21   1.00000000    
   1729.72998      -15.4842720              14   1.00000000    
   2965.25171      -15.4842720              22   1.00000000    
   741.312927      -15.2715454             117   1.00000000    
   988.417236      -15.2715454              31   1.00000000    
   1235.52148      -15.2715454              26   1.00000000    
   1482.62573      -15.2715454              16   1.00000000    
   1729.72998      -15.2715454              20   1.00000000    
   2965.25171      -15.2715454              42   1.00000000    
   741.312927      -15.0588179             165   1.00000000    
   988.417236      -15.0588179              38   1.00000000    
   1235.52148      -15.0588179              36   1.00000000    
   1482.62573      -15.0588179              44   1.00000000    
   1729.72998      -15.0588179              22   1.00000000    
   2965.25171      -15.0588179              54   1.00000000    
   741.312927      -14.8460903             253   1.00000000    
   988.417236      -14.8460903              54   1.00000000    
   1235.52148      -14.8460903              42   1.00000000    
   1482.62573      -14.8460903              35   1.00000000    
   1729.72998      -14.8460903              26   1.00000000    
   2965.25171      -14.8460903              61   1.00000000    
   741.312927      -14.6333628             314   1.00000000    
   988.417236      -14.6333628              83   1.00000000    
   1235.52148      -14.6333628              61   1.00000000    
   1482.62573      -14.6333628              45   1.00000000    
   1729.72998      -14.6333628              42   1.00000000    
   2965.25171      -14.6333628              90   1.00000000    
   741.312927      -14.4206362             375   1.00000000    
   988.417236      -14.4206362              94   1.00000000    
   1235.52148      -14.4206362              76   1.00000000    
   1482.62573      -14.4206362              75   1.00000000    
   1729.72998      -14.4206362              59   1.00000000    
   2965.25171      -14.4206362              99   1.00000000    
   741.312927      -14.2079086             397   1.00000000    
   988.417236      -14.2079086             103   1.00000000    
   1235.52148      -14.2079086              98   1.00000000    
   1482.62573      -14.2079086              66   1.00000000    
   1729.72998      -14.2079086              69   1.00000000    
   2965.25171      -14.2079086             126   1.00000000    
   741.312927      -13.9951811             420   1.00000000    
   988.417236      -13.9951811             101   1.00000000    
   1235.52148      -13.9951811             106   1.00000000    
   1482.62573      -13.9951811              85   1.00000000    
   1729.72998      -13.9951811              75   1.00000000    
   2965.25171      -13.9951811             128   1.00000000    
   741.312927      -13.7824535             428   1.00000000    
   988.417236      -13.7824535             118   1.00000000    
   1235.52148      -13.7824535             115   1.00000000    
   1482.62573      -13.7824535              95   1.00000000    
   1729.72998      -13.7824535              90   1.00000000    
   2965.25171      -13.7824535             175   1.00000000    
   741.312927      -13.5697269             514   1.00000000    
   988.417236      -13.5697269             126   1.00000000    
   1235.52148      -13.5697269             129   1.00000000    
   1482.62573      -13.5697269             112   1.00000000    
   1729.72998      -13.5697269              83   1.00000000    
   2965.25171      -13.5697269             184   1.00000000    
   741.312927      -13.3569994             529   1.00000000    
   988.417236      -13.3569994             179   1.00000000    
   1235.52148      -13.3569994             126   1.00000000    
   1482.62573      -13.3569994             128   1.00000000    
   1729.72998      -13.3569994             107   1.00000000    
   2965.25171      -13.3569994             256   1.00000000    
