#      Nradbin      Nmagbin
           6          12
# outboundRad     minMagBound            Nstar  Completenss
   741.312927      -13.3569994             529  0.948113203    
   741.312927      -13.5697269             514  0.967441857    
   741.312927      -13.7824535             428  0.975124359    
   741.312927      -13.9951811             420  0.978070199    
   741.312927      -14.2079086             397  0.982608676    
   741.312927      -14.4206362             375  0.986607134    
   741.312927      -14.6333628             314  0.959999979    
   741.312927      -14.8460903             253  0.973856211    
   741.312927      -15.0588179             165  0.953488350    
   741.312927      -15.2715454             117  0.980263174    
   741.312927      -15.4842720              80  0.960264921    
   741.312927      -15.6969995             194  0.946666658    
   988.417236      -13.3569994             179  0.973799109    
   988.417236      -13.5697269             126  0.975308657    
   988.417236      -13.7824535             118  0.987854242    
   988.417236      -13.9951811             101  0.991342008    
   988.417236      -14.2079086             103  0.982394338    
   988.417236      -14.4206362              94  0.989898980    
   988.417236      -14.6333628              83  0.985148489    
   988.417236      -14.8460903              54  0.989361703    
   988.417236      -15.0588179              38  0.994252861    
   988.417236      -15.2715454              31   1.00000000    
   988.417236      -15.4842720              21   1.00000000    
   988.417236      -15.6969995              46  0.988439322    
   1235.52148      -13.3569994             126  0.973451316    
   1235.52148      -13.5697269             129  0.991596639    
   1235.52148      -13.7824535             115   1.00000000    
   1235.52148      -13.9951811             106  0.982352912    
   1235.52148      -14.2079086              98  0.996932507    
   1235.52148      -14.4206362              76   1.00000000    
   1235.52148      -14.6333628              61   1.00000000    
   1235.52148      -14.8460903              42  0.995000005    
   1235.52148      -15.0588179              36   1.00000000    
   1235.52148      -15.2715454              26  0.995780587    
   1235.52148      -15.4842720              10  0.982142866    
   1235.52148      -15.6969995              32   1.00000000    
   1482.62573      -13.3569994             128  0.991999984    
   1482.62573      -13.5697269             112  0.994736850    
   1482.62573      -13.7824535              95  0.997191012    
   1482.62573      -13.9951811              85   1.00000000    
   1482.62573      -14.2079086              66   1.00000000    
   1482.62573      -14.4206362              75  0.997014940    
   1482.62573      -14.6333628              45  0.987804890    
   1482.62573      -14.8460903              35   1.00000000    
   1482.62573      -15.0588179              44   1.00000000    
   1482.62573      -15.2715454              16   1.00000000    
   1482.62573      -15.4842720              21  0.995670974    
   1482.62573      -15.6969995              33  0.987124443    
   1729.72998      -13.3569994             107  0.994236290    
   1729.72998      -13.5697269              83  0.997289956    
   1729.72998      -13.7824535              90  0.997167110    
   1729.72998      -13.9951811              75   1.00000000    
   1729.72998      -14.2079086              69   1.00000000    
   1729.72998      -14.4206362              59   1.00000000    
   1729.72998      -14.6333628              42   1.00000000    
   1729.72998      -14.8460903              26   1.00000000    
   1729.72998      -15.0588179              22  0.991769552    
   1729.72998      -15.2715454              20  0.995833337    
   1729.72998      -15.4842720              14  0.987654328    
   1729.72998      -15.6969995              39   1.00000000    
   2965.25171      -13.3569994             256  0.997109830    
   2965.25171      -13.5697269             184   1.00000000    
   2965.25171      -13.7824535             175   1.00000000    
   2965.25171      -13.9951811             128  0.997142851    
   2965.25171      -14.2079086             126   1.00000000    
   2965.25171      -14.4206362              99  0.996978879    
   2965.25171      -14.6333628              90   1.00000000    
   2965.25171      -14.8460903              61   1.00000000    
   2965.25171      -15.0588179              54   1.00000000    
   2965.25171      -15.2715454              42   1.00000000    
   2965.25171      -15.4842720              22   1.00000000    
   2965.25171      -15.6969995              63   1.00000000    
