#      Nradbin      Nmagbin
           2           8
# outboundRad     minMagBound            Nstar  Completenss
   1498.76477      -15.7370005             136  0.992724895    
   2997.52954      -15.7370005             126  0.968097448    
   1498.76477      -15.3695717              67  0.988474548    
   2997.52954      -15.3695717              58  0.982525349    
   1498.76477      -15.0021429             159  0.998597503    
   2997.52954      -15.0021429             159  0.993634284    
   1498.76477      -14.6347141             256  0.997284472    
   2997.52954      -14.6347141             256  0.999400139    
   1498.76477      -14.2672863             418  0.998601377    
   2997.52954      -14.2672863             422  0.997927904    
   1498.76477      -13.8998575             515  0.995985746    
   2997.52954      -13.8998575             557  0.998922408    
   1498.76477      -13.5324287             728  0.997174025    
   2997.52954      -13.5324287             701  0.996733069    
   1498.76477      -13.1650000             840  0.995397031    
   2997.52954      -13.1650000             859  0.998136640    
