#      Nradbin      Nmagbin
           2           8
# outboundRad     minMagBound            Nstar  Completenss
   1498.76477      -13.1650000             841   1.00000000    
   1498.76477      -13.5324287             728   1.00000000    
   1498.76477      -13.8998575             515   1.00000000    
   1498.76477      -14.2672863             418   1.00000000    
   1498.76477      -14.6347141             256   1.00000000    
   1498.76477      -15.0021429             159   1.00000000    
   1498.76477      -15.3695717              67   1.00000000    
   1498.76477      -15.7370005             136   1.00000000    
   2997.52954      -13.1650000             859   1.00000000    
   2997.52954      -13.5324287             701   1.00000000    
   2997.52954      -13.8998575             557   1.00000000    
   2997.52954      -14.2672863             422   1.00000000    
   2997.52954      -14.6347141             256   1.00000000    
   2997.52954      -15.0021429             159   1.00000000    
   2997.52954      -15.3695717              58   1.00000000    
   2997.52954      -15.7370005             126   1.00000000    
