#      Nradbin      Nmagbin
           2           8
# outboundRad     minMagBound            Nstar  Completenss
   1498.76477      -15.6829996             145  0.992993653    
   2997.52954      -15.6829996             134  0.967955828    
   1498.76477      -15.3429995             115  0.989610374    
   2997.52954      -15.3429995             103  0.983386934    
   1498.76477      -15.0029993             218  0.997340441    
   2997.52954      -15.0029993             223  0.997775316    
   1498.76477      -14.6630001             323  0.998094022    
   2997.52954      -14.6630001             338  0.998898685    
   1498.76477      -14.3230000             429  0.997414887    
   2997.52954      -14.3230000             416  0.998867929    
   1498.76477      -13.9829998             497  0.996396422    
   2997.52954      -13.9829998             509  0.999274850    
   1498.76477      -13.6429996             620  0.996323526    
   2997.52954      -13.6429996             637  0.996274233    
   1498.76477      -13.3029995             719  0.995949566    
   2997.52954      -13.3029995             708  0.997804582    
