#      Nradbin      Nmagbin
           2           8
# outboundRad     minMagBound            Nstar  Completenss
   1498.76477      -13.3029995             718   1.00000000    
   1498.76477      -13.6429996             620   1.00000000    
   1498.76477      -13.9829998             497   1.00000000    
   1498.76477      -14.3230000             429   1.00000000    
   1498.76477      -14.6630001             323   1.00000000    
   1498.76477      -15.0029993             218   1.00000000    
   1498.76477      -15.3429995             115   1.00000000    
   1498.76477      -15.6829996             145   1.00000000    
   2997.52954      -13.3029995             708   1.00000000    
   2997.52954      -13.6429996             637   1.00000000    
   2997.52954      -13.9829998             509   1.00000000    
   2997.52954      -14.3230000             416   1.00000000    
   2997.52954      -14.6630001             338   1.00000000    
   2997.52954      -15.0029993             223   1.00000000    
   2997.52954      -15.3429995             103   1.00000000    
   2997.52954      -15.6829996             134   1.00000000    
