#      Nradbin      Nmagbin
          10           8
# outboundRad     minMagBound            Nstar  Completenss
   433.138275      -15.2775002             143  0.972789109    
   635.269470      -15.2775002             175  0.994318187    
   837.400635      -15.2775002             251   1.00000000    
   1039.53186      -15.2775002             325  0.993883789    
   1241.66309      -15.2775002             371  0.991978586    
   1443.79431      -15.2775002             469  0.993644059    
   1645.92554      -15.2775002             526  0.998102486    
   1848.05676      -15.2775002             469  0.995753706    
   2050.18799      -15.2775002             461  0.952479362    
   2887.58862      -15.2775002             489  0.931428552    
   433.138275      -14.8150005             141  0.979166687    
   635.269470      -14.8150005             166   1.00000000    
   837.400635      -14.8150005             262  0.988679230    
   1039.53186      -14.8150005             309  0.984076440    
   1241.66309      -14.8150005             378  0.997361481    
   1443.79431      -14.8150005             421  0.992924511    
   1645.92554      -14.8150005             491   1.00000000    
   1848.05676      -14.8150005             498  0.997995973    
   2050.18799      -14.8150005             515  0.980952382    
   2887.58862      -14.8150005             534  0.958707333    
   433.138275      -14.3525000             152   1.00000000    
   635.269470      -14.3525000             174  0.994285703    
   837.400635      -14.3525000             234  0.995744705    
   1039.53186      -14.3525000             307  0.993527532    
   1241.66309      -14.3525000             369   1.00000000    
   1443.79431      -14.3525000             425   1.00000000    
   1645.92554      -14.3525000             497   1.00000000    
   1848.05676      -14.3525000             498   1.00000000    
   2050.18799      -14.3525000             439   1.00000000    
   2887.58862      -14.3525000             527  0.998106062    
   433.138275      -13.8900003             148   1.00000000    
   635.269470      -13.8900003             190   1.00000000    
   837.400635      -13.8900003             254   1.00000000    
   1039.53186      -13.8900003             314   1.00000000    
   1241.66309      -13.8900003             377  0.994722962    
   1443.79431      -13.8900003             454  0.997802198    
   1645.92554      -13.8900003             473  0.997890294    
   1848.05676      -13.8900003             483   1.00000000    
   2050.18799      -13.8900003             463  0.997844815    
   2887.58862      -13.8900003             498  0.995999992    
   433.138275      -13.3075008             147   1.00000000    
   635.269470      -13.3075008             176   1.00000000    
   837.400635      -13.3075008             257   1.00000000    
   1039.53186      -13.3075008             330  0.996978879    
   1241.66309      -13.3075008             420  0.997624695    
   1443.79431      -13.3075008             467  0.993616998    
   1645.92554      -13.3075008             537  0.996289432    
   1848.05676      -13.3075008             524   1.00000000    
   2050.18799      -13.3075008             515  0.998062015    
   2887.58862      -13.3075008             520   1.00000000    
   433.138275      -12.7250004             195  0.994897962    
   635.269470      -12.7250004             225  0.995575249    
   837.400635      -12.7250004             322   1.00000000    
   1039.53186      -12.7250004             406   1.00000000    
   1241.66309      -12.7250004             495  0.995975852    
   1443.79431      -12.7250004             495  0.993975878    
   1645.92554      -12.7250004             622   1.00000000    
   1848.05676      -12.7250004             682  0.998535872    
   2050.18799      -12.7250004             652  0.998468578    
   2887.58862      -12.7250004             719   1.00000000    
   433.138275      -12.1424999             217   1.00000000    
   635.269470      -12.1424999             208  0.995215297    
   837.400635      -12.1424999             357   1.00000000    
   1039.53186      -12.1424999             412  0.992771089    
   1241.66309      -12.1424999             486   1.00000000    
   1443.79431      -12.1424999             547  0.996357024    
   1645.92554      -12.1424999             670  0.997023821    
   1848.05676      -12.1424999             688  0.997101426    
   2050.18799      -12.1424999             645  0.996908784    
   2887.58862      -12.1424999             738  0.994609177    
   433.138275      -11.5600004             215   1.00000000    
   635.269470      -11.5600004             236  0.987447679    
   837.400635      -11.5600004             327   1.00000000    
   1039.53186      -11.5600004             414  0.995192289    
   1241.66309      -11.5600004             519  0.992351830    
   1443.79431      -11.5600004             656  0.995447636    
   1645.92554      -11.5600004             713  0.997202814    
   1848.05676      -11.5600004             751   1.00000000    
   2050.18799      -11.5600004             696  0.998565257    
   2887.58862      -11.5600004             768  0.996108949    
