#      Nradbin      Nmagbin
          10           8
# outboundRad     minMagBound            Nstar  Completenss
   432.866730      -15.2674255             134  0.971014500    
   634.871216      -15.2674255             168  0.994082868    
   836.875732      -15.2674255             234   1.00000000    
   1038.88025      -15.2674255             310  0.996784568    
   1240.88477      -15.2674255             356  0.991643429    
   1442.88928      -15.2674255             434  0.995412827    
   1644.89380      -15.2674255             497  0.997991979    
   1846.89832      -15.2674255             444  0.995515704    
   2048.90283      -15.2674255             446  0.950959504    
   2885.77832      -15.2674255             464  0.927999973    
   432.866730      -14.8449497             134  0.978102207    
   634.871216      -14.8449497             162   1.00000000    
   836.875732      -14.8449497             248  0.988047838    
   1038.88025      -14.8449497             301  0.983660102    
   1240.88477      -14.8449497             362  0.997245193    
   1442.88928      -14.8449497             402  0.990147769    
   1644.89380      -14.8449497             462   1.00000000    
   1846.89832      -14.8449497             476  0.997903585    
   2048.90283      -14.8449497             489  0.981927693    
   2885.77832      -14.8449497             510  0.956848025    
   432.866730      -14.4224749             146   1.00000000    
   634.871216      -14.4224749             167  0.994047642    
   836.875732      -14.4224749             219  0.995454550    
   1038.88025      -14.4224749             291  0.993174076    
   1240.88477      -14.4224749             354   1.00000000    
   1442.88928      -14.4224749             411   1.00000000    
   1644.89380      -14.4224749             472   1.00000000    
   1846.89832      -14.4224749             477   1.00000000    
   2048.90283      -14.4224749             429   1.00000000    
   2885.77832      -14.4224749             503  0.998015881    
   432.866730      -14.0000000             142   1.00000000    
   634.871216      -14.0000000             188   1.00000000    
   836.875732      -14.0000000             250  0.996015966    
   1038.88025      -14.0000000             311   1.00000000    
   1240.88477      -14.0000000             361  0.994490385    
   1442.88928      -14.0000000             428  0.997668982    
   1644.89380      -14.0000000             481   1.00000000    
   1846.89832      -14.0000000             465   1.00000000    
   2048.90283      -14.0000000             461  0.997835517    
   2885.77832      -14.0000000             496  0.995983958    
   432.866730      -13.4250250             186   1.00000000    
   634.871216      -13.4250250             217   1.00000000    
   836.875732      -13.4250250             310   1.00000000    
   1038.88025      -13.4250250             411  0.997572839    
   1240.88477      -13.4250250             498  0.997995973    
   1442.88928      -13.4250250             564  0.994709015    
   1644.89380      -13.4250250             647  0.996918321    
   1846.89832      -13.4250250             644   1.00000000    
   2048.90283      -13.4250250             626   1.00000000    
   2885.77832      -13.4250250             649   1.00000000    
   432.866730      -12.8500500             198  0.994974852    
   634.871216      -12.8500500             224  0.991150439    
   836.875732      -12.8500500             321   1.00000000    
   1038.88025      -12.8500500             400   1.00000000    
   1240.88477      -12.8500500             497   1.00000000    
   1442.88928      -12.8500500             507  0.988304079    
   1644.89380      -12.8500500             634   1.00000000    
   1846.89832      -12.8500500             674  0.998518527    
   2048.90283      -12.8500500             663  0.998493969    
   2885.77832      -12.8500500             715   1.00000000    
   432.866730      -12.2750750             206   1.00000000    
   634.871216      -12.2750750             186  0.989361703    
   836.875732      -12.2750750             337   1.00000000    
   1038.88025      -12.2750750             380  0.984455943    
   1240.88477      -12.2750750             468   1.00000000    
   1442.88928      -12.2750750             526  0.996212125    
   1644.89380      -12.2750750             618  0.996774197    
   1846.89832      -12.2750750             655  0.996955872    
   2048.90283      -12.2750750             598  0.996666670    
   2885.77832      -12.2750750             701  0.994326234    
   432.866730      -11.7000999             193   1.00000000    
   634.871216      -11.7000999             214  0.995348811    
   836.875732      -11.7000999             301   1.00000000    
   1038.88025      -11.7000999             384   1.00000000    
   1240.88477      -11.7000999             465  0.995717347    
   1442.88928      -11.7000999             582  0.994871795    
   1644.89380      -11.7000999             635  0.995297790    
   1846.89832      -11.7000999             682   1.00000000    
   2048.90283      -11.7000999             623  0.998397410    
   2885.77832      -11.7000999             693  0.997122288    
