#      Nradbin      Nmagbin
          10           8
# outboundRad     minMagBound            Nstar  Completenss
   432.866730      -11.7000999             202   1.00000000    
   432.866730      -12.2950745             214   1.00000000    
   432.866730      -12.8900499             202  0.995073915    
   432.866730      -13.4850254             196   1.00000000    
   432.866730      -14.0799999             130   1.00000000    
   432.866730      -14.4807501             142   1.00000000    
   432.866730      -14.8815002             124  0.976377964    
   432.866730      -15.2822495             129  0.969924808    
   634.871216      -11.7000999             219  0.990950227    
   634.871216      -12.2950745             199  0.995000005    
   634.871216      -12.8900499             231  0.991416335    
   634.871216      -13.4850254             234   1.00000000    
   634.871216      -14.0799999             168   1.00000000    
   634.871216      -14.4807501             165  0.993975878    
   634.871216      -14.8815002             147   1.00000000    
   634.871216      -15.2822495             161  0.993827164    
   836.875732      -11.7000999             306   1.00000000    
   836.875732      -12.2950745             352   1.00000000    
   836.875732      -12.8900499             332   1.00000000    
   836.875732      -13.4850254             325  0.996932507    
   836.875732      -14.0799999             234   1.00000000    
   836.875732      -14.4807501             217  0.995412827    
   836.875732      -14.8815002             225  0.986842096    
   836.875732      -15.2822495             224   1.00000000    
   1038.88025      -11.7000999             398  0.995000005    
   1038.88025      -12.2950745             399  0.990074456    
   1038.88025      -12.8900499             416   1.00000000    
   1038.88025      -13.4850254             415  0.997596145    
   1038.88025      -14.0799999             300   1.00000000    
   1038.88025      -14.4807501             271  0.992673993    
   1038.88025      -14.8815002             285  0.982758641    
   1038.88025      -15.2822495             302  0.996699691    
   1240.88477      -11.7000999             484  0.995884776    
   1240.88477      -12.2950745             469   1.00000000    
   1240.88477      -12.8900499             511   1.00000000    
   1240.88477      -13.4850254             544  0.998165131    
   1240.88477      -14.0799999             337  0.994100273    
   1240.88477      -14.4807501             326   1.00000000    
   1240.88477      -14.8815002             346  0.997118175    
   1240.88477      -15.2822495             334  0.991097927    
   1442.88928      -11.7000999             604  0.995057642    
   1442.88928      -12.2950745             535  0.994423807    
   1442.88928      -12.8900499             520  0.990476191    
   1442.88928      -13.4850254             601  0.995033085    
   1442.88928      -14.0799999             402  0.997518599    
   1442.88928      -14.4807501             379   1.00000000    
   1442.88928      -14.8815002             397  0.990024924    
   1442.88928      -15.2822495             409  0.995133817    
   1644.89380      -11.7000999             662  0.995488703    
   1644.89380      -12.2950745             644  0.996904016    
   1644.89380      -12.8900499             648   1.00000000    
   1644.89380      -13.4850254             666  0.997005999    
   1644.89380      -14.0799999             463   1.00000000    
   1644.89380      -14.4807501             448   1.00000000    
   1644.89380      -14.8815002             436   1.00000000    
   1644.89380      -15.2822495             469  0.997872353    
   1846.89832      -11.7000999             707   1.00000000    
   1846.89832      -12.2950745             672  0.997032642    
   1846.89832      -12.8900499             690  0.998552799    
   1846.89832      -13.4850254             679   1.00000000    
   1846.89832      -14.0799999             440   1.00000000    
   1846.89832      -14.4807501             446   1.00000000    
   1846.89832      -14.8815002             458  0.997821331    
   1846.89832      -15.2822495             420  0.995260656    
   2048.90283      -11.7000999             648  0.998459160    
   2048.90283      -12.2950745             626  0.996815264    
   2048.90283      -12.8900499             681  0.998533726    
   2048.90283      -13.4850254             638   1.00000000    
   2048.90283      -14.0799999             433  0.997695863    
   2048.90283      -14.4807501             417  0.997607648    
   2048.90283      -14.8815002             461  0.980851054    
   2048.90283      -15.2822495             422  0.952595949    
   2885.77832      -11.7000999             710  0.997191012    
   2885.77832      -12.2950745             732  0.994565189    
   2885.77832      -12.8900499             737   1.00000000    
   2885.77832      -13.4850254             664  0.998496234    
   2885.77832      -14.0799999             478  0.997912288    
   2885.77832      -14.4807501             483  0.993827164    
   2885.77832      -14.8815002             480  0.958083808    
   2885.77832      -15.2822495             441  0.928421080    
