#      Nradbin      Nmagbin
           2           8
# outboundRad     minMagBound            Nstar  Completenss
   1443.48083      -11.5679998            2595  0.995397031    
   1443.48083      -12.2110004            2470  0.997174025    
   1443.48083      -12.8540001            2233  0.995985746    
   1443.48083      -13.4969997            2142  0.998601377    
   1443.48083      -14.1400003            1469  0.997284472    
   1443.48083      -14.5392256            1424  0.998597503    
   1443.48083      -14.9384499            1458  0.988474548    
   1443.48083      -15.3376751            1501  0.992724895    
   2886.96167      -11.5679998            3214  0.998136640    
   2886.96167      -12.2110004            3051  0.996733069    
   2886.96167      -12.8540001            2781  0.998922408    
   2886.96167      -13.4969997            2408  0.997927904    
   2886.96167      -14.1400003            1666  0.999400139    
   2886.96167      -14.5392256            1717  0.993634284    
   2886.96167      -14.9384499            1743  0.982525349    
   2886.96167      -15.3376751            1669  0.968097448    
