#      Nradbin      Nmagbin
           2           8
# outboundRad     minMagBound            Nstar  Completenss
   1442.88916      -15.2822495            1559  0.992993653    
   2885.77832      -15.2822495            1752  0.967955828    
   1442.88916      -14.8815002            1524  0.989610374    
   2885.77832      -14.8815002            1835  0.983386934    
   1442.88916      -14.4807501            1500  0.997340441    
   2885.77832      -14.4807501            1794  0.997775316    
   1442.88916      -14.0799999            1571  0.998094022    
   2885.77832      -14.0799999            1814  0.998898685    
   1442.88916      -13.4850254            2315  0.997414887    
   2885.77832      -13.4850254            2647  0.998867929    
   1442.88916      -12.8900499            2212  0.996396422    
   2885.77832      -12.8900499            2756  0.999274850    
   1442.88916      -12.2950745            2168  0.996323526    
   2885.77832      -12.2950745            2674  0.996274233    
   1442.88916      -11.7000999            2213  0.995949566    
   2885.77832      -11.7000999            2727  0.997804582    
