#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   444.983185      -15.9787617              12   1.00000000    
   652.642029      -15.9787617              14   1.00000000    
   860.300903      -15.9787617              28   1.00000000    
   1067.95972      -15.9787617              24   1.00000000    
   1275.61853      -15.9787617              21   1.00000000    
   1483.27734      -15.9787617              23   1.00000000    
   1690.93616      -15.9787617              33   1.00000000    
   1898.59497      -15.9787617              20   1.00000000    
   2106.25391      -15.9787617              19   1.00000000    
   2966.55469      -15.9787617              22   1.00000000    
   444.983185      -15.7657824               6   1.00000000    
   652.642029      -15.7657824               2   1.00000000    
   860.300903      -15.7657824               8   1.00000000    
   1067.95972      -15.7657824               3   1.00000000    
   1275.61853      -15.7657824               6   1.00000000    
   1483.27734      -15.7657824               8   1.00000000    
   1690.93616      -15.7657824               7   1.00000000    
   1898.59497      -15.7657824               6   1.00000000    
   2106.25391      -15.7657824               7   1.00000000    
   2966.55469      -15.7657824              15   1.00000000    
   444.983185      -15.5528030               7   1.00000000    
   652.642029      -15.5528030               6   1.00000000    
   860.300903      -15.5528030              12   1.00000000    
   1067.95972      -15.5528030              12   1.00000000    
   1275.61853      -15.5528030              11   1.00000000    
   1483.27734      -15.5528030              17   1.00000000    
   1690.93616      -15.5528030              12   1.00000000    
   1898.59497      -15.5528030              24   1.00000000    
   2106.25391      -15.5528030              16   1.00000000    
   2966.55469      -15.5528030              19   1.00000000    
   444.983185      -15.3398237              15   1.00000000    
   652.642029      -15.3398237              15   1.00000000    
   860.300903      -15.3398237              13   1.00000000    
   1067.95972      -15.3398237              15   1.00000000    
   1275.61853      -15.3398237              14   1.00000000    
   1483.27734      -15.3398237              19   1.00000000    
   1690.93616      -15.3398237              23   1.00000000    
   1898.59497      -15.3398237              14   1.00000000    
   2106.25391      -15.3398237              19   1.00000000    
   2966.55469      -15.3398237              39   1.00000000    
   444.983185      -15.1268444              16   1.00000000    
   652.642029      -15.1268444              20   1.00000000    
   860.300903      -15.1268444              26   1.00000000    
   1067.95972      -15.1268444              37   1.00000000    
   1275.61853      -15.1268444              26   1.00000000    
   1483.27734      -15.1268444              27   1.00000000    
   1690.93616      -15.1268444              24   1.00000000    
   1898.59497      -15.1268444              24   1.00000000    
   2106.25391      -15.1268444              35   1.00000000    
   2966.55469      -15.1268444              43   1.00000000    
   444.983185      -14.9138651              18   1.00000000    
   652.642029      -14.9138651              23   1.00000000    
   860.300903      -14.9138651              33   1.00000000    
   1067.95972      -14.9138651              40   1.00000000    
   1275.61853      -14.9138651              29   1.00000000    
   1483.27734      -14.9138651              34   1.00000000    
   1690.93616      -14.9138651              42   1.00000000    
   1898.59497      -14.9138651              32   1.00000000    
   2106.25391      -14.9138651              37   1.00000000    
   2966.55469      -14.9138651              70   1.00000000    
   444.983185      -14.7008858              32   1.00000000    
   652.642029      -14.7008858              37   1.00000000    
   860.300903      -14.7008858              28   1.00000000    
   1067.95972      -14.7008858              50   1.00000000    
   1275.61853      -14.7008858              35   1.00000000    
   1483.27734      -14.7008858              37   1.00000000    
   1690.93616      -14.7008858              40   1.00000000    
   1898.59497      -14.7008858              43   1.00000000    
   2106.25391      -14.7008858              38   1.00000000    
   2966.55469      -14.7008858              61   1.00000000    
   444.983185      -14.4879065              40   1.00000000    
   652.642029      -14.4879065              40   1.00000000    
   860.300903      -14.4879065              45   1.00000000    
   1067.95972      -14.4879065              38   1.00000000    
   1275.61853      -14.4879065              51   1.00000000    
   1483.27734      -14.4879065              54   1.00000000    
   1690.93616      -14.4879065              70   1.00000000    
   1898.59497      -14.4879065              49   1.00000000    
   2106.25391      -14.4879065              47   1.00000000    
   2966.55469      -14.4879065              78   1.00000000    
   444.983185      -14.2749271              46   1.00000000    
   652.642029      -14.2749271              37   1.00000000    
   860.300903      -14.2749271              36   1.00000000    
   1067.95972      -14.2749271              51   1.00000000    
   1275.61853      -14.2749271              64   1.00000000    
   1483.27734      -14.2749271              62   1.00000000    
   1690.93616      -14.2749271              63   1.00000000    
   1898.59497      -14.2749271              60   1.00000000    
   2106.25391      -14.2749271              55   1.00000000    
   2966.55469      -14.2749271              69   1.00000000    
   444.983185      -14.0619478              51   1.00000000    
   652.642029      -14.0619478              33   1.00000000    
   860.300903      -14.0619478              55   1.00000000    
   1067.95972      -14.0619478              47   1.00000000    
   1275.61853      -14.0619478              49   1.00000000    
   1483.27734      -14.0619478              74   1.00000000    
   1690.93616      -14.0619478              63   1.00000000    
   1898.59497      -14.0619478              63   1.00000000    
   2106.25391      -14.0619478              75   1.00000000    
   2966.55469      -14.0619478              92   1.00000000    
   444.983185      -13.8489685              49   1.00000000    
   652.642029      -13.8489685              46   1.00000000    
   860.300903      -13.8489685              38   1.00000000    
   1067.95972      -13.8489685              55   1.00000000    
   1275.61853      -13.8489685              77   1.00000000    
   1483.27734      -13.8489685              63   1.00000000    
   1690.93616      -13.8489685              73   1.00000000    
   1898.59497      -13.8489685              78   1.00000000    
   2106.25391      -13.8489685              82   1.00000000    
   2966.55469      -13.8489685             103   1.00000000    
   444.983185      -13.6359892              42   1.00000000    
   652.642029      -13.6359892              60   1.00000000    
   860.300903      -13.6359892              54   1.00000000    
   1067.95972      -13.6359892              65   1.00000000    
   1275.61853      -13.6359892              66   1.00000000    
   1483.27734      -13.6359892              79   1.00000000    
   1690.93616      -13.6359892              77   1.00000000    
   1898.59497      -13.6359892              80   1.00000000    
   2106.25391      -13.6359892              76   1.00000000    
   2966.55469      -13.6359892             107   1.00000000    
