#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   444.983185      -13.6359892              42   1.00000000    
   444.983185      -13.8489685              49   1.00000000    
   444.983185      -14.0619478              51  0.993975878    
   444.983185      -14.2749271              46  0.988235295    
   444.983185      -14.4879065              40   1.00000000    
   444.983185      -14.7008858              32   1.00000000    
   444.983185      -14.9138651              18   1.00000000    
   444.983185      -15.1268444              16  0.992592573    
   444.983185      -15.3398237              15  0.991525412    
   444.983185      -15.5528030               7  0.985611498    
   444.983185      -15.7657824               6  0.952755928    
   444.983185      -15.9787617              12  0.949152529    
   652.642029      -13.6359892              60  0.984126985    
   652.642029      -13.8489685              46  0.990243912    
   652.642029      -14.0619478              33   1.00000000    
   652.642029      -14.2749271              37  0.995098054    
   652.642029      -14.4879065              40   1.00000000    
   652.642029      -14.7008858              37   1.00000000    
   652.642029      -14.9138651              23   1.00000000    
   652.642029      -15.1268444              20   1.00000000    
   652.642029      -15.3398237              15  0.993197262    
   652.642029      -15.5528030               6  0.993243217    
   652.642029      -15.7657824               2  0.986206889    
   652.642029      -15.9787617              14   1.00000000    
   860.300903      -13.6359892              54  0.996721327    
   860.300903      -13.8489685              38  0.992805779    
   860.300903      -14.0619478              55  0.993103445    
   860.300903      -14.2749271              36  0.990131557    
   860.300903      -14.4879065              45  0.995850623    
   860.300903      -14.7008858              28   1.00000000    
   860.300903      -14.9138651              33  0.984455943    
   860.300903      -15.1268444              26   1.00000000    
   860.300903      -15.3398237              13  0.994845390    
   860.300903      -15.5528030              12  0.986425340    
   860.300903      -15.7657824               8  0.989361703    
   860.300903      -15.9787617              28   1.00000000    
   1067.95972      -13.6359892              65  0.994236290    
   1067.95972      -13.8489685              55   1.00000000    
   1067.95972      -14.0619478              47   1.00000000    
   1067.95972      -14.2749271              51  0.997245193    
   1067.95972      -14.4879065              38  0.996212125    
   1067.95972      -14.7008858              50   1.00000000    
   1067.95972      -14.9138651              40   1.00000000    
   1067.95972      -15.1268444              37   1.00000000    
   1067.95972      -15.3398237              15   1.00000000    
   1067.95972      -15.5528030              12  0.996268630    
   1067.95972      -15.7657824               3   1.00000000    
   1067.95972      -15.9787617              24   1.00000000    
   1275.61853      -13.6359892              66  0.991957128    
   1275.61853      -13.8489685              77  0.994666696    
   1275.61853      -14.0619478              49  0.997518599    
   1275.61853      -14.2749271              64  0.994202912    
   1275.61853      -14.4879065              51  0.993506491    
   1275.61853      -14.7008858              35  0.996402860    
   1275.61853      -14.9138651              29   1.00000000    
   1275.61853      -15.1268444              26   1.00000000    
   1275.61853      -15.3398237              14   1.00000000    
   1275.61853      -15.5528030              11  0.992957771    
   1275.61853      -15.7657824               6  0.992307663    
   1275.61853      -15.9787617              21  0.995884776    
   1483.27734      -13.6359892              79  0.995203853    
   1483.27734      -13.8489685              63  0.997429311    
   1483.27734      -14.0619478              74   1.00000000    
   1483.27734      -14.2749271              62   1.00000000    
   1483.27734      -14.4879065              54  0.997014940    
   1483.27734      -14.7008858              37   1.00000000    
   1483.27734      -14.9138651              34   1.00000000    
   1483.27734      -15.1268444              27   1.00000000    
   1483.27734      -15.3398237              19   1.00000000    
   1483.27734      -15.5528030              17  0.996453881    
   1483.27734      -15.7657824               8   1.00000000    
   1483.27734      -15.9787617              23  0.996047437    
   1690.93616      -13.6359892              77   1.00000000    
   1690.93616      -13.8489685              73  0.994565189    
   1690.93616      -14.0619478              63  0.997601926    
   1690.93616      -14.2749271              63   1.00000000    
   1690.93616      -14.4879065              70  0.996855319    
   1690.93616      -14.7008858              40   1.00000000    
   1690.93616      -14.9138651              42   1.00000000    
   1690.93616      -15.1268444              24   1.00000000    
   1690.93616      -15.3398237              23  0.996336997    
   1690.93616      -15.5528030              12   1.00000000    
   1690.93616      -15.7657824               7   1.00000000    
   1690.93616      -15.9787617              33   1.00000000    
   1898.59497      -13.6359892              80   1.00000000    
   1898.59497      -13.8489685              78  0.997311831    
   1898.59497      -14.0619478              63  0.997487426    
   1898.59497      -14.2749271              60   1.00000000    
   1898.59497      -14.4879065              49   1.00000000    
   1898.59497      -14.7008858              43   1.00000000    
   1898.59497      -14.9138651              32   1.00000000    
   1898.59497      -15.1268444              24   1.00000000    
   1898.59497      -15.3398237              14  0.996527791    
   1898.59497      -15.5528030              24  0.996031761    
   1898.59497      -15.7657824               6  0.991666675    
   1898.59497      -15.9787617              20   1.00000000    
   2106.25391      -13.6359892              76  0.997711658    
   2106.25391      -13.8489685              82  0.997461915    
   2106.25391      -14.0619478              75  0.997518599    
   2106.25391      -14.2749271              55   1.00000000    
   2106.25391      -14.4879065              47   1.00000000    
   2106.25391      -14.7008858              38   1.00000000    
   2106.25391      -14.9138651              37   1.00000000    
   2106.25391      -15.1268444              35  0.993311048    
   2106.25391      -15.3398237              19  0.981343269    
   2106.25391      -15.5528030              16  0.979238749    
   2106.25391      -15.7657824               7  0.962406039    
   2106.25391      -15.9787617              19  0.958801508    
   2966.55469      -13.6359892             107  0.994263887    
   2966.55469      -13.8489685             103  0.993801653    
   2966.55469      -14.0619478              92   1.00000000    
   2966.55469      -14.2749271              69   1.00000000    
   2966.55469      -14.4879065              78  0.997455478    
   2966.55469      -14.7008858              61   1.00000000    
   2966.55469      -14.9138651              70   1.00000000    
   2966.55469      -15.1268444              43  0.996960461    
   2966.55469      -15.3398237              39  0.956647396    
   2966.55469      -15.5528030              19  0.920118332    
   2966.55469      -15.7657824              15  0.911042929    
   2966.55469      -15.9787617              22  0.932011306    
