#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   444.906647      -15.9301119              12   1.00000000    
   652.529724      -15.9301119              15   1.00000000    
   860.152832      -15.9301119              29   1.00000000    
   1067.77588      -15.9301119              26   1.00000000    
   1275.39893      -15.9301119              21   1.00000000    
   1483.02197      -15.9301119              24   1.00000000    
   1690.64502      -15.9301119              34   1.00000000    
   1898.26807      -15.9301119              20   1.00000000    
   2105.89111      -15.9301119              20   1.00000000    
   2966.04419      -15.9301119              30   1.00000000    
   444.906647      -15.7273979               8   1.00000000    
   652.529724      -15.7273979               7   1.00000000    
   860.152832      -15.7273979              13   1.00000000    
   1067.77588      -15.7273979               8   1.00000000    
   1275.39893      -15.7273979              11   1.00000000    
   1483.02197      -15.7273979              15   1.00000000    
   1690.64502      -15.7273979              13   1.00000000    
   1898.26807      -15.7273979              20   1.00000000    
   2105.89111      -15.7273979              18   1.00000000    
   2966.04419      -15.7273979              20   1.00000000    
   444.906647      -15.5246830              14   1.00000000    
   652.529724      -15.5246830              10   1.00000000    
   860.152832      -15.5246830              13   1.00000000    
   1067.77588      -15.5246830              17   1.00000000    
   1275.39893      -15.5246830              18   1.00000000    
   1483.02197      -15.5246830              20   1.00000000    
   1690.64502      -15.5246830              24   1.00000000    
   1898.26807      -15.5246830              21   1.00000000    
   2105.89111      -15.5246830              18   1.00000000    
   2966.04419      -15.5246830              35   1.00000000    
   444.906647      -15.3219690              18   1.00000000    
   652.529724      -15.3219690              19   1.00000000    
   860.152832      -15.3219690              25   1.00000000    
   1067.77588      -15.3219690              27   1.00000000    
   1275.39893      -15.3219690              24   1.00000000    
   1483.02197      -15.3219690              29   1.00000000    
   1690.64502      -15.3219690              24   1.00000000    
   1898.26807      -15.3219690              21   1.00000000    
   2105.89111      -15.3219690              33   1.00000000    
   2966.04419      -15.3219690              40   1.00000000    
   444.906647      -15.1192551              18   1.00000000    
   652.529724      -15.1192551              23   1.00000000    
   860.152832      -15.1192551              27   1.00000000    
   1067.77588      -15.1192551              36   1.00000000    
   1275.39893      -15.1192551              22   1.00000000    
   1483.02197      -15.1192551              25   1.00000000    
   1690.64502      -15.1192551              34   1.00000000    
   1898.26807      -15.1192551              29   1.00000000    
   2105.89111      -15.1192551              33   1.00000000    
   2966.04419      -15.1192551              70   1.00000000    
   444.906647      -14.9165411              19   1.00000000    
   652.529724      -14.9165411              36   1.00000000    
   860.152832      -14.9165411              32   1.00000000    
   1067.77588      -14.9165411              49   1.00000000    
   1275.39893      -14.9165411              34   1.00000000    
   1483.02197      -14.9165411              39   1.00000000    
   1690.64502      -14.9165411              39   1.00000000    
   1898.26807      -14.9165411              33   1.00000000    
   2105.89111      -14.9165411              36   1.00000000    
   2966.04419      -14.9165411              50   1.00000000    
   444.906647      -14.7138262              36   1.00000000    
   652.529724      -14.7138262              31   1.00000000    
   860.152832      -14.7138262              35   1.00000000    
   1067.77588      -14.7138262              45   1.00000000    
   1275.39893      -14.7138262              37   1.00000000    
   1483.02197      -14.7138262              49   1.00000000    
   1690.64502      -14.7138262              44   1.00000000    
   1898.26807      -14.7138262              46   1.00000000    
   2105.89111      -14.7138262              37   1.00000000    
   2966.04419      -14.7138262              77   1.00000000    
   444.906647      -14.5111122              45   1.00000000    
   652.529724      -14.5111122              38   1.00000000    
   860.152832      -14.5111122              35   1.00000000    
   1067.77588      -14.5111122              36   1.00000000    
   1275.39893      -14.5111122              60   1.00000000    
   1483.02197      -14.5111122              42   1.00000000    
   1690.64502      -14.5111122              68   1.00000000    
   1898.26807      -14.5111122              46   1.00000000    
   2105.89111      -14.5111122              47   1.00000000    
   2966.04419      -14.5111122              58   1.00000000    
   444.906647      -14.3083982              38   1.00000000    
   652.529724      -14.3083982              25   1.00000000    
   860.152832      -14.3083982              42   1.00000000    
   1067.77588      -14.3083982              38   1.00000000    
   1275.39893      -14.3083982              43   1.00000000    
   1483.02197      -14.3083982              63   1.00000000    
   1690.64502      -14.3083982              60   1.00000000    
   1898.26807      -14.3083982              58   1.00000000    
   2105.89111      -14.3083982              54   1.00000000    
   2966.04419      -14.3083982              67   1.00000000    
   444.906647      -14.1056843              41   1.00000000    
   652.529724      -14.1056843              37   1.00000000    
   860.152832      -14.1056843              41   1.00000000    
   1067.77588      -14.1056843              47   1.00000000    
   1275.39893      -14.1056843              62   1.00000000    
   1483.02197      -14.1056843              71   1.00000000    
   1690.64502      -14.1056843              57   1.00000000    
   1898.26807      -14.1056843              61   1.00000000    
   2105.89111      -14.1056843              69   1.00000000    
   2966.04419      -14.1056843              91   1.00000000    
   444.906647      -13.9029694              46   1.00000000    
   652.529724      -13.9029694              42   1.00000000    
   860.152832      -13.9029694              34   1.00000000    
   1067.77588      -13.9029694              50   1.00000000    
   1275.39893      -13.9029694              60   1.00000000    
   1483.02197      -13.9029694              51   1.00000000    
   1690.64502      -13.9029694              60   1.00000000    
   1898.26807      -13.9029694              65   1.00000000    
   2105.89111      -13.9029694              69   1.00000000    
   2966.04419      -13.9029694              88   1.00000000    
   444.906647      -13.7002554              36   1.00000000    
   652.529724      -13.7002554              52   1.00000000    
   860.152832      -13.7002554              51   1.00000000    
   1067.77588      -13.7002554              56   1.00000000    
   1275.39893      -13.7002554              55   1.00000000    
   1483.02197      -13.7002554              68   1.00000000    
   1690.64502      -13.7002554              69   1.00000000    
   1898.26807      -13.7002554              70   1.00000000    
   2105.89111      -13.7002554              75   1.00000000    
   2966.04419      -13.7002554              92   1.00000000    
