#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   444.906647      -13.7002554              36   1.00000000    
   444.906647      -13.9029694              46   1.00000000    
   444.906647      -14.1056843              41  0.992957771    
   444.906647      -14.3083982              38  0.987421393    
   444.906647      -14.5111122              45  0.993710697    
   444.906647      -14.7138262              36   1.00000000    
   444.906647      -14.9165411              19   1.00000000    
   444.906647      -15.1192551              18  0.992481232    
   444.906647      -15.3219690              18  0.991379321    
   444.906647      -15.5246830              14  0.985714257    
   444.906647      -15.7273979               8  0.954887211    
   444.906647      -15.9301119              12  0.959349573    
   652.529724      -13.7002554              52  0.981818199    
   652.529724      -13.9029694              42  0.994082868    
   652.529724      -14.1056843              37  0.994791687    
   652.529724      -14.3083982              25  0.994923830    
   652.529724      -14.5111122              38   1.00000000    
   652.529724      -14.7138262              31   1.00000000    
   652.529724      -14.9165411              36   1.00000000    
   652.529724      -15.1192551              23   1.00000000    
   652.529724      -15.3219690              19  0.993103445    
   652.529724      -15.5246830              10  0.993288577    
   652.529724      -15.7273979               7  0.985611498    
   652.529724      -15.9301119              15   1.00000000    
   860.152832      -13.7002554              51  0.996153831    
   860.152832      -13.9029694              34  0.996124029    
   860.152832      -14.1056843              41  0.996093750    
   860.152832      -14.3083982              42  0.993031383    
   860.152832      -14.5111122              35   1.00000000    
   860.152832      -14.7138262              35  0.996153831    
   860.152832      -14.9165411              32  0.984693885    
   860.152832      -15.1192551              27   1.00000000    
   860.152832      -15.3219690              25  0.995169103    
   860.152832      -15.5246830              13  0.985507250    
   860.152832      -15.7273979              13  0.989847720    
   860.152832      -15.9301119              29   1.00000000    
   1067.77588      -13.7002554              56  0.996677756    
   1067.77588      -13.9029694              50   1.00000000    
   1067.77588      -14.1056843              47  0.996865213    
   1067.77588      -14.3083982              38  0.997191012    
   1067.77588      -14.5111122              36   1.00000000    
   1067.77588      -14.7138262              45  0.996699691    
   1067.77588      -14.9165411              49   1.00000000    
   1067.77588      -15.1192551              36   1.00000000    
   1067.77588      -15.3219690              27   1.00000000    
   1067.77588      -15.5246830              17  0.996296287    
   1067.77588      -15.7273979               8   1.00000000    
   1067.77588      -15.9301119              26   1.00000000    
   1275.39893      -13.7002554              55  0.990769207    
   1275.39893      -13.9029694              60  0.994029880    
   1275.39893      -14.1056843              62  0.997333348    
   1275.39893      -14.3083982              43  0.996996999    
   1275.39893      -14.5111122              60  0.993769467    
   1275.39893      -14.7138262              37  0.996941924    
   1275.39893      -14.9165411              34   1.00000000    
   1275.39893      -15.1192551              22   1.00000000    
   1275.39893      -15.3219690              24   1.00000000    
   1275.39893      -15.5246830              18  0.996478856    
   1275.39893      -15.7273979              11  0.992673993    
   1275.39893      -15.9301119              21  0.992156863    
   1483.02197      -13.7002554              68  0.994301975    
   1483.02197      -13.9029694              51  0.997260273    
   1483.02197      -14.1056843              71   1.00000000    
   1483.02197      -14.3083982              63   1.00000000    
   1483.02197      -14.5111122              42   1.00000000    
   1483.02197      -14.7138262              49  0.997134686    
   1483.02197      -14.9165411              39   1.00000000    
   1483.02197      -15.1192551              25   1.00000000    
   1483.02197      -15.3219690              29   1.00000000    
   1483.02197      -15.5246830              20  0.996441305    
   1483.02197      -15.7273979              15   1.00000000    
   1483.02197      -15.9301119              24  0.996031761    
   1690.64502      -13.7002554              69   1.00000000    
   1690.64502      -13.9029694              60  0.993957698    
   1690.64502      -14.1056843              57  0.997333348    
   1690.64502      -14.3083982              60   1.00000000    
   1690.64502      -14.5111122              68   1.00000000    
   1690.64502      -14.7138262              44  0.996904016    
   1690.64502      -14.9165411              39   1.00000000    
   1690.64502      -15.1192551              34   1.00000000    
   1690.64502      -15.3219690              24  0.996240616    
   1690.64502      -15.5246830              24   1.00000000    
   1690.64502      -15.7273979              13   1.00000000    
   1690.64502      -15.9301119              34   1.00000000    
   1898.26807      -13.7002554              70   1.00000000    
   1898.26807      -13.9029694              65   1.00000000    
   1898.26807      -14.1056843              61  0.997126460    
   1898.26807      -14.3083982              58   1.00000000    
   1898.26807      -14.5111122              46   1.00000000    
   1898.26807      -14.7138262              46   1.00000000    
   1898.26807      -14.9165411              33   1.00000000    
   1898.26807      -15.1192551              29   1.00000000    
   1898.26807      -15.3219690              21  0.996282518    
   1898.26807      -15.5246830              21  0.996153831    
   1898.26807      -15.7273979              20  0.992187500    
   1898.26807      -15.9301119              20   1.00000000    
   2105.89111      -13.7002554              75  0.997222245    
   2105.89111      -13.9029694              69  0.997275233    
   2105.89111      -14.1056843              69   1.00000000    
   2105.89111      -14.3083982              54  0.997084558    
   2105.89111      -14.5111122              47   1.00000000    
   2105.89111      -14.7138262              37   1.00000000    
   2105.89111      -14.9165411              36   1.00000000    
   2105.89111      -15.1192551              33  0.996753275    
   2105.89111      -15.3219690              33  0.988461554    
   2105.89111      -15.5246830              18  0.976430953    
   2105.89111      -15.7273979              18  0.959854007    
   2105.89111      -15.9301119              20  0.958333313    
   2966.04419      -13.7002554              92  0.993435442    
   2966.04419      -13.9029694              88  0.997706413    
   2966.04419      -14.1056843              91  0.995359600    
   2966.04419      -14.3083982              67   1.00000000    
   2966.04419      -14.5111122              58  0.997601926    
   2966.04419      -14.7138262              77   1.00000000    
   2966.04419      -14.9165411              50   1.00000000    
   2966.04419      -15.1192551              70   1.00000000    
   2966.04419      -15.3219690              40  0.959999979    
   2966.04419      -15.5246830              35  0.923076928    
   2966.04419      -15.7273979              20  0.923976600    
   2966.04419      -15.9301119              30  0.915942013    
