#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   431.481171      -15.6913338             112  0.949152529    
   632.839050      -15.6913338             157   1.00000000    
   834.196899      -15.6913338             174   1.00000000    
   1035.55481      -15.6913338             260   1.00000000    
   1236.91272      -15.6913338             242  0.995884776    
   1438.27063      -15.6913338             252  0.996047437    
   1639.62854      -15.6913338             286   1.00000000    
   1840.98645      -15.6913338             260   1.00000000    
   2042.34436      -15.6913338             256  0.958801508    
   2876.54126      -15.6913338             329  0.932011306    
   431.481171      -15.3896666             121  0.952755928    
   632.839050      -15.3896666             143  0.986206889    
   834.196899      -15.3896666             186  0.989361703    
   1035.55481      -15.3896666             248   1.00000000    
   1236.91272      -15.3896666             258  0.992307663    
   1438.27063      -15.3896666             237   1.00000000    
   1639.62854      -15.3896666             269   1.00000000    
   1840.98645      -15.3896666             238  0.991666675    
   2042.34436      -15.3896666             256  0.962406039    
   2876.54126      -15.3896666             297  0.911042929    
   431.481171      -15.0879993             137  0.985611498    
   632.839050      -15.0879993             147  0.993243217    
   834.196899      -15.0879993             218  0.986425340    
   1035.55481      -15.0879993             267  0.996268630    
   1236.91272      -15.0879993             282  0.992957771    
   1438.27063      -15.0879993             281  0.996453881    
   1639.62854      -15.0879993             234   1.00000000    
   1840.98645      -15.0879993             251  0.996031761    
   2042.34436      -15.0879993             283  0.979238749    
   2876.54126      -15.0879993             311  0.920118332    
   431.481171      -14.7863331             117  0.991525412    
   632.839050      -14.7863331             146  0.993197262    
   834.196899      -14.7863331             193  0.994845390    
   1035.55481      -14.7863331             271   1.00000000    
   1236.91272      -14.7863331             265   1.00000000    
   1438.27063      -14.7863331             308   1.00000000    
   1639.62854      -14.7863331             272  0.996336997    
   1840.98645      -14.7863331             287  0.996527791    
   2042.34436      -14.7863331             263  0.981343269    
   2876.54126      -14.7863331             331  0.956647396    
   431.481171      -14.4846668             134  0.992592573    
   632.839050      -14.4846668             151   1.00000000    
   834.196899      -14.4846668             198   1.00000000    
   1035.55481      -14.4846668             245   1.00000000    
   1236.91272      -14.4846668             264   1.00000000    
   1438.27063      -14.4846668             307   1.00000000    
   1639.62854      -14.4846668             296   1.00000000    
   1840.98645      -14.4846668             286   1.00000000    
   2042.34436      -14.4846668             297  0.993311048    
   2876.54126      -14.4846668             328  0.996960461    
   431.481171      -14.1829996             123   1.00000000    
   632.839050      -14.1829996             148   1.00000000    
   834.196899      -14.1829996             190  0.984455943    
   1035.55481      -14.1829996             235   1.00000000    
   1236.91272      -14.1829996             258   1.00000000    
   1438.27063      -14.1829996             295   1.00000000    
   1639.62854      -14.1829996             240   1.00000000    
   1840.98645      -14.1829996             273   1.00000000    
   2042.34436      -14.1829996             287   1.00000000    
   2876.54126      -14.1829996             337   1.00000000    
   431.481171      -13.7925167             110   1.00000000    
   632.839050      -13.7925167             162   1.00000000    
   834.196899      -13.7925167             203   1.00000000    
   1035.55481      -13.7925167             259   1.00000000    
   1236.91272      -13.7925167             277  0.996402860    
   1438.27063      -13.7925167             257   1.00000000    
   1639.62854      -13.7925167             259   1.00000000    
   1840.98645      -13.7925167             255   1.00000000    
   2042.34436      -13.7925167             288   1.00000000    
   2876.54126      -13.7925167             350   1.00000000    
   431.481171      -13.4020329             158   1.00000000    
   632.839050      -13.4020329             156   1.00000000    
   834.196899      -13.4020329             240  0.995850623    
   1035.55481      -13.4020329             263  0.996212125    
   1236.91272      -13.4020329             306  0.993506491    
   1438.27063      -13.4020329             334  0.997014940    
   1639.62854      -13.4020329             317  0.996855319    
   1840.98645      -13.4020329             302   1.00000000    
   2042.34436      -13.4020329             324   1.00000000    
   2876.54126      -13.4020329             392  0.997455478    
   431.481171      -13.0115499             168  0.988235295    
   632.839050      -13.0115499             203  0.995098054    
   834.196899      -13.0115499             301  0.990131557    
   1035.55481      -13.0115499             362  0.997245193    
   1236.91272      -13.0115499             343  0.994202912    
   1438.27063      -13.0115499             385   1.00000000    
   1639.62854      -13.0115499             358   1.00000000    
   1840.98645      -13.0115499             370   1.00000000    
   2042.34436      -13.0115499             365   1.00000000    
   2876.54126      -13.0115499             431   1.00000000    
   431.481171      -12.6210670             165  0.993975878    
   632.839050      -12.6210670             211   1.00000000    
   834.196899      -12.6210670             288  0.993103445    
   1035.55481      -12.6210670             365   1.00000000    
   1236.91272      -12.6210670             402  0.997518599    
   1438.27063      -12.6210670             415   1.00000000    
   1639.62854      -12.6210670             416  0.997601926    
   1840.98645      -12.6210670             397  0.997487426    
   2042.34436      -12.6210670             402  0.997518599    
   2876.54126      -12.6210670             477   1.00000000    
   431.481171      -12.2305832             187   1.00000000    
   632.839050      -12.2305832             203  0.990243912    
   834.196899      -12.2305832             276  0.992805779    
   1035.55481      -12.2305832             359   1.00000000    
   1236.91272      -12.2305832             373  0.994666696    
   1438.27063      -12.2305832             388  0.997429311    
   1639.62854      -12.2305832             366  0.994565189    
   1840.98645      -12.2305832             371  0.997311831    
   2042.34436      -12.2305832             393  0.997461915    
   2876.54126      -12.2305832             481  0.993801653    
   431.481171      -11.8401003             192   1.00000000    
   632.839050      -11.8401003             186  0.984126985    
   834.196899      -11.8401003             304  0.996721327    
   1035.55481      -11.8401003             345  0.994236290    
   1236.91272      -11.8401003             370  0.991957128    
   1438.27063      -11.8401003             415  0.995203853    
   1639.62854      -11.8401003             440   1.00000000    
   1840.98645      -11.8401003             399   1.00000000    
   2042.34436      -11.8401003             436  0.997711658    
   2876.54126      -11.8401003             520  0.994263887    
