#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   447.600128      -10.4890003             927  0.981991529    
   447.600128      -11.0998335             773  0.978480995    
   447.600128      -11.7106667             731  0.983849287    
   447.600128      -12.3215008             619  0.993579447    
   447.600128      -12.9323339             786  0.986198246    
   447.600128      -13.5431671             771  0.993556678    
   447.600128      -14.1540003              96  0.989690721    
   447.600128      -14.2368336              92  0.989247322    
   447.600128      -14.3196669             101  0.990196049    
   447.600128      -14.4025002              96   1.00000000    
   447.600128      -14.4853334             107  0.990740716    
   447.600128      -14.5681667             101  0.990196049    
   656.480164      -10.4890003             538  0.998144686    
   656.480164      -11.0998335             509  0.998039186    
   656.480164      -11.7106667             474  0.997894764    
   656.480164      -12.3215008             330  0.996978879    
   656.480164      -12.9323339             449   1.00000000    
   656.480164      -13.5431671             451   1.00000000    
   656.480164      -14.1540003              54  0.981818199    
   656.480164      -14.2368336              64   1.00000000    
   656.480164      -14.3196669              64   1.00000000    
   656.480164      -14.4025002              75   1.00000000    
   656.480164      -14.4853334              56   1.00000000    
   656.480164      -14.5681667              55   1.00000000    
   865.360229      -10.4890003             495  0.995975852    
   865.360229      -11.0998335             510  0.998043060    
   865.360229      -11.7106667             464  0.995708168    
   865.360229      -12.3215008             376  0.997347474    
   865.360229      -12.9323339             479  0.997916639    
   865.360229      -13.5431671             466   1.00000000    
   865.360229      -14.1540003              72   1.00000000    
   865.360229      -14.2368336              55   1.00000000    
   865.360229      -14.3196669              58   1.00000000    
   865.360229      -14.4025002              63   1.00000000    
   865.360229      -14.4853334              71   1.00000000    
   865.360229      -14.5681667              62   1.00000000    
   1074.24023      -10.4890003             526   1.00000000    
   1074.24023      -11.0998335             478   1.00000000    
   1074.24023      -11.7106667             479  0.995841980    
   1074.24023      -12.3215008             371  0.997311831    
   1074.24023      -12.9323339             465   1.00000000    
   1074.24023      -13.5431671             463   1.00000000    
   1074.24023      -14.1540003              54   1.00000000    
   1074.24023      -14.2368336              64   1.00000000    
   1074.24023      -14.3196669              56   1.00000000    
   1074.24023      -14.4025002              54   1.00000000    
   1074.24023      -14.4853334              67   1.00000000    
   1074.24023      -14.5681667              76   1.00000000    
   1283.12024      -10.4890003             509  0.998039186    
   1283.12024      -11.0998335             490  0.997963369    
   1283.12024      -11.7106667             474   1.00000000    
   1283.12024      -12.3215008             383   1.00000000    
   1283.12024      -12.9323339             464   1.00000000    
   1283.12024      -13.5431671             449   1.00000000    
   1283.12024      -14.1540003              53   1.00000000    
   1283.12024      -14.2368336              61   1.00000000    
   1283.12024      -14.3196669              66   1.00000000    
   1283.12024      -14.4025002              70   1.00000000    
   1283.12024      -14.4853334              63   1.00000000    
   1283.12024      -14.5681667              66   1.00000000    
   1492.00024      -10.4890003             503   1.00000000    
   1492.00024      -11.0998335             476   1.00000000    
   1492.00024      -11.7106667             445   1.00000000    
   1492.00024      -12.3215008             396   1.00000000    
   1492.00024      -12.9323339             451   1.00000000    
   1492.00024      -13.5431671             464   1.00000000    
   1492.00024      -14.1540003              57   1.00000000    
   1492.00024      -14.2368336              64   1.00000000    
   1492.00024      -14.3196669              64   1.00000000    
   1492.00024      -14.4025002              54   1.00000000    
   1492.00024      -14.4853334              55   1.00000000    
   1492.00024      -14.5681667              59   1.00000000    
   1700.88025      -10.4890003             531  0.998120308    
   1700.88025      -11.0998335             493   1.00000000    
   1700.88025      -11.7106667             492   1.00000000    
   1700.88025      -12.3215008             394   1.00000000    
   1700.88025      -12.9323339             435   1.00000000    
   1700.88025      -13.5431671             429   1.00000000    
   1700.88025      -14.1540003              51   1.00000000    
   1700.88025      -14.2368336              62   1.00000000    
   1700.88025      -14.3196669              64   1.00000000    
   1700.88025      -14.4025002              59   1.00000000    
   1700.88025      -14.4853334              65   1.00000000    
   1700.88025      -14.5681667              64   1.00000000    
   1909.76025      -10.4890003             507   1.00000000    
   1909.76025      -11.0998335             504   1.00000000    
   1909.76025      -11.7106667             492  0.997971594    
   1909.76025      -12.3215008             364   1.00000000    
   1909.76025      -12.9323339             456   1.00000000    
   1909.76025      -13.5431671             466   1.00000000    
   1909.76025      -14.1540003              56   1.00000000    
   1909.76025      -14.2368336              57   1.00000000    
   1909.76025      -14.3196669              70   1.00000000    
   1909.76025      -14.4025002              84   1.00000000    
   1909.76025      -14.4853334              64   1.00000000    
   1909.76025      -14.5681667              59   1.00000000    
   2118.64038      -10.4890003             460   1.00000000    
   2118.64038      -11.0998335             470   1.00000000    
   2118.64038      -11.7106667             465   1.00000000    
   2118.64038      -12.3215008             332   1.00000000    
   2118.64038      -12.9323339             457   1.00000000    
   2118.64038      -13.5431671             405   1.00000000    
   2118.64038      -14.1540003              63   1.00000000    
   2118.64038      -14.2368336              77   1.00000000    
   2118.64038      -14.3196669              70   1.00000000    
   2118.64038      -14.4025002              72   1.00000000    
   2118.64038      -14.4853334              59   1.00000000    
   2118.64038      -14.5681667              53  0.981481493    
   2984.00073      -10.4890003             533  0.998127341    
   2984.00073      -11.0998335             498   1.00000000    
   2984.00073      -11.7106667             485  0.997942388    
   2984.00073      -12.3215008             370  0.997304559    
   2984.00073      -12.9323339             487  0.997950792    
   2984.00073      -13.5431671             496   1.00000000    
   2984.00073      -14.1540003              60   1.00000000    
   2984.00073      -14.2368336              64  0.969696999    
   2984.00073      -14.3196669              51   1.00000000    
   2984.00073      -14.4025002              67  0.985294104    
   2984.00073      -14.4853334              63   1.00000000    
   2984.00073      -14.5681667              56   1.00000000    
