#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   439.269379      -15.0162506              73   1.00000000    
   644.261780      -15.0162506              79   1.00000000    
   849.254150      -15.0162506             116  0.991452992    
   1054.24658      -15.0162506             160   1.00000000    
   1259.23901      -15.0162506             155   1.00000000    
   1464.23145      -15.0162506             175   1.00000000    
   1669.22388      -15.0162506             177   1.00000000    
   1874.21631      -15.0162506             197   1.00000000    
   2079.20874      -15.0162506             161  0.981707335    
   2928.46265      -15.0162506             194  0.950980365    
   439.269379      -14.8336000              70   1.00000000    
   644.261780      -14.8336000              81   1.00000000    
   849.254150      -14.8336000             151   1.00000000    
   1054.24658      -14.8336000             174   1.00000000    
   1259.23901      -14.8336000             166   1.00000000    
   1464.23145      -14.8336000             167   1.00000000    
   1669.22388      -14.8336000             197   1.00000000    
   1874.21631      -14.8336000             156   1.00000000    
   2079.20874      -14.8336000             164   1.00000000    
   2928.46265      -14.8336000             175  0.961538434    
   439.269379      -14.6509495              90   1.00000000    
   644.261780      -14.6509495              81   1.00000000    
   849.254150      -14.6509495             138  0.992805779    
   1054.24658      -14.6509495             177   1.00000000    
   1259.23901      -14.6509495             194   1.00000000    
   1464.23145      -14.6509495             159   1.00000000    
   1669.22388      -14.6509495             174   1.00000000    
   1874.21631      -14.6509495             164   1.00000000    
   2079.20874      -14.6509495             162   1.00000000    
   2928.46265      -14.6509495             193  0.994845390    
   439.269379      -14.4682999              80   1.00000000    
   644.261780      -14.4682999             101   1.00000000    
   849.254150      -14.4682999             130   1.00000000    
   1054.24658      -14.4682999             168   1.00000000    
   1259.23901      -14.4682999             178   1.00000000    
   1464.23145      -14.4682999             159   1.00000000    
   1669.22388      -14.4682999             168   1.00000000    
   1874.21631      -14.4682999             157   1.00000000    
   2079.20874      -14.4682999             145   1.00000000    
   2928.46265      -14.4682999             193  0.994845390    
   439.269379      -14.2856503              80   1.00000000    
   644.261780      -14.2856503              85   1.00000000    
   849.254150      -14.2856503             128   1.00000000    
   1054.24658      -14.2856503             155   1.00000000    
   1259.23901      -14.2856503             173   1.00000000    
   1464.23145      -14.2856503             196   1.00000000    
   1669.22388      -14.2856503             168   1.00000000    
   1874.21631      -14.2856503             183   1.00000000    
   2079.20874      -14.2856503             155   1.00000000    
   2928.46265      -14.2856503             219   1.00000000    
   439.269379      -14.1029997              74   1.00000000    
   644.261780      -14.1029997              99   1.00000000    
   849.254150      -14.1029997             114   1.00000000    
   1054.24658      -14.1029997             157   1.00000000    
   1259.23901      -14.1029997             164   1.00000000    
   1464.23145      -14.1029997             161   1.00000000    
   1669.22388      -14.1029997             180   1.00000000    
   1874.21631      -14.1029997             186   1.00000000    
   2079.20874      -14.1029997             146   1.00000000    
   2928.46265      -14.1029997             189   1.00000000    
   439.269379      -13.6213331             206   1.00000000    
   644.261780      -13.6213331             242   1.00000000    
   849.254150      -13.6213331             347  0.997126460    
   1054.24658      -13.6213331             451   1.00000000    
   1259.23901      -13.6213331             452   1.00000000    
   1464.23145      -13.6213331             423   1.00000000    
   1669.22388      -13.6213331             472   1.00000000    
   1874.21631      -13.6213331             453   1.00000000    
   2079.20874      -13.6213331             442   1.00000000    
   2928.46265      -13.6213331             535   1.00000000    
   439.269379      -13.1396666             210  0.995260656    
   644.261780      -13.1396666             245   1.00000000    
   849.254150      -13.1396666             333   1.00000000    
   1054.24658      -13.1396666             399   1.00000000    
   1259.23901      -13.1396666             496   1.00000000    
   1464.23145      -13.1396666             437   1.00000000    
   1669.22388      -13.1396666             422   1.00000000    
   1874.21631      -13.1396666             467   1.00000000    
   2079.20874      -13.1396666             468  0.997867823    
   2928.46265      -13.1396666             532  0.998123825    
   439.269379      -12.6580000             217   1.00000000    
   644.261780      -12.6580000             252   1.00000000    
   849.254150      -12.6580000             323   1.00000000    
   1054.24658      -12.6580000             383   1.00000000    
   1259.23901      -12.6580000             429   1.00000000    
   1464.23145      -12.6580000             443  0.997747719    
   1669.22388      -12.6580000             430   1.00000000    
   1874.21631      -12.6580000             438  0.997722089    
   2079.20874      -12.6580000             416   1.00000000    
   2928.46265      -12.6580000             520  0.998080611    
   439.269379      -12.1763334             233   1.00000000    
   644.261780      -12.1763334             211   1.00000000    
   849.254150      -12.1763334             345   1.00000000    
   1054.24658      -12.1763334             443   1.00000000    
   1259.23901      -12.1763334             464   1.00000000    
   1464.23145      -12.1763334             460   1.00000000    
   1669.22388      -12.1763334             455   1.00000000    
   1874.21631      -12.1763334             418   1.00000000    
   2079.20874      -12.1763334             398   1.00000000    
   2928.46265      -12.1763334             506   1.00000000    
   439.269379      -11.6946669             230   1.00000000    
   644.261780      -11.6946669             245   1.00000000    
   849.254150      -11.6946669             308   1.00000000    
   1054.24658      -11.6946669             442   1.00000000    
   1259.23901      -11.6946669             449   1.00000000    
   1464.23145      -11.6946669             464  0.997849464    
   1669.22388      -11.6946669             448   1.00000000    
   1874.21631      -11.6946669             482   1.00000000    
   2079.20874      -11.6946669             464   1.00000000    
   2928.46265      -11.6946669             510  0.998043060    
   439.269379      -11.2130003             229  0.995652199    
   644.261780      -11.2130003             238  0.995815873    
   849.254150      -11.2130003             361   1.00000000    
   1054.24658      -11.2130003             398   1.00000000    
   1259.23901      -11.2130003             476   1.00000000    
   1464.23145      -11.2130003             450   1.00000000    
   1669.22388      -11.2130003             453   1.00000000    
   1874.21631      -11.2130003             447  0.997767866    
   2079.20874      -11.2130003             454   1.00000000    
   2928.46265      -11.2130003             495  0.997983873    
