#      Nradbin      Nmagbin
          10          12
# outboundRad     minMagBound            Nstar  Completenss
   443.308533      -11.3733997             159   1.00000000    
   443.308533      -11.8400497             155   1.00000000    
   443.308533      -12.3066998             151   1.00000000    
   443.308533      -12.7733498             158   1.00000000    
   443.308533      -13.2399998             163   1.00000000    
   443.308533      -13.7066498             175   1.00000000    
   443.308533      -14.1732998              65   1.00000000    
   443.308533      -14.3724670              51   1.00000000    
   443.308533      -14.5716333              83   1.00000000    
   443.308533      -14.7707996              80   1.00000000    
   443.308533      -14.9699669              85   1.00000000    
   443.308533      -15.1691341              70   1.00000000    
   650.185913      -11.3733997             178  0.994413435    
   650.185913      -11.8400497             186  0.994652390    
   650.185913      -12.3066998             183  0.994565189    
   650.185913      -12.7733498             189   1.00000000    
   650.185913      -13.2399998             178   1.00000000    
   650.185913      -13.7066498             193   1.00000000    
   650.185913      -14.1732998              69   1.00000000    
   650.185913      -14.3724670              88   1.00000000    
   650.185913      -14.5716333              78   1.00000000    
   650.185913      -14.7707996              67   1.00000000    
   650.185913      -14.9699669              74  0.986666679    
   650.185913      -15.1691341              93   1.00000000    
   857.063232      -11.3733997             261  0.996183217    
   857.063232      -11.8400497             241   1.00000000    
   857.063232      -12.3066998             235   1.00000000    
   857.063232      -12.7733498             278   1.00000000    
   857.063232      -13.2399998             249  0.995999992    
   857.063232      -13.7066498             245   1.00000000    
   857.063232      -14.1732998             106   1.00000000    
   857.063232      -14.3724670             111   1.00000000    
   857.063232      -14.5716333              95   1.00000000    
   857.063232      -14.7707996             113   1.00000000    
   857.063232      -14.9699669             107   1.00000000    
   857.063232      -15.1691341             102   1.00000000    
   1063.94055      -11.3733997             330  0.996978879    
   1063.94055      -11.8400497             299  0.996666670    
   1063.94055      -12.3066998             306   1.00000000    
   1063.94055      -12.7733498             329  0.996969700    
   1063.94055      -13.2399998             356  0.997198880    
   1063.94055      -13.7066498             346   1.00000000    
   1063.94055      -14.1732998             137   1.00000000    
   1063.94055      -14.3724670             141  0.992957771    
   1063.94055      -14.5716333             139   1.00000000    
   1063.94055      -14.7707996             151   1.00000000    
   1063.94055      -14.9699669             140  0.992907822    
   1063.94055      -15.1691341             140  0.992907822    
   1270.81787      -11.3733997             427   1.00000000    
   1270.81787      -11.8400497             366   1.00000000    
   1270.81787      -12.3066998             425   1.00000000    
   1270.81787      -12.7733498             421   1.00000000    
   1270.81787      -13.2399998             381   1.00000000    
   1270.81787      -13.7066498             410   1.00000000    
   1270.81787      -14.1732998             181   1.00000000    
   1270.81787      -14.3724670             166   1.00000000    
   1270.81787      -14.5716333             149  0.993333340    
   1270.81787      -14.7707996             183   1.00000000    
   1270.81787      -14.9699669             159   1.00000000    
   1270.81787      -15.1691341             146   1.00000000    
   1477.69519      -11.3733997             468  0.995744705    
   1477.69519      -11.8400497             463  0.997844815    
   1477.69519      -12.3066998             471  0.997881353    
   1477.69519      -12.7733498             458   1.00000000    
   1477.69519      -13.2399998             483   1.00000000    
   1477.69519      -13.7066498             459   1.00000000    
   1477.69519      -14.1732998             210   1.00000000    
   1477.69519      -14.3724670             214  0.995348811    
   1477.69519      -14.5716333             192   1.00000000    
   1477.69519      -14.7707996             177   1.00000000    
   1477.69519      -14.9699669             208   1.00000000    
   1477.69519      -15.1691341             201  0.995049477    
   1684.57251      -11.3733997             537  0.996289432    
   1684.57251      -11.8400497             549   1.00000000    
   1684.57251      -12.3066998             507   1.00000000    
   1684.57251      -12.7733498             543   1.00000000    
   1684.57251      -13.2399998             532   1.00000000    
   1684.57251      -13.7066498             512  0.998050690    
   1684.57251      -14.1732998             186   1.00000000    
   1684.57251      -14.3724670             196   1.00000000    
   1684.57251      -14.5716333             203   1.00000000    
   1684.57251      -14.7707996             197  0.994949520    
   1684.57251      -14.9699669             207   1.00000000    
   1684.57251      -15.1691341             228  0.995633185    
   1891.44983      -11.3733997             525  0.998098850    
   1891.44983      -11.8400497             521   1.00000000    
   1891.44983      -12.3066998             518   1.00000000    
   1891.44983      -12.7733498             535   1.00000000    
   1891.44983      -13.2399998             509   1.00000000    
   1891.44983      -13.7066498             513   1.00000000    
   1891.44983      -14.1732998             242   1.00000000    
   1891.44983      -14.3724670             225   1.00000000    
   1891.44983      -14.5716333             228   1.00000000    
   1891.44983      -14.7707996             203   1.00000000    
   1891.44983      -14.9699669             227  0.995614052    
   1891.44983      -15.1691341             222   1.00000000    
   2098.32715      -11.3733997             500   1.00000000    
   2098.32715      -11.8400497             495  0.997983873    
   2098.32715      -12.3066998             519  0.998076916    
   2098.32715      -12.7733498             505  0.998023689    
   2098.32715      -13.2399998             500  0.998004019    
   2098.32715      -13.7066498             526   1.00000000    
   2098.32715      -14.1732998             207   1.00000000    
   2098.32715      -14.3724670             215   1.00000000    
   2098.32715      -14.5716333             212  0.995305181    
   2098.32715      -14.7707996             183  0.983870983    
   2098.32715      -14.9699669             197  0.960975587    
   2098.32715      -15.1691341             191  0.984536111    
   2955.39038      -11.3733997             555  0.994623661    
   2955.39038      -11.8400497             524  0.998095214    
   2955.39038      -12.3066998             528   1.00000000    
   2955.39038      -12.7733498             545   1.00000000    
   2955.39038      -13.2399998             536   1.00000000    
   2955.39038      -13.7066498             560   1.00000000    
   2955.39038      -14.1732998             201   1.00000000    
   2955.39038      -14.3724670             230  0.995670974    
   2955.39038      -14.5716333             239   1.00000000    
   2955.39038      -14.7707996             224  0.982456148    
   2955.39038      -14.9699669             225  0.965665221    
   2955.39038      -15.1691341             224  0.918032765    
